rougher	wolves	wolves
reports	inquiry	inquiry
report	advice	advice
officials	website.	website.
official	li	li
teams	team.	basketball
team	qualified	qualified
cases	court	court
case	crimes	crimes
relations	measuring	measuring
relation	foreign	foreign
residents	sometime	sometime
resident	residents.	residents.
issues	issue,	issue,
issue	perceived	perceived
families	genus	genus
family	households,	households,
months	provinces	provinces
month	six	six
minutes	penalty	penalty
minute	minutes,	minutes,
losses	rebounds	rebounds
loss	losses,	wins,
games	playstation	playstation
game	average;	average;
agencies	agency,	agency,
agency	telecommunications	telecommunications
times	minutes	minutes
time	according	according
people	identity	ancestral
person	people,	people,
weapons	gun	gun
weapon	weapons,	weapons,
families	genus	genus
family	cdp	cdp
authorities	authority.	authority.
authority	arrest	crimes
cases	court	court
case	court	court
relations	relationships	relationships
relation	columns	columns
kids	rapper	rapper
kid	maps	maps
authorities	authority.	authority.
authority	arrest	arrest
cars	racing	racing
car	cars.	cars.
people	identity	identity
person	residing	residing
efforts	post-war	post-war
effort	preparatory	funding.
artists	artists	paintings,
artist	artists,	rap
students	academic	academic
student	grades	grades
concerns	consortium	consortium
concern	kindergarten	regarded
times	minutes	riders
time	currently	currently
streets	avenue	street,
street	player.	streets.
investors	equity	equity
investor	investment	investment
dollars	currency	currency
dollar	cost	cost
days	birthday	occasion
day	professional	retired
laws	law.	law.
law	legislation	legislation
standards	plus	plus
standard	iso	iso
allegations	!	!
allegation	investigated	investigated
decisions	supreme	decision.
decision	tribunal	tribunal
authorities	authority.	authority.
authority	orders	orders
conditions	illness	illness
condition	conditions.	conditions.
rules	old.	old.
rule	regulations	regulations
standards	iso	iso
standard	safety	safety
parents	subsidiary	holdings
parent	mother	mother
officers	commanding	commanding
officer	officer	officer
countries	peaked	peaked
country	countries,	countries,
terms	meaning	meaning
term	movie,	movie,
years	year,	enrolled
year	age	age
citizens	citizens	citizens
citizen	visa	visa
residents	originated	originated
resident	45	45
businesses	mba	partner
business	sector.	sector
drugs	drugs	drugs
drug	drug	drug
reports	report,	report,
report	press	"no
reasons	officers	thompson
reason	made.	made.
teachers	officers	sisters
teacher	students	students
minutes	goal	goal
minute	minutes,	minutes,
analysts	announcer	announcer
analyst	!	!
reports	investigative	investigative
report	post-war	post-war
charges	guilty	court.
charge	sentenced	sentenced
cars	racing	cars
car	car	car
businesses	mba	mba
business	sector.	sector.
voters	turnout	turnout
voter	ballots	ballots
patients	health	health
patient	treatment	treatment
men	man,	man,
man	enlisted	enlisted
prices	prices	prices
price	price	price
products	mother	mother
product	manufacturer	manufacturer
terms	means	means
term	subsidiary	subsidiary
leaders	party	party
leader	subsidiary	subsidiary
cars	racing	racing
car	chassis	ford
benefits	divorced	divorced
benefit	subsidiary	subsidiary
results	activists	activists
result	complete	complete
operations	activists	activists
operation	air	air
members	activist	activist
member	elect	elect
events	championships	athletics
event	special	special
officers	rank	rank
officer	shoulder	shoulder
parties	party,	party,
party	seats	seats
cases	court	supreme
case	charges	charges
men	man,	man,
man	men.	men.
officers	chief	chief
officer	officer	officer
charges	nurses	nurses
charge	pleaded	pleaded
employees	employees	employees
employee	full-time	full-time
rights	shoulder	shoulder
right	rights.	rights.
hours	hours	hours.
hour	hours,	hour
relations	men	men
relation	relations.	relations.
sports	skiing	skiing
sport	basketball,	basketball,
people	moist	moist
person	census	census
systems	system,	system,
system	bureau,	bureau,
talks	syndicated	syndicated
talk	bureau,	bureau,
officials	website.	website.
official	bureau,	bureau,
kids	moist	moist
kid	bureau,	bureau,
schools	high	high
school	!	!
areas	land	land
area	!	!
points	abuse	alleged
point	!	!
owners	alleged	alleged
owner	!	!
concerns	investigation	abuse
concern	!	!
streets	avenue	avenue
street	streets.	roads
results	due	reported
result	ballots	achieving
questions	answer	answer
question	answer	answers
leaders	party	party
leader	leaders,	leaders,
decisions	court	decision,
decision	reversed	reversed
homes	innings	innings
home	homes,	homes,
lives	sentenced	sentenced
life	pregnant	daughter,
laws	law,	law,
law	legislation	regulations
issues	issue,	issue,
issue	issues.	management
groups	previous	previous
group	groups,	groups,
businesses	mba	mba
business	sector.	sector
rates	rates	60%
rate	rate	rate
minutes	goal	goal
minute	minutes,	minutes,
games	nintendo	nintendo
game	average;	average;
points	involving	involving
point	rebounds	rebounds
workers	employer	employer
worker	workers,	workers,
reasons	been	been
reason	prohibited	prohibited
groups	question	complex
group	groups,	groups,
students	students	students
student	school	grades
families	genus	genus
family	cdp	cdp
times	average;	=
time	game.	game's
hours	average;	average;
hour	hours.	hours.
standards	average;	=
standard	iso	requirements
teams	men's	men's
team	winners	winners
officers	average;	average;
officer	officers,	men
cases	court	court
case	court	witness
relations	prohibited	prohibited
relation	conversation	conversation
cities	cdp	cdp
city	towns	towns
teachers	school	school
teacher	students	literacy
owners	owner,	owner,
owner	property	property
parties	party.	liberal
party	party	party
analysts	announcer	announcer
analyst	!	!
schools	high	students
school	school	school
products	product.	product.
product	product	product
rules	specified	"most
rule	rules,	rules,
deaths	certified	certified
death	bought	mortality
months	week	week
month	sentenced	imprisonment
drugs	copies.	chart,
drug	drug	drug
men	copies.	certified
man	men.	men.
officials	copies.	copies.
official	officials,	officials,
employees	wins,	wins,
employee	employers	employers
drugs	drugs	trafficking
drug	alcohol	alcohol
friends	friends	friends
friend	friend	friend
laws	law,	law,
law	legislation	legislation
decisions	court's	appeals
decision	court	court
plans	plan.	plan.
plan	construct	construct
rates	rates	mortality
rate	rate	rate
analysts	announcer	announcer
analyst	!	!
relations	alleged	violent
relation	affairs	affairs
benefits	alleged	alleged
benefit	care	care
members	elected	elected
member	innings	innings
operations	closure	closure
operation	operation	operation
cities	neighborhoods	neighborhoods
city	average;	average;
questions	answer	answer
question	average;	average;
women	elderly	woman,
woman	average;	average;
problems	rebounds	rebounds
problem	problems.	problems.
results	points,	points,
result	although	although
citizens	assists	assists
citizen	visa	visa
questions	assists	assists
question	answer	answer
events	championships	championships
event	event	event
rates	rates	rate.
rate	rate	rate
weeks	copies	copies
week	week	peaking
talks	syndicated	syndicated
talk	palestinian	palestinian
terms	term,	term,
term	offer	offer
agencies	protection	protection
agency	agency	agency
parties	party.	party.
party	cdp	cdp
streets	avenue	lanes
street	township	township
minutes	penalty	penalty
minute	minutes,	township
products	products	products
product	cdp	township
men	man,	man,
man	cdp	township
lines	railway	rail
line	line	line
services	rail	rail
service	services,	services,
investors	investment	investment
investor	securities	securities
women	woman,	woman,
woman	occurred	occurred
groups	algebra	algebra
group	groups,	groups,
voters	turnout	turnout
voter	ballots	ballots
employees	employees	implemented
employee	paid	paid
products	brand	brand
product	technology	technology
students	students	classroom
student	school	school
benefits	creates	creates
benefit	costs	costs
drugs	arrest	arrest
drug	alcohol	alcohol
workers	prison	prison
worker	workers,	workers,
minutes	goal	penalty
minute	minutes,	minutes,
years	awards	arrest
year	older.	65
concerns	arrest	arrest
concern	authority.	affecting
rights	injury.	injury.
right	rights,	rights,
dollars	worth	worth
dollar	cost	cost
miles	density	density
mile	along	along
changes	climate	climate
change	effect	effect
benefits	ensuring	enhance
benefit	costs	costs
services	services	services
service	services,	services,
investors	equity	investors
investor	investment	investment
miles	density	density
mile	kilometers	kilometers
charges	guilty	along
charge	murder	murder
authorities	authority.	authority.
authority	arrest	arrest
services	services	service,
service	services,	services,
workers	workers,	workers,
worker	workers,	workers,
residents	affecting	affecting
resident	44,	25
artists	artists	artists
artist	artist	artist
owners	bought	bought
owner	directions	directions
projects	vs.	vs.
project	project	project
investors	equity	equity
investor	investment	investment
sales	auction	tickets
sale	copies.	copies.
jobs	part-time	part-time
job	job	job
concerns	concerns	chances
concern	by-election	(mp)
streets	avenue	avenue
street	r&b	houses
rights	copyright	copyright
right	rights,	rights,
results	singapore,	singapore,
result	r&b	r&b
cities	cdp	cdp
city	r&b	r&b
sources	russia,	russia,
source	r&b	r&b
buildings	residing	square
building	genus	genus
sources	residing	residing
source	genus	genus
issues	density	density
issue	genus	genus
authorities	residing	residing
authority	genus	genus
prices	residing	residing
price	genus	genus
minutes	goal	goal
minute	minutes,	minutes,
laws	law.	law.
law	laws,	laws,
states	legislature	legislature
state	u.s.	u.s.
artists	artists	artists
artist	artist	artist
officers	commanding	commanding
officer	staff	staff
rights	rights	rights
right	activists	activists
streets	avenue	avenue
street	name	name
cases	court	court
case	case	case
efforts	agreement.	agreement.
effort	name	name
men	man,	man,
man	men.	men.
streets	avenue	avenue
street	streets.	streets.
hours	footballer	footballer
hour	hours,	hours,
products	australian	brand
product	products,	products,
citizens	australian	australian
citizen	holders	holders
officers	commanding	commanding
officer	army	army
lines	railway	railway
line	line	line
services	services	services
service	service	service
ways	round,	round,
way	coach	coach
cities	borough	borough
city	towns	towns
kids	winners	knockout
kid	freshman	teammate
results	kidney	kidney
result	indicate	indicate
events	athletics	athletics
event	event,	event,
teachers	emigrated	emigrated
teacher	students,	students,
artists	artists	painter.
artist	artist	artist
cars	cars	cars
car	renault	renault
drugs	drugs	drugs
drug	drug	drug
days	birthday	birthday
day	minutes	minutes
citizens	citizenship	citizenship
citizen	visa	visa
companies	company,	company,
company	company,	industries
cars	cars	cars
car	car	car
projects	projects	projects
project	highway	highway
months	united	united
month	highway	highway
analysts	nbc	nbc
analyst	!	!
leaders	united	nationalist
leader	highway	regime
benefits	countries,	countries,
benefit	highway	highway
plans	plans	plans
plan	planned	planned
weeks	chart	chart
week	week	week
miles	density	density
mile	kilometres	kilometres
students	students	students
student	high	high
families	gastropod	gastropod
family	residing	residing
deaths	sentenced	sentenced
death	casualties	killer
miles	density	density
mile	bureau,	lies
cities	cdp	cdp
city	cities.	cities.
points	towards	towards
point	rebounds	rebounds
students	students	students
student	grades	grades
parties	party.	party.
party	seats	seats
weapons	guns,	guns,
weapon	ammunition	ammunition
artists	artists	artists
artist	artists,	albums
jobs	full-time	full-time
job	firm	firm
benefits	relating	relating
benefit	comparative	comparative
investors	equity	equity
investor	investor	investor
games	nintendo	gameplay
game	average;	average;
cities	cdp	capita
city	towns	towns
buildings	building.	building.
building	buildings,	buildings,
concerns	sense	sense
concern	environmental	environmental
years	year,	year,
year	age	age
reasons	indeed	indeed
reason	reasons.	cited
sports	clubs,	clubs,
sport	basketball,	sports.
leaders	party	party
leader	movement	movement
concerns	fears	fears
concern	pollution	pollution
deaths	died	died
death	death.	surveys
men	woman	woman
man	women	prison
kids	pregnant	pregnant
kid	prison	prison
decisions	court's	court's
decision	court	court
families	genus	genus
family	per	per
rights	left	left
right	rights,	rights,
patients	patients	patients
patient	treatment	treatment
operations	operations	operations
operation	operations.	operations.
products	products	products
product	foods	foods
students	students	academic
student	school	school
lines	railway	railway
line	line	line
schools	secondary	secondary
school	school	school
losses	sector.	sector,
loss	losses,	suffered
days	sector.	sector.
day	mba	mba
cars	racing	racing
car	chassis	chassis
children	m)	m)
child	living	living
drugs	drugs	drugs
drug	drug	drug
patients	m)	m)
patient	treatment	spinal
men	man,	man,
man	officers	officers
teachers	m)	dollars
teacher	teachers,	educate
problems	problems	problems
problem	solve	solve
countries	singles	singles
country	agreements	agreements
women	women	women
woman	men	girls
artists	paintings	paintings
artist	artist	artist
benefits	cancer	cancer
benefit	cost	cost
streets	avenue	avenue
street	streets.	streets.
systems	software,	software,
system	systems.	systems.
sales	brands	brands
sale	copies.	copies.
cases	court	court
case	genocide	genocide
charges	sentenced	fell
charge	guilty	guilty
people	present	present
person	residing	units
friends	friends	friends
friend	friend	friend
weapons	weapons	gun
weapon	ammunition	missile
citizens	citizenship	intelligence
citizen	citizens,	citizens,
teachers	pupil	pupil
teacher	students	students
rates	rates	rates
rate	rate	rate
days	day,	day,
day	before	before
kids	mentally	mentally
kid	life	life
cars	car,	drivers
car	car	car
owners	bought	bought
owner	father	possession
laws	law.	law.
law	racial	racial
sports	club,	club,
sport	density	density
parents	subsidiary	company
parent	density	residing
men	woman	life
man	density	density
companies	company,	owned
company	density	units
systems	heat	heat
system	systems,	systems,
relations	complicated	latter
relation	ambassador	ambassador
questions	answer	answer
question	answered	answered
groups	feedback	feedback
group	groups,	groups,
cars	cars	cars
car	cars,	cars,
friends	friends.	invites
friend	friend	friend
reports	hours,	hours,
report	allegations	investigated
buildings	building.	building.
building	buildings.	buildings.
artists	artists	artists
artist	artists,	artists,
companies	company,	company,
company	company	industries
hours	weekday	weekday
hour	days	days
events	championships	championships
event	event	competed
officials	website.	website.
official	warned	warned
decisions	court	court
decision	court	court
benefits	countries,	countries,
benefit	costs	costs
employees	employer	employer
employee	full-time	employers
lines	railway	railway
line	bus	bus
laws	law.	law.
law	legislation	enacted
efforts	order	order
effort	intention	intention
numbers	peaked	peaked
number	size.	size.
lives	sentenced	sentenced
life	peaked	peaked
rules	numbers,	numbers,
rule	chart	chart.
products	brand	brand
product	peaked	peaked
residents	immigrants	immigrants
resident	"billboard"	"billboard"
parents	subsidiary	company,
parent	chart	chart.
weeks	chart,	chart,
week	week	week
weapons	anti-aircraft	anti-aircraft
weapon	weapon	weapons,
artists	painter	painter
artist	artist	artist
benefits	countries,	agreed
benefit	party.	leadership
decisions	court	supreme
decision	party.	party.
months	january.	duty
month	weeks	weeks
talks	programming	programming
talk	denied	denied
weeks	chart,	chart
week	week	days
members	elected	assembly.
member	petition	petition
states	representatives	representatives
state	united	united
candidates	election	election
candidate	vote	vote
employees	employer	employer
employee	full-time	full-time
men	man,	man,
man	women	women
authorities	authority.	authority.
authority	arrest	arrest
decisions	court	court
decision	appeal	appeal
weeks	chart,	chart,
week	months	months
efforts	information,	information,
effort	railway	help
sports	sport.	sport.
sport	basketball,	basketball,
days	day,	day,
day	months	months
experts	copied	copied
expert	railway	railroad
members	elected	elected
member	subdivided	crew,
losses	damage	damage
loss	losses,	losses,
players	professional	professional
player	player	player
men	woman	woman
man	women	women
standards	requirements	trim
standard	iso	iso
friends	friends.	good
friend	friends,	friends,
hours	weekday	weekday
hour	hour	hour
terms	word	word
term	theorem	theorem
results	accounting	management
result	generalized	generalized
sources	water	water
source	different	different
businesses	firms	firms
business	sector.	sector.
times	minutes	leaving
time	six	six
systems	use	use
system	computer	computer
conditions	condition.	spinal
condition	conditions.	conditions.
issues	decide	decide
issue	issues,	issues,
deaths	brother's	brother's
death	radio	radio
friends	lifelong	lifelong
friend	radio	radio
cases	reversed	reversed
case	radio	radio
members	elected	elected
member	radio	radio
games	nintendo	game.
game	=	=
services	services	network,
service	services.	services.
schools	high	high
school	students	colleges
games	game.	game.
game	average;	games.
operations	operations	missions
operation	air	coordinated
parents	subsidiary	nbc
parent	mother's	mother's
lines	!	!
line	bus	high-speed
numbers	!	!
number	become	become
officials	!	!
official	officials,	officials,
families	!	!
family	cdp	there
groups	!	!
group	groups,	considered
projects	plans	plans
project	project	awareness
streets	avenue	avenue
street	street.	street.
hours	weekday	weekday
hour	hours.	hours.
kids	wilderness	wilderness
kid	facade	facade
cars	chevrolet	chevrolet
car	car	car
things	it's	it's
thing	think	think
conditions	syndrome	syndrome
condition	avenue	conditions.
members	elected	elected
member	avenue	avenue
states	senate.	senate.
state	u.s.	u.s.
sports	sports	recreational
sport	basketball,	basketball,
problems	problem.	problem.
problem	problem	problem
times	days	days
time	times,	times,
plans	fund	fund
plan	redevelopment	redevelopment
sales	auction	thousands
sale	copies.	commemorative
allegations	!	!
allegation	investigation	investigate
people	labelled	labelled
person	residing	households,
miles	density	density
mile	west	approximately
rules	authority,	authority,
rule	regulations	regulations
standards	iso	iso
standard	regulations	regulations
men	man,	man,
man	killed	killed
things	really	isn't
thing	you	you
people	attitudes	attitudes
person	residing	residing
operations	operations	operations
operation	operation	operation
terms	meaning	meaning
term	objectives	objectives
states	senate.	senate.
state	u.s.	u.s.
businesses	mba	mba
business	sector,	sector,
problems	problems	problems
problem	problem.	problem.
cities	borough	borough
city	towns	provinces
officers	rank	rank
officer	officer	army
owners	bought	bought
owner	did	novelist
services	service,	service,
service	services,	services,
dollars	currency	currency
dollar	cost	operation,
cities	cdp	those
city	suburbs	suburbs
players	professional	professional
player	player	player
men	men	men
man	men,	men,
products	premium	premium
product	products.	entrepreneur
changes	expect	expect
change	entrepreneur	greater
reports	investigate	investigate
report	press	press
men	man,	man,
man	women	women
questions	answer	answer
question	answer	ask
workers	employer	employer
worker	workers,	workers,
losses	overtime	overtime
loss	suffered	suffered
laws	law.	law.
law	laws,	laws,
citizens	citizenship	organizational
citizen	visa	visa
families	gastropod	gastropod
family	cdp	poverty
bank's	savings	savings
bank	!	!
boy's	teenage	teenage
boy	!	!
film's	cannes	cannes
film	cdp	cdp
play's	game	lower
play	!	!
game's	nintendo	nintendo
game	cdp	versus
district's	village	village
district	enrollment	enrollment
park's	park,	park,
park	!	!
girl's	mrs	mrs
girl	!	!
firm's	partners.	partner
firm	!	!
community's	center	center
community	!	!
author's	novel	novel
author	!	!
today's	attracts	attracts
today	company,	limited,
summer's	olympics	olympics
summer	!	!
day's	days	days
day	!	!
station's	station,	station,
station	channel	channel
agency's	agency,	agency,
agency	!	!
judge's	court	court.
judge	!	!
area's	total	total
area	!	!
center's	center,	center,
center	!	!
county's	county.	somerset
county	county	county
child's	care	care
child	!	!
region's	province	province
region	!	!
couple's	daughters.	daughters.
couple	!	!
committee's	committee.	committee.
committee	!	!
book's	books	books
book	!	!
president's	vice	vice
president	sussex	sussex
area's	land.	land.
area	!	!
team's	basketball	basketball
team	england	england
university's	university.	university.
university	university,	campus
band's	drummer	drummer
band	album,	album.
project's	planned	planned
project	!	!
wife's	married	married
wife	!	!
sheriff's	mp	baron
sheriff	!	!
network's	network.	network.
network	network,	network,
company's	company,	inc.,
company	#1	#1
girl's	bar	bar
girl	!	!
project's	longest	longest
project	!	!
play's	player	player
play	!	!
program's	programs	diploma
program	!	!
father's	elder	elder
father	championships.	championships.
community's	unincorporated	unincorporated
community	!	!
market's	price	price
market	!	!
game's	nintendo	console
game	gameplay	gameplay
governor's	governor.	governor.
governor	farms	farms
band's	punk	punk
band	album,	album,
show's	talk	talk
show	series'	series'
community's	unincorporated	unincorporated
community	!	!
governor's	governor.	governor.
governor	instituted	instituted
school's	kindergarten	kindergarten
school	school	school
band's	band.	band.
band	album,	recorded
person's	!	!
person	lawyer	lawyer
film's	!	!
film	actors	lawyer
play's	!	!
play	judge	judge
program's	!	!
program	judge	judge
doctor's	!	!
doctor	judge	judge
hospital's	psychiatric	psychiatric
hospital	!	!
region's	students	students
region	!	!
everyone's	math	math
everyone	!	!
town's	town.	town.
town	village	village
government's	minister	minister
government	village	village
court's	appeals	appeals
court	supreme	supreme
everyone's	shocked	shocked
everyone	!	!
father's	brother	death
father	men's	men's
week's	chart,	chart,
week	!	!
league's	league,	reds
league	championship	championship
agency's	agency,	agency,
agency	!	!
panel's	trim	trim
panel	!	!
wife's	married	married
wife	!	!
company's	company,	owned
company	company	company
organization's	non-profit	non-profit
organization	inc.,	inc.,
woman's	!	!
woman	chart	chart
weekend's	!	!
weekend	chart,	chart,
attorney's	!	!
attorney	chart,	chart,
party's	!	!
party	chart	chart
union's	!	!
union	chart,	chart,
today's	library.	library.
today	school.	school.
park's	park.	park.
park	!	!
month's	july.	july.
month	!	!
show's	airing	airing
show	series'	series'
coroner's	!	!
coroner	!	!
board's	!	!
board	mp	mp
nation's	!	!
nation	maintaining	maintaining
artist's	!	!
artist	mp	mp
union's	!	!
union	mp	mp
band's	!	!
band	album,	album,
woman's	wonder	wonder
woman	party,	party,
weekend's	saturday	saturday
weekend	!	!
driver's	drivers	drivers
driver	!	!
band's	guitarist	guitarist
band	album,	album,
jury's	trial	trial
jury	!	!
nation's	!	!
nation	agency,	agency,
man's	!	!
man	agencies	agencies
doctor's	!	!
doctor	agency,	agency,
county's	!	!
county	county	governmental
week's	!	!
week	agency,	agency,
board's	!	!
board	commune	commune
author's	!	!
author	commune	commune
evening's	!	!
evening	commune	commune
girl's	!	!
girl	commune	commune
world's	!	!
world	departments	departments
bank's	savings	savings
bank	!	!
patient's	patients	patients
patient	!	!
commission's	commission.	joint
commission	!	!
book's	books	books
book	!	!
band's	punk	punk
band	album,	album,
summer's	!	!
summer	council.	council.
project's	!	!
project	council.	council.
patient's	!	!
patient	council.	council.
area's	!	!
area	council.	council.
father's	!	!
father	committee	committee
day's	!	!
day	committee	committee
club's	!	!
club	committee	committee
city's	!	!
city	directors	directors
play's	!	!
play	committee	committee
attorney's	!	!
attorney	committee	committee
tonight's	!	!
tonight	!	!
victim's	divorce	divorce
victim	!	!
wife's	married	divorce
wife	!	!
bill's	act,	act,
bill	!	!
game's	nintendo	nintendo
game	gastropod	gastropod
park's	park,	parks
park	!	!
daughter's	elizabeth	elizabeth
daughter	!	!
wife's	married	married
wife	!	!
center's	center,	center,
center	!	!
jury's	cannes	cannes
jury	!	!
tonight's	!	!
tonight	elected	elected
court's	!	!
court	court	court
society's	!	!
society	elected	elected
family's	!	!
family	elected	elected
league's	!	!
league	elected	council
boy's	!	!
boy	bureau,	bureau,
club's	!	!
club	land	land
group's	!	!
group	surrounding	surrounding
jury's	!	!
jury	bureau,	bureau,
governor's	!	!
governor	surrounding	surrounding
judge's	court	court
judge	!	!
station's	station,	station,
station	broadcasting	broadcasting
state's	iowa	iowa
state	republican	republican
baseball's	baseball.	baseball.
baseball	!	!
father's	brother	grandmother
father	democratic	democratic
association's	!	!
association	province	province
woman's	!	!
woman	province	autonomous
family's	!	!
family	province	province
father's	!	!
father	province	province
center's	!	!
center	province	province
child's	abuse	abuse
child	!	!
president's	vice	vice
president	daughter.	daughter.
night's	friday	friday
night	!	!
weekend's	morning	weekday
weekend	!	!
everyone's	soul	soul
everyone	!	!
nation's	!	!
nation	firms	firms
dollar's	!	!
dollar	partners.	partners.
system's	!	!
system	partners.	partners.
company's	!	!
company	partners	partners
driver's	!	!
driver	partners.	partners.
agency's	!	!
agency	commission.	commission.
firm's	!	!
firm	commission.	commission.
general's	!	!
general	commission.	commission.
administration's	!	!
administration	commission.	commission.
week's	!	!
week	commission.	commission.
author's	!	!
author	industry.	industry.
judge's	!	!
judge	industry.	industry.
program's	!	!
program	industry.	industry.
group's	!	!
group	industries	industries
book's	!	!
book	industry.	industry.
season's	!	!
season	season	season
master's	!	!
master	degree	degree
bank's	!	!
bank	friday	friday
party's	!	!
party	party	party
school's	!	!
school	school	high
tonight's	!	!
tonight	!	!
person's	verbal	verbal
person	person	person
park's	park.	park.
park	!	!
show's	television	shows.
show	series'	series'
general's	brigadier	brigadier
general	!	!
region's	municipality	municipality
region	!	!
bill's	amendment	amendment
bill	!	!
school's	high	high
school	school	school
county's	county.	county.
county	county	county
union's	union,	union,
union	!	!
board's	directors	directors
board	!	!
night's	discover	discover
night	!	!
patient's	patients	patients
patient	!	!
organization's	non-profit	non-profit
organization	morning	morning
father's	elder	elder
father	morning	morning
woman's	man	woman.
woman	cannes	drama
weekend's	saturday	saturday
weekend	!	!
community's	center	center
community	!	!
game's	nintendo	game.
game	thriller	thriller
administration's	administration,	administration,
administration	!	!
association's	!	!
association	mother	mother
daughter's	!	!
daughter	mother	mother
agency's	!	!
agency	mother	mother
boy's	!	!
boy	mother	mother
project's	!	!
project	mother	mother
hospital's	psychiatric	psychiatric
hospital	!	!
today's	mini	mini
today	finishes	finishes
victim's	alleged	charges
victim	!	!
family's	genus	beetle
family	her	divorce
company's	company,	company,
company	advertising	advertising
child's	!	!
child	july.	july.
victim's	!	!
victim	july.	july.
husband's	!	!
husband	her	her
bank's	!	!
bank	july.	july.
book's	!	!
book	july.	july.
industry's	!	!
industry	center,	center,
person's	!	!
person	community	now
daughter's	!	!
daughter	center,	center,
weekend's	!	!
weekend	center,	center,
governor's	!	!
governor	community	community
state's	legislature	missouri
state	season,	2014–15
station's	station,	station,
station	season,	channel
community's	unincorporated	unincorporated
community	!	!
program's	undergraduate	undergraduate
program	!	!
government's	foreign	foreign
government	season,	season,
country's	!	!
country	served	served
judge's	!	!
judge	brigadier	brigadier
play's	!	!
play	brigadier	brigadier
program's	!	!
program	brigadier	brigadier
baseball's	!	!
baseball	brigadier	brigadier
person's	campus,	complex.
person	degree	doctorate
council's	council.	committee
council	!	!
system's	system,	system,
system	!	!
club's	fc	fc
club	relegated	relegated
coroner's	!	!
coroner	!	!
association's	!	!
association	unincorporated	unincorporated
author's	!	!
author	unincorporated	unincorporated
park's	!	!
park	unincorporated	unincorporated
boy's	!	!
boy	unincorporated	unincorporated
family's	!	!
family	unincorporated	unincorporated
building's	!	!
building	court	court
mayor's	!	!
mayor	court	court
evening's	!	!
evening	court	court
government's	!	!
government	court	court
school's	!	!
school	court	court
court's	supreme	supreme
court	court	court
child's	parents	parents
child	!	!
boy's	teenage	teenage
boy	!	!
county's	county.	county.
county	club	club
governor's	governor.	governor.
governor	fa	fa
victim's	single.	single.
victim	!	!
region's	province	province
region	!	!
park's	parks	parks
park	!	!
city's	cdp	cdp
city	punk	punk
week's	chart,	chart,
week	!	!
president's	!	!
president	committee.	executive
girl's	!	!
girl	committee.	committee.
couple's	!	!
couple	committee.	committee.
film's	!	!
film	board	board
governor's	!	!
governor	executive	executive
mayor's	elected	elected
mayor	!	!
evening's	saturday	wednesday
evening	!	!
couple's	her	her
couple	!	!
center's	center.	center.
center	!	!
band's	rock	rock
band	householder	householder
mayor's	!	!
mayor	programs	programs
region's	!	!
region	programs	programs
attorney's	!	!
attorney	programs	programs
doctor's	!	!
doctor	programs	programs
administration's	!	!
administration	programs	programs
church's	!	!
church	museum,	museum,
evening's	!	!
evening	museum,	museum,
mother's	!	!
mother	museum,	museum,
university's	!	!
university	museum,	museum,
week's	!	!
week	museum,	museum,
author's	!	!
author	birthday	birthday
president's	!	!
president	day,	next
judge's	!	!
judge	birthday	birthday
community's	!	!
community	birthday	birthday
town's	!	!
town	birthday	birthday
network's	!	!
network	unions	unions
town's	!	!
town	unions	workers
party's	!	!
party	socialist	socialist
band's	!	!
band	album,	album
league's	!	!
league	league	league,
park's	!	!
park	administration.	administration.
bank's	!	!
bank	administration.	administration.
son's	!	!
son	administration.	administration.
doctor's	!	!
doctor	administration.	administration.
father's	!	!
father	administration.	administration.
president's	vice	president.
president	rugby	reportedly
author's	writer	writer
author	!	!
woman's	woman,	woman,
woman	football	football
man's	man,	man,
man	football	man
family's	genus	genus
family	professional	professional
author's	!	!
author	project,	project,
night's	!	!
night	project,	project,
boy's	!	!
boy	project,	project,
play's	!	!
play	project,	project,
father's	!	!
father	projects	eventually
building's	buildings	buildings
building	!	!
mayor's	elected	elected
mayor	!	!
committee's	committee.	executive
committee	!	!
community's	unincorporated	unincorporated
community	!	!
driver's	racing	racing
driver	!	!
judge's	court.	court.
judge	!	!
baseball's	baseball.	baseball.
baseball	!	!
game's	xbox	xbox
game	gameplay	gameplay
doctor's	doctorate	doctorate
doctor	!	!
jury's	prosecutor	prosecutor
jury	!	!
victim's	crime	trade.
victim	!	!
world's	championships,	championships,
world	largest	largest
play's	players	players
play	!	!
team's	team.	team.
team	points	points
jury's	guilty	guilty
jury	!	!
church's	!	!
church	eldest	succeeded
today's	!	!
today	eldest	youngest
daughter's	!	!
daughter	eldest	eldest
group's	!	!
group	eldest	younger
governor's	!	!
governor	daughter	younger
industry's	!	!
industry	markets	markets
council's	!	!
council	markets	markets
couple's	!	!
couple	markets	markets
county's	!	!
county	market,	market,
union's	!	!
union	markets	markets
hospital's	!	!
hospital	artists	artists
couple's	!	!
couple	artists	artists
community's	!	!
community	artists	artists
general's	!	!
general	artists	artists
county's	!	!
county	portrait	portrait
association's	!	!
association	bank,	bank,
artist's	!	!
artist	bank,	bank,
doctor's	!	!
doctor	bank,	bank,
university's	!	!
university	bank,	bank,
governor's	!	!
governor	savings	savings
evening's	!	!
evening	drivers	drivers
show's	!	!
show	series'	series'
community's	!	!
community	drivers	drivers
network's	!	!
network	drivers	drivers
week's	!	!
week	drivers	drivers
city's	cdp	cdp
city	downtown	downtown
bill's	amendment	amendment
