rougher	significantly	significantly
officer	enlisted	enlisted
concerns	issues	issues
concern	objections	objections
prices	prices	prices
price	price	price
schools	students	students
school	school	primary
feet	leg	leg
foot	meters	meters
reports	reports	reports
report	parliamentary	parliamentary
officials	youtube	youtube
official	parliamentary	parliamentary
teams	football	teams
team	team	team
cases	court	sentence
case	supreme	clients
relations	ethical	matters
relation	bilateral	bilateral
residents	delays	delays
resident	population	homes
issues	magazine	interference
issue	topics	topics
families	crambidae	crambidae
family	households	population
months	calendar	calendar
month	years	years
minutes	goal	substitute
minute	seconds	seconds
losses	losses	losses
loss	loss	loss
games	xbox	xbox
game	game	game
agencies	agencies	agencies
agency	federal	federal
times	spends	spends
time	herald	herald
people	singular	singular
person	population	population
weapons	rifles	rifles
weapon	nuclear	nuclear
families	cerambycidae	cerambycidae
family	households	households
authorities	accreditation	jurisdiction
authority	authority	authority
cases	court	court
case	magazine	alleged
relations	topics	topics
relation	diplomatic	diplomatic
kids	topics	billy
kid	please	please
authorities	jurisdiction	jurisdiction
authority	protectorate	charge
cars	cars	cars
car	car	toyota
people	singular	singular
person	population	population
efforts	help	help
effort	reconstruction	reconstruction
artists	illustrator	illustrator
artist	arts	arts
students	universities	universities
student	grades	enrolled
concerns	institutes	expressed
concern	graduated	graduated
times	spent	spent
time	columnist	columnist
streets	avenue	avenue
street	street	street
investors	investors	investors
investor	investment	equity
dollars	pound	pound
dollar	million	million
days	celebration	celebration
day	month	month
laws	constitutional	constitutional
law	act	act
standards	optional	optional
standard	compliance	guidelines
allegations	!	!
allegation	fraud	fraud
decisions	court	court
decision	supreme	appeals
authorities	governing	governing
authority	protectorate	protectorate
conditions	syndrome	patients
condition	weather	weather
rules	after	kingdoms
rule	regulations	afl
standards	basic	basic
standard	requirements	safety
parents	subsidiary	subsidiary
parent	child	child
officers	commanding	commanding
officer	enlisted	enlisted
countries	billboard	herald
country	spends	spends
terms	article	article
term	term	term
years	honors	honors
year	age	age
citizens	herald	herald
citizen	arabs	arabs
residents	reviewer	correspondent
resident	population	population
businesses	women	olympic
business	sector	sector
drugs	women	women
drug	cocaine	cocaine
reports	olympic	olympic
report	newspaper	newspaper
reasons	women	olympics
reason	johnny	johnny
teachers	women	olympics
teacher	part-time	part-time
minutes	goal	goal
minute	hours	hours
analysts	commentator	commentator
analyst	accuracy	accuracy
reports	investigation	investigation
report	journal	journal
charges	authorities	authorities
charge	convicted	convicted
cars	cars	cars
car	car	car
businesses	banking	banking
business	sector	neighborhoods
voters	turnout	turnout
voter	ballots	turnout
patients	care	care
patient	treatment	acute
men	woman	finds
man	women	medal
prices	prices	prices
price	price	price
products	products	products
product	market	market
terms	children	phrase
term	term	term
leaders	party	opposition
leader	media	media
cars	cars	cars
car	car	car
benefits	child	child
benefit	insurance	insurance
results	equality	equality
result	left	finances
operations	equality	equality
operation	deployed	deployed
members	elected	committee
member	left	left
events	paralympics	paralympics
event	event	event
officers	commanding	commanding
officer	enlisted	enlisted
parties	liberal	liberal
party	party	party
cases	court	cases
case	court	court
men	because	because
man	championships	athletics
officers	commanding	commanding
officer	enlisted	enlisted
charges	charged	police
charge	convicted	trial
employees	employer	employer
employee	employers	employers
rights	left	left
right	equality	human
hours	hours	hours
hour	hour	hour
relations	uniform	uniform
relation	bilateral	diplomacy
sports	sports	sports
sport	softball	softball
people	singular	singular
person	population	population
systems	systems	subtropical
system	software	software
talks	syndicated	syndicated
talk	negotiations	negotiations
officials	website	deciduous
official	bureau	bureau
kids	moist	magician
kid	're	're
schools	kindergarten	kindergarten
school	!	!
areas	covers	covers
area	!	!
points	investigation	investigation
point	!	!
owners	investigation	investigation
owner	!	!
concerns	complaints	complaints
concern	!	!
streets	avenue	avenue
street	street	street
results	due	due
result	conducts	conducts
questions	questions	questions
question	answer	answer
leaders	party	party
leader	assassination	assassination
decisions	appeals	judge
decision	matters	matters
homes	batting	batting
home	apartments	apartments
lives	prison	prison
life	metro	suppress
laws	laws	laws
law	law	law
issues	magazine	magazine
issue	topics	topics
groups	end	end
group	politicians	politicians
businesses	investment	investment
business	sector	sector
rates	rates	rates
rate	rate	prices
minutes	hat-trick	hat-trick
minute	seconds	seconds
games	playstation	playstation
game	game	game
points	minorities	minorities
point	rebounds	rebounds
workers	wage	wage
worker	employers	wages
reasons	strongly	strongly
reason	citing	citing
groups	party	party
group	demonstrations	demonstrations
students	students	students
student	school	school
families	cerambycidae	cerambycidae
family	households	households
times	olympic	olympic
time	reviewer	reviewer
hours	hours	hours
hour	hour	hour
standards	olympic	olympic
standard	strict	strict
teams	championships	championships
team	football	football
officers	commanding	commanding
officer	enlisted	enlisted
cases	court	court
case	abortion	abortion
relations	investigation	investigation
relation	bilateral	diplomacy
cities	makeup	borough
city	towns	towns
teachers	teachers	teachers
teacher	teaching	teaching
owners	bought	bought
owner	purchased	purchased
parties	liberal	labour
party	party	socially
analysts	espn	espn
analyst	similarly	similarly
schools	schools	schools
school	school	school
products	products	products
product	sells	sells
rules	protectorate	protectorate
rule	regulations	regulations
deaths	copies	copies
death	ownership	ownership
months	copies	copies
month	probation	probation
drugs	copies	copies
drug	cocaine	cocaine
men	copies	copies
man	women	women
officials	copies	copies
official	enforcement	enforcement
employees	compensation	compensation
employee	employers	employers
drugs	fda	fda
drug	cocaine	alcohol
friends	mentor	mentor
friend	longtime	longtime
laws	laws	laws
law	act	act
decisions	court	decisions
decision	courts	courts
plans	convicted	trial
plan	planning	planning
rates	rates	rates
rate	rate	higher
analysts	commentator	commentators
analyst	directorate	appreciation
relations	fraud	fraud
relation	bilateral	bilateral
benefits	fraud	payments
benefit	pay	pay
members	elected	elected
member	member	group
operations	residences	residences
operation	combat	combat
cities	metropolitan	metropolitan
city	city	city
questions	questions	questions
question	answers	answers
women	residences	residences
woman	men	men
problems	assists	assists
problem	problem	problem
results	assists	assists
result	northeast	tight
citizens	assists	assists
citizen	minorities	indians
questions	assists	assists
question	question	question
events	assists	assists
event	event	athletics
rates	unemployment	unemployment
rate	mortality	boost
weeks	peaked	peaked
week	chart	chart
talks	news	news
talk	negotiations	agreement
terms	meaning	meaning
term	equations	equations
agencies	employees	employees
agency	regulatory	regulatory
parties	liberal	socialist
party	party	party
streets	avenue	avenue
street	street	street
minutes	minutes	minutes
minute	seconds	seconds
products	products	market
product	textiles	textiles
men	towns	woman
man	women	women
lines	railway	railway
line	linked	linked
services	services	services
service	service	service
investors	investors	investors
investor	investments	investments
women	her	her
woman	men	men
groups	groups	majority
group	distinct	distinct
voters	turnout	turnout
voter	ballots	ballots
employees	employers	employers
employee	employers	employers
products	products	products
product	toys	toys
students	students	students
student	pupils	pupils
benefits	payments	payments
benefit	compensation	compensation
drugs	trafficking	trafficking
drug	alcohol	alcohol
workers	workers	raped
worker	employees	employees
minutes	hat-trick	hat-trick
minute	seconds	seconds
years	freshman	month
year	age	age
concerns	concerns	nazis
concern	concern	concern
rights	left	impacts
right	equality	equality
dollars	currency	currency
dollar	million	million
miles	density	density
mile	kilometres	kilometres
changes	impacts	impacts
change	underwent	underwent
benefits	welfare	welfare
benefit	wage	wage
services	operated	operated
service	service	provider
investors	investors	investors
investor	investment	investment
miles	density	density
mile	kilometres	approximately
charges	charged	put
charge	sentenced	sentenced
authorities	authorities	ordinary
authority	conflict	conflict
services	services	services
service	service	service
workers	employers	employers
worker	skilled	skilled
residents	nationals	nationals
resident	population	population
artists	painter	painter
artist	poets	poets
owners	bought	property
owner	granting	granting
projects	construction	construction
project	efforts	efforts
investors	investors	investors
investor	investment	equity
sales	auction	auction
sale	copies	copies
jobs	full-time	full-time
job	employees	employees
concerns	issues	disputes
concern	environmental	environmental
streets	avenue	avenue
street	street	street
rights	arm	arm
right	equality	equality
results	relations	relations
result	previous	previous
cities	0.1	0.3
city	towns	towns
sources	regions	regions
source	source	source
buildings	households	households
building	crambidae	crambidae
sources	households	population
source	subfamily	subfamily
issues	households	households
issue	cerambycidae	cerambycidae
authorities	population	population
authority	subfamily	subfamily
prices	households	households
price	crambidae	crambidae
minutes	goal	goal
minute	seconds	seconds
laws	laws	violation
law	law	act
states	uttar	dakota
state	united	united
artists	art	art
artist	sole	sole
officers	commanding	commanding
officer	enlisted	enlisted
rights	left	left
right	equality	advocated
streets	avenue	avenue
street	street	avenue
cases	court	upheld
case	criminal	criminal
efforts	help	tried
effort	reconstruction	reconstruction
men	life	creature
man	women	women
streets	avenue	avenue
street	street	street
hours	weekday	weekday
hour	hour	hour
products	australian	australian
product	textiles	textiles
citizens	australian	australian
citizen	citizen	citizen
officers	commanding	commanding
officer	enlisted	enlisted
lines	railway	railway
line	line	line
services	services	services
service	provider	provider
ways	themselves	themselves
way	squad	beneficial
cities	metropolitan	metropolitan
city	towns	towns
kids	gonna	cyril
kid	survivor	survivor
results	financed	carried
result	welcomed	welcomed
events	freestyle	freestyle
event	event	event
teachers	teachers	teachers
teacher	students	students
artists	painter	painter
artist	poets	poets
cars	racing	racing
car	car	car
drugs	addiction	addiction
drug	cocaine	cocaine
days	every	every
day	years	years
citizens	tuition	passport
citizen	swiss	swiss
companies	corporation	corporation
company	company	company
cars	cars	cars
car	car	car
projects	projects	projects
project	andhra	andhra
months	united	united
month	pradesh	pradesh
analysts	espn	espn
analyst	pradesh	pradesh
leaders	party	party
leader	pradesh	pradesh
benefits	united	payments
benefit	pradesh	advantages
plans	proposed	concerns
plan	construction	construction
weeks	chart	chart
week	chart	charts
miles	density	density
mile	kilometres	kilometres
students	students	students
student	school	courses
families	crambidae	crambidae
family	households	households
deaths	his	his
death	accounted	accounted
miles	km	km
mile	kilometres	northeast
cities	town	swansea
city	towns	towns
points	both	both
point	assists	rebounds
students	students	students
student	school	school
parties	liberal	liberal
party	party	party
weapons	weapons	weapons
weapon	weapon	weapon
artists	illustrator	illustrator
artist	lawyers	lawyers
jobs	full-time	coaching
job	employees	employees
benefits	payments	payments
benefit	liability	liability
investors	investors	investment
investor	investment	investment
games	xbox	xbox
game	game	game
cities	town	town
city	towns	towns
buildings	buildings	buildings
building	building	building
concerns	privacy	mankind
concern	concern	addressing
years	month	prizes
year	age	age
reasons	colleges	colleges
reason	report	report
sports	sports	sports
sport	softball	softball
leaders	opposition	opposition
leader	cia	conflict
concerns	privacy	privacy
concern	environmental	report
deaths	his	survived
death	death	death
men	villains	villains
man	women	women
kids	dj	unsuccessful
kid	!	!
decisions	court	court
decision	matters	matters
families	cerambycidae	cerambycidae
family	households	were
rights	left	left
right	equality	advocates
patients	patients	patients
patient	treatment	treatment
operations	operations	operations
operation	operation	deployment
products	products	products
product	sells	sells
students	conferences	conferences
student	school	pupils
lines	railway	railway
line	line	line
schools	kindergarten	kindergarten
school	school	school
losses	tackles	tackles
loss	financial	financial
days	holidays	holidays
day	day	day
cars	cars	drivers
car	car	car
children	meters	inches
child	living	living
drugs	cocaine	cocaine
drug	drug	drug
patients	meters	meters
patient	treatment	treatment
men	meters	meters
man	women	swimming
teachers	meters	meters
teacher	part-time	part-time
problems	problems	problems
problem	financial	financial
countries	number	number
country	europe	europe
women	raped	raped
woman	men	swimming
artists	painter	painter
artist	contemporary	contemporary
benefits	treatment	benefits
benefit	employment	employment
streets	avenue	avenue
street	street	street
systems	systems	systems
system	system	system
sales	purchase	purchase
sale	copies	million
cases	court	court
case	criminal	criminal
charges	distributor	distributor
charge	acquitted	acquitted
people	singular	plural
person	population	population
friends	long-time	long-time
friend	friend	friend
weapons	weapons	weapons
weapon	weapon	weapon
citizens	indicating	indicating
citizen	minorities	minorities
teachers	teachers	math
teacher	students	part-time
rates	rates	rates
rate	low	tuition
days	celebrations	celebrations
day	after	after
kids	ugly	ugly
kid	his	my
cars	cars	cars
car	gt	gt
owners	developer	developer
owner	property	property
laws	act	act
law	regulations	regulations
sports	sports	sports
sport	softball	softball
parents	kilometres	offspring
parent	child	child
men	kilometres	handsome
man	women	paralympics
companies	companies	companies
company	corporation	corporation
systems	gps	gps
system	software	linux
relations	outcome	outcome
relation	bilateral	bilateral
questions	questions	questions
question	answer	answer
groups	back	back
group	atoms	atoms
cars	cars	cars
car	car	gt
friends	longtime	longtime
friend	friendship	friendship
reports	inquiry	inquiry
report	journal	journal
buildings	buildings	buildings
building	building	building
artists	illustrator	illustrator
artist	collaborations	collaborations
companies	corporation	corporation
company	company	company
hours	newscast	newscast
hour	minutes	minutes
events	championships	championships
event	event	event
officials	website	website
official	government	government
decisions	unanimously	unanimously
decision	supreme	court
benefits	payments	payments
benefit	tax	tax
employees	employer	employer
employee	employers	employers
lines	railway	trains
line	line	line
laws	laws	laws
law	law	law
efforts	help	would
effort	fundraising	fundraising
numbers	chart	peaked
number	integer	integer
lives	imprisonment	imprisonment
life	chart	number-one
rules	monarchy	monarchy
rule	chart	billboard
products	codes	codes
product	chart	chart
residents	commissioner	commissioner
resident	chart	peaking
parents	subsidiary	offspring
parent	chart	number-one
weeks	chart	chart
week	chart	chart
weapons	weapons	weapons
weapon	nuclear	ammunition
artists	painter	painter
artist	movement	movement
benefits	payment	payment
benefit	labour	workers
decisions	court	court
decision	judicial	judicial
months	per	per
month	sentenced	sentenced
talks	syndicated	syndicated
talk	negotiations	negotiations
weeks	chart	chart
week	chart	number
members	elected	elected
member	member	member
states	nadu	nadu
state	united	united
candidates	election	election
candidate	vote	voters
employees	bases	bases
employee	employers	employers
men	she	herself
man	women	women
authorities	airport	airport
authority	protectorate	discover
decisions	court	court
decision	supreme	arbitration
weeks	chart	billboard
week	chart	chart
efforts	unable	unable
effort	poverty	18
sports	sports	sports
sport	softball	softball
days	every	every
day	years	years
experts	humble	humble
expert	below	below
members	elected	assembly
member	member	member
losses	weather	weather
loss	casualties	casualties
players	professional	played
player	player	player
men	weather	life
man	athletics	athletics
standards	weather	temperatures
standard	iso	iso
friends	compliance	agency
friend	optional	optional
hours	weekday	weekday
hour	minutes	optional
terms	obligations	obligations
term	term	term
results	obligations	obligations
result	optional	optional
sources	waste	waste
source	testament	testament
businesses	company	company
business	sector	sector
times	spent	spent
time	herald	herald
systems	systems	systems
system	system	system
conditions	patient	patient
condition	weather	weather
issues	magazine	weekly
issue	topics	topics
deaths	his	sudden
death	syndicated	news
friends	peace	peace
friend	syndicated	syndicated
cases	trial	trial
case	syndicated	syndicated
members	elected	elected
member	syndicated	airs
games	playstation	playstation
game	game	game
services	services	network
service	service	service
schools	elementary	elementary
school	school	grades
games	playstation	playstation
game	game	summer
operations	operations	operations
operation	deployed	deployed
parents	network	network
parent	children	children
lines	railway	railway
line	line	line
numbers	chart	billboard
number	integer	integer
officials	website	website
official	commentator	consultant
families	cerambycidae	subfamily
family	population	population
groups	band	70s
group	consultant	rogers
projects	projects	projects
project	project	project
streets	avenue	avenue
street	street	street
hours	hours	hours
hour	minutes	minutes
kids	stuart	stuart
kid	!	!
cars	cars	cars
car	car	car
things	'll	'll
thing	what	what
conditions	patients	patients
condition	weather	weather
members	elected	elected
member	member	member
states	nadu	nadu
state	united	united
sports	sports	skiing
sport	softball	softball
problems	millions	millions
problem	problem	problem
times	millions	millions
time	reviewer	reviewer
plans	millions	millions
plan	coin	reluctant
sales	sold	sold
sale	copies	copies
allegations	!	!
allegation	investigation	accusations
people	nouns	suffix
person	population	population
miles	belmont	belmont
mile	approximately	approximately
rules	ottomans	ottomans
rule	victorian	victorian
standards	alloy	alloy
standard	iso	iso
men	lover	lover
man	women	olympics
things	something	something
thing	told	told
people	tense	tense
person	residing	residing
operations	libya	libya
operation	operation	operation
terms	terms	terms
term	term	comparing
states	nadu	nadu
state	united	united
businesses	banking	companies
business	sector	sector
problems	philosophers	philosophers
problem	illustrator	illustrator
cities	cdp	cdp
city	towns	towns
officers	commanding	commander
officer	enlisted	officer
owners	tavern	tavern
owner	illustrator	illustrator
services	services	services
service	service	service
dollars	coin	currency
dollar	billion	billion
cities	town	town
city	towns	towns
players	basketball	basketball
player	player	player
men	meets	meets
man	championships	swimming
products	products	market
product	sells	sells
changes	changes	changes
change	change	change
reports	reports	reports
report	report	report
men	returns	returns
man	women	women
questions	questions	questions
question	answers	answers
workers	wage	wage
worker	labor	labor
losses	suffered	suffered
loss	wins	wins
laws	laws	laws
law	law	law
citizens	micro	micro
citizen	climate	climate
families	crambidae	crambidae
family	households	households
bank's	!	!
bank	town	town
boy's	!	!
boy	town	town
film's	!	!
film	town	town
play's	!	!
play	town	town
game's	!	!
game	town	town
district's	!	!
district	ranked	ranked
park's	!	!
park	ranked	ranked
girl's	!	!
girl	ranked	ranked
firm's	!	!
firm	ranked	ranked
community's	!	!
community	ranked	ranked
author's	!	!
author	corporation	corporation
today's	!	!
today	corporation	corporation
summer's	!	!
summer	corporation	corporation
day's	!	!
day	corporation	corporation
station's	!	!
station	corporation	corporation
agency's	!	!
agency	uttar	uttar
judge's	!	!
judge	uttar	uttar
area's	!	!
area	uttar	uttar
center's	!	!
center	uttar	uttar
county's	!	!
county	uttar	uttar
child's	!	!
child	freshman	freshman
region's	!	!
region	freshman	freshman
couple's	!	!
couple	freshman	freshman
committee's	!	!
committee	freshman	freshman
book's	!	!
book	freshman	freshman
president's	!	!
president	district	district
area's	!	!
area	district	district
team's	!	!
team	district	district
university's	!	!
university	district	district
band's	!	!
band	district	district
project's	!	!
project	number	number
wife's	!	!
wife	number	number
sheriff's	!	!
sheriff	number	number
network's	!	!
network	number	number
company's	!	!
company	number	number
girl's	!	!
girl	championships	championships
project's	!	!
project	championships	championships
play's	!	!
play	championships	championships
program's	!	!
program	championships	championships
father's	!	!
father	championships	championships
community's	!	!
community	still	still
market's	!	!
market	still	still
game's	!	!
game	still	still
governor's	!	!
governor	still	still
band's	!	!
band	still	still
show's	!	!
show	minister	minister
community's	!	!
community	minister	minister
governor's	!	!
governor	minister	minister
school's	!	!
school	minister	minister
band's	!	!
band	minister	minister
person's	!	!
person	governor	governor
film's	!	!
film	governor	governor
play's	!	!
play	governor	governor
program's	!	!
program	governor	governor
doctor's	!	!
doctor	governor	governor
hospital's	!	!
hospital	gmina	gmina
region's	!	!
region	gmina	gmina
everyone's	!	!
everyone	gmina	gmina
town's	!	!
town	gmina	gmina
government's	!	!
government	gmina	gmina
court's	!	!
court	basketball	basketball
everyone's	!	!
everyone	basketball	basketball
father's	!	!
father	basketball	basketball
week's	!	!
week	basketball	basketball
league's	!	!
league	basketball	basketball
agency's	!	!
agency	members	members
panel's	!	!
panel	members	members
wife's	!	!
wife	members	members
company's	!	!
company	members	members
organization's	!	!
organization	members	members
woman's	!	!
woman	chart	chart
weekend's	!	!
weekend	chart	chart
attorney's	!	!
attorney	chart	chart
party's	!	!
party	chart	chart
union's	!	!
union	chart	chart
today's	!	!
today	elementary	elementary
park's	!	!
park	elementary	elementary
month's	!	!
month	elementary	elementary
show's	!	!
show	elementary	elementary
coroner's	!	!
coroner	elementary	elementary
board's	!	!
board	wiltshire	wiltshire
nation's	!	!
nation	wiltshire	wiltshire
artist's	!	!
artist	wiltshire	wiltshire
union's	!	!
union	wiltshire	wiltshire
band's	!	!
band	wiltshire	wiltshire
woman's	!	!
woman	liberal	liberal
weekend's	!	!
weekend	liberal	liberal
driver's	!	!
driver	liberal	liberal
band's	!	!
band	liberal	liberal
jury's	!	!
jury	liberal	liberal
nation's	!	!
nation	cia	cia
man's	!	!
man	cia	cia
doctor's	!	!
doctor	cia	cia
county's	!	!
county	cia	cia
week's	!	!
week	cia	cia
board's	!	!
board	commune	commune
author's	!	!
author	commune	commune
evening's	!	!
evening	commune	commune
girl's	!	!
girl	commune	commune
world's	!	!
world	commune	commune
bank's	!	!
bank	republican	republican
patient's	!	!
patient	republican	republican
commission's	!	!
commission	republican	republican
book's	!	!
book	republican	republican
band's	!	!
band	republican	republican
summer's	!	!
summer	elect	elect
project's	!	!
project	elect	elect
patient's	!	!
patient	elect	elect
area's	!	!
area	elect	elect
father's	!	!
father	elect	elect
day's	!	!
day	committee	committee
club's	!	!
club	committee	committee
city's	!	!
city	committee	committee
play's	!	!
play	committee	committee
attorney's	!	!
attorney	committee	committee
tonight's	!	!
tonight	cerambycidae	cerambycidae
victim's	!	!
victim	cerambycidae	cerambycidae
wife's	!	!
wife	cerambycidae	cerambycidae
bill's	!	!
bill	cerambycidae	cerambycidae
game's	!	!
game	cerambycidae	cerambycidae
park's	!	!
park	handsome	woman
daughter's	!	!
daughter	handsome	woman
wife's	!	!
wife	handsome	woman
center's	!	!
center	handsome	woman
jury's	!	!
jury	handsome	woman
tonight's	!	!
tonight	elected	elected
court's	!	!
court	elected	elected
society's	!	!
society	elected	elected
family's	!	!
family	elected	elected
league's	!	!
league	elected	elected
boy's	!	!
boy	areas	areas
club's	!	!
club	areas	areas
group's	!	!
group	areas	areas
jury's	!	!
jury	areas	areas
governor's	!	!
governor	areas	areas
judge's	!	!
judge	vice	vice
station's	!	!
station	vice	vice
state's	!	!
state	vice	vice
baseball's	!	!
baseball	vice	vice
father's	!	!
father	vice	vice
association's	!	!
association	commune	commune
woman's	!	!
woman	commune	commune
family's	!	!
family	commune	commune
father's	!	!
father	commune	commune
center's	!	!
center	commune	commune
child's	!	!
child	his	his
president's	!	!
president	his	his
night's	!	!
night	his	his
weekend's	!	!
weekend	his	his
everyone's	!	!
everyone	his	his
nation's	!	!
nation	consulting	consulting
dollar's	!	!
dollar	consulting	consulting
system's	!	!
system	consulting	consulting
company's	!	!
company	consulting	consulting
driver's	!	!
driver	consulting	consulting
agency's	!	!
agency	committee	committee
firm's	!	!
firm	committee	committee
general's	!	!
general	committee	committee
administration's	!	!
administration	committee	committee
week's	!	!
week	committee	committee
author's	!	!
author	industries	industries
judge's	!	!
judge	industries	industries
program's	!	!
program	industries	industries
group's	!	!
group	industries	industries
book's	!	!
book	industries	industries
season's	!	!
season	friday	saturday
master's	!	!
master	friday	saturday
bank's	!	!
bank	friday	saturday
party's	!	!
party	friday	saturday
school's	!	!
school	friday	saturday
tonight's	!	!
tonight	her	her
person's	!	!
person	her	her
park's	!	!
park	her	her
show's	!	!
show	her	her
general's	!	!
general	her	her
region's	!	!
region	supreme	supreme
bill's	!	!
bill	supreme	supreme
school's	!	!
school	supreme	supreme
county's	!	!
county	supreme	supreme
union's	!	!
union	supreme	supreme
board's	!	!
board	aired	aired
night's	!	!
night	aired	aired
patient's	!	!
patient	aired	aired
organization's	!	!
organization	aired	aired
father's	!	!
father	aired	aired
woman's	!	!
woman	movie	movie
weekend's	!	!
weekend	movie	movie
community's	!	!
community	movie	movie
game's	!	!
game	movie	movie
administration's	!	!
administration	movie	movie
association's	!	!
association	parents	parents
daughter's	!	!
daughter	parents	parents
agency's	!	!
agency	parents	parents
boy's	!	!
boy	parents	parents
project's	!	!
project	parents	parents
hospital's	!	!
hospital	her	her
today's	!	!
today	her	her
victim's	!	!
victim	her	her
family's	!	!
family	her	her
company's	!	!
company	her	her
child's	!	!
child	year	year
victim's	!	!
victim	year	year
husband's	!	!
husband	year	year
bank's	!	!
bank	year	year
book's	!	!
book	year	year
industry's	!	!
industry	centre	centre
person's	!	!
person	centre	centre
daughter's	!	!
daughter	centre	centre
weekend's	!	!
weekend	centre	centre
governor's	!	!
governor	centre	centre
state's	!	!
state	201112	201112
station's	!	!
station	201112	201112
community's	!	!
community	201112	201112
program's	!	!
program	201112	201112
government's	!	!
government	201112	201112
country's	!	!
country	deputy	deputy
judge's	!	!
judge	deputy	deputy
play's	!	!
play	deputy	deputy
program's	!	!
program	deputy	deputy
baseball's	!	!
baseball	deputy	deputy
person's	!	!
person	degree	degree
council's	!	!
council	degree	degree
system's	!	!
system	degree	degree
club's	!	!
club	degree	degree
coroner's	!	!
coroner	degree	degree
association's	!	!
association	unincorporated	unincorporated
author's	!	!
author	unincorporated	unincorporated
park's	!	!
park	unincorporated	unincorporated
boy's	!	!
boy	unincorporated	unincorporated
family's	!	!
family	unincorporated	unincorporated
building's	!	!
building	court	court
mayor's	!	!
mayor	court	court
evening's	!	!
evening	court	court
government's	!	!
government	court	court
school's	!	!
school	court	court
court's	!	!
court	premier	premier
child's	!	!
child	premier	premier
boy's	!	!
boy	premier	premier
county's	!	!
county	premier	premier
governor's	!	!
governor	premier	premier
victim's	!	!
victim	rock	guitarist
region's	!	!
region	rock	guitarist
park's	!	!
park	rock	guitarist
city's	!	!
city	rock	guitarist
week's	!	!
week	rock	guitarist
president's	!	!
president	committees	committees
girl's	!	!
girl	committees	committees
couple's	!	!
couple	committees	committees
film's	!	!
film	committees	committees
governor's	!	!
governor	committees	committees
mayor's	!	!
mayor	non-families	non-families
evening's	!	!
evening	non-families	non-families
couple's	!	!
couple	non-families	non-families
center's	!	!
center	non-families	non-families
band's	!	!
band	non-families	non-families
mayor's	!	!
mayor	programs	programs
region's	!	!
region	programs	programs
attorney's	!	!
attorney	programs	programs
doctor's	!	!
doctor	programs	programs
administration's	!	!
administration	programs	programs
church's	!	!
church	art	art
evening's	!	!
evening	art	art
mother's	!	!
mother	art	art
university's	!	!
university	art	art
week's	!	!
week	art	art
author's	!	!
author	every	every
president's	!	!
president	every	every
judge's	!	!
judge	every	every
community's	!	!
community	every	every
town's	!	!
town	every	every
network's	!	!
network	federation	federation
town's	!	!
town	federation	federation
party's	!	!
party	federation	federation
band's	!	!
band	federation	federation
league's	!	!
league	federation	federation
park's	!	!
park	president	president
bank's	!	!
bank	president	president
son's	!	!
son	president	president
doctor's	!	!
doctor	president	president
father's	!	!
father	president	president
president's	!	!
president	f.c.	f.c.
author's	!	!
author	f.c.	f.c.
woman's	!	!
woman	f.c.	f.c.
man's	!	!
man	f.c.	f.c.
family's	!	!
family	f.c.	f.c.
author's	!	!
author	projects	projects
night's	!	!
night	projects	projects
boy's	!	!
boy	projects	projects
play's	!	!
play	projects	projects
father's	!	!
father	projects	projects
building's	!	!
building	non-profit	non-profit
mayor's	!	!
mayor	non-profit	non-profit
committee's	!	!
committee	non-profit	non-profit
community's	!	!
community	non-profit	non-profit
driver's	!	!
driver	non-profit	non-profit
judge's	!	!
judge	anglican	anglican
baseball's	!	!
baseball	anglican	anglican
game's	!	!
game	anglican	anglican
doctor's	!	!
doctor	anglican	anglican
jury's	!	!
jury	anglican	anglican
victim's	!	!
victim	singular	singular
world's	!	!
world	singular	singular
play's	!	!
play	singular	singular
team's	!	!
team	singular	singular
jury's	!	!
jury	singular	singular
church's	!	!
church	eldest	eldest
today's	!	!
today	eldest	eldest
daughter's	!	!
daughter	eldest	eldest
group's	!	!
group	eldest	eldest
governor's	!	!
governor	eldest	eldest
industry's	!	!
industry	markets	markets
council's	!	!
council	markets	markets
couple's	!	!
couple	markets	markets
county's	!	!
county	markets	markets
union's	!	!
union	markets	markets
hospital's	!	!
hospital	painter	painter
couple's	!	!
couple	painter	painter
community's	!	!
community	painter	painter
general's	!	!
general	painter	painter
county's	!	!
county	painter	painter
association's	!	!
association	banks	banks
artist's	!	!
artist	banks	banks
doctor's	!	!
doctor	banks	banks
university's	!	!
university	banks	banks
governor's	!	!
governor	banks	banks
evening's	!	!
evening	racing	racing
show's	!	!
show	racing	racing
community's	!	!
community	racing	racing
network's	!	!
network	racing	racing
week's	!	!
week	racing	racing
city's	town	town
city	!	!
bill's	voted	voted
bill	!	!
everyone's	wants	wants
everyone	!	!
group's	members	members
group	!	!
week's	chart	chart
week	!	!
hospital's	!	!
hospital	degree	degree
family's	!	!
family	degree	degree
driver's	!	!
driver	degree	degree
book's	!	!
book	degree	degree
union's	!	!
union	degree	degree
president's	!	!
president	mlb	mlb
society's	!	!
society	mlb	mlb
station's	!	!
station	mlb	mlb
boy's	!	!
boy	mlb	mlb
county's	!	!
county	mlb	mlb
building's	!	!
building	show	show
agency's	!	!
agency	show	show
month's	!	!
month	show	show
world's	!	!
world	show	show
jury's	!	!
jury	show	show
year's	!	!
year	committee	committee
victim's	!	!
victim	committee	committee
society's	!	!
society	committee	committee
family's	!	!
family	committee	committee
