rougher	denser	denser
benefits	benefits	benefits
benefit	benefit	benefit
streets	avenue	avenue
street	street	street
systems	systems	systems
system	system	system
sales	purchase	purchase
sale	marketing	marketing
cases	cases	cases
case	case	case
charges	charges	charges
charge	charge	charge
people	woman	woman
person	persons	persons
friends	friends	friends
friend	friend	friend
weapons	weapons	weapons
weapon	weapon	weapon
citizens	citizens	citizens
citizen	citizen	citizen
teachers	teachers	teachers
teacher	students	students
rates	rates	rates
rate	rate	rate
days	week	week
day	weeks	months
kids	kids	kids
kid	guys	guys
cars	cars	cars
car	car	car
owners	owners	owners
owner	owner	owner
laws	laws	laws
law	law	legislation
sports	sports	sports
sport	sport	sport
parents	sister	sister
parent	father	father
men	woman	woman
man	women	soldiers
companies	companies	companies
company	company	company
systems	systems	systems
system	system	system
relations	regard	regard
relation	relationship	relationship
questions	questions	questions
question	question	question
groups	groups	groups
group	group	group
cars	cars	cars
car	car	car
friends	friends	friends
friend	friend	friend
reports	reports	reports
report	report	report
buildings	buildings	buildings
building	building	structures
artists	artists	artists
artist	artist	artist
companies	companies	companies
company	company	company
hours	hours	hours
hour	months	months
events	events	events
event	event	event
officials	unofficial	unofficial
official	authorities	lawyer
decisions	decisions	decisions
decision	decision	decision
benefits	benefits	benefits
benefit	benefit	benefit
employees	employees	employees
employee	employee	employee
lines	lines	lines
line	line	line
laws	laws	laws
law	law	law
efforts	efforts	efforts
effort	effort	effort
numbers	numbers	numbers
number	number	number
lives	lives	lives
life	living	living
rules	ruled	occupation
rule	regulations	procedures
products	products	products
product	product	product
residents	residents	residents
resident	citizens	citizens
parents	parents	parents
parent	father	father
weeks	month	month
week	months	months
weapons	weapons	weapons
weapon	weapon	weapon
artists	artists	artists
artist	artist	artist
benefits	benefits	benefits
benefit	benefit	benefit
decisions	decisions	decisions
decision	decision	decision
months	year	year
month	weeks	weeks
talks	interviews	interviews
talk	negotiations	agreed
weeks	month	month
week	months	months
members	members	members
member	member	member
states	state's	state's
state	united	united
candidates	candidates	candidates
candidate	candidate	candidate
employees	employees	employees
employee	workers	workers
men	woman	men
man	women	women
authorities	authorities	authorities
authority	officials	authority
decisions	decisions	decisions
decision	decision	decision
weeks	month	month
week	months	months
efforts	efforts	efforts
effort	effort	effort
sports	sports	sports
sport	sport	sport
days	night	days
day	weeks	weeks
experts	experts	experts
expert	expert	specialists
members	members	members
member	member	member
losses	losses	losses
loss	loss	loss
players	players	players
player	player	player
men	woman	woman
man	man	man
standards	standards	standards
standard	standard	standard
friends	friends	friends
friend	friend	friend
hours	hours	hours
hour	minutes	hour
terms	terms	terms
term	term	term
results	results	results
result	result	cladogram
sources	sources	sources
source	source	source
businesses	businesses	businesses
business	firms	firms
times	money	money
time	twice	twice
systems	systems	systems
system	system	system
conditions	conditions	conditions
condition	condition	condition
issues	issues	issues
issue	issue	issue
deaths	negotiations	negotiations
death	casualties	death
friends	acquaintance	acquaintance
friend	friend	friend
cases	cases	cases
case	case	case
members	members	members
member	member	member
games	games	games
game	game	game
services	services	services
service	service	service
schools	schools	schools
school	school	school
games	games	games
game	game	game
operations	operations	operations
operation	operation	operation
parents	sister	sister
parent	mother	mother
lines	lines	lines
line	line	line
numbers	numbers	numbers
number	number	number
officials	unofficial	unofficial
official	officer	officer
families	families	families
family	family	family
groups	groups	groups
group	group	group
projects	projects	projects
project	project	project
streets	streets	streets
street	street	street
hours	hours	hours
hour	minutes	minutes
kids	boy	jewels
kid	teenage	teenage
cars	cars	cars
car	car	car
things	things	things
thing	thing	thing
conditions	conditions	conditions
condition	condition	condition
members	members	members
member	member	member
states	state's	state's
state	united	united
sports	sports	sports
sport	sport	sport
problems	problems	problems
problem	problem	problem
times	period	period
time	twice	twice
plans	plans	plans
plan	plan	plan
sales	purchase	purchase
sale	marketing	marketing
allegations	allegations	allegations
allegation	accusations	accusations
people	persons	persons
person	persons	inhabitants
miles	kilometer	kilometer
mile	kilometers	kilometers
rules	regime	regime
rule	guidelines	guidelines
standards	standards	standards
standard	standard	standard
men	woman	woman
man	women	women
things	things	things
thing	thing	thing
people	persons	persons
person	persons	individuals
operations	operations	operations
operation	operation	operation
terms	terms	terms
term	term	addition
states	states	states
state	united	united
businesses	businesses	businesses
business	firms	firms
problems	problems	problems
problem	problem	problem
cities	cities	cities
city	towns	towns
officers	officers	officers
officer	officer	officer
owners	owners	owners
owner	owner	owner
services	services	services
service	service	service
dollars	dollars	billion
dollar	dollar	dollar
cities	cities	cities
city	towns	towns
players	players	players
player	player	player
men	men	men
man	man	man
products	products	products
product	product	product
changes	changes	changes
change	change	change
reports	reports	reports
report	report	report
men	men	men
man	man	man
questions	questions	questions
question	question	question
workers	workers	workers
worker	worker	worker
losses	losses	losses
loss	loss	loss
laws	laws	laws
law	constitution	constitution
citizens	citizens	citizens
citizen	residents	residents
families	families	families
family	family	family
bank's	bank's	bank's
bank	town	bank
boy's	girl	girl
boy	town	boy
film's	movie	films
film	filming	filming
play's	playing	playing
play	town	afterlife
game's	game's	game's
game	game	game
district's	districts	city's
district	district	district
park's	park's	park's
park	park	park
girl's	boy	boy
girl	girl	girl
firm's	country's	country's
firm	investor	investor
community's	country's	city's
community	tribes	tribes
author's	writer	writer
author	firm	libretto
today's	now	today's
today	companies	modern
summer's	winter	winter
summer	!align="right	!align="right
day's	week	week
day	co	co
station's	stations	station's
station	station	station
agency's	agencies	agency's
agency	agency	agency
judge's	attorney	attorney
judge	court	friend's
area's	areas	areas
area	inhabited	inhabited
center's	centre	center's
center	center	center
county's	county's	county's
county	county	county
child's	children	orphan
child	month	child
region's	regions	regions
region	month	month
couple's	couples	couples
couple	month	couple
committee's	committees	committees
committee	committee	committee
book's	books	books
book	film's	film's
president's	vice-president	vice-president
president	governor's	governor's
area's	areas	areas
area	area	area
team's	teams	team's
team	team	team
university's	university's	university's
university	university	university
band's	bands	bands
band	band	band
project's	nation's	initiative
project	project	separately
wife's	husband	husband
wife	friend's	friend's
sheriff's	city's	mayor
sheriff	county	county
network's	networks	networks
network	network	simulcast
company's	company's	company's
company	company	company
girl's	boy	woman
girl	girl	girl
project's	projects	projects
project	project	project
play's	plays	plays
play	comedy	comedy
program's	programs	programs
program	20052006	two-month
father's	son	son
father	mother's	mother's
community's	communities	communities
community	town's	synagogues
market's	markets	markets
market	!align="right	!align="right
game's	games	match
game	show's	show's
governor's	governors	governors
governor	nowadays	nowadays
band's	bands	bands
band	group's	group's
show's	shows	shows
show	film's	cbs
community's	communities	communities
community	governments	muslim
governor's	gov	gov
governor	governors	governors
school's	school's	school's
school	school	school
band's	bands	band's
band	group's	band
person's	persons	persons
person	individual's	individual's
film's	movie	movie
film	show's	show's
play's	plays	playing
play	politician	author
program's	programs	programs
program	editor	editor
doctor's	doctor's	doctor's
doctor	doctor	doctor
hospital's	hospitals	hospital's
hospital	hospital	hospital
region's	regions	regions
region	region	region
everyone's	anyone	pretends
everyone	everything	sadness
town's	village	town's
town	town	town
government's	government's	government's
government	government	government
court's	court's	court's
court	court	court
everyone's	anyone	anyone
everyone	trish	trish
father's	son	son
father	grandfather's	grandfather's
week's	month	month
week	teams	week
league's	league's	league's
league	league	league
agency's	agency's	agency's
agency	agency	agency
panel's	band's	band's
panel	!align="right	!align="right
wife's	husband	husband
wife	groups	mother
company's	company's	company's
company	company	company
organization's	organization's	organization's
organization	organization	organization
woman's	man	girl
woman	womans	womens
weekend's	two-hour	two-hour
weekend	!align="right	!align="right
attorney's	lawyer	judge
attorney	attorney	neurosurgery
party's	parties	party's
party	party	party
union's	union's	union's
union	union	union
today's	nowadays	nowadays
today	present-day	present-day
park's	park's	park's
park	park	park
month's	year	year
month	one-month	two-year
show's	shows	shows
show	episode	episode
coroner's	group's	group's
coroner	!align="right	!align="right
board's	boards	boards
board	alderman	alderman
nation's	country	country
nation	country's	country's
artist's	artists	artists
artist	artists	artists
union's	union's	union's
union	union	party's
band's	bands	bands
band	group's	group's
woman's	man	man
woman	womans	woman
weekend's	saturday	saturday
weekend	!align="right	!align="right
driver's	drivers	team's
driver	drivers	drivers
band's	bands	band's
band	band	band
jury's	jurors	board's
jury	!align="right	!align="right
nation's	countries	countries
nation	country's	country's
man's	woman	men
man	man	man
doctor's	doctor's	doctor's
doctor	doctors	doctors
county's	county's	county's
county	counties	counties
week's	weeks	weeks
week	week	week
board's	boards	boards
board	board	board
author's	writer	novelist
author	itinerary	itinerary
evening's	morning	morning
evening	!align="right	!align="right
girl's	boy	boy
girl	girl	girl
world's	world's	world's
world	worlds	worlds
bank's	banks	bank's
bank	lieutenant-governor	lieutenant-governor
patient's	patients	patient's
patient	physician	physician
commission's	commissions	commission's
commission	commissioner	commissioner
book's	books	books
book	senator	senator
band's	bands	bands
band	group's	guitarist
summer's	winter	winter
summer	!align="right	!align="right
project's	projects	project's
project	project	millionaires
patient's	patients	patients
patient	person's	amputation
area's	areas	areas
area	region's	region's
father's	mother	mother
father	husband's	husband's
day's	month	month
day	fun	fun
club's	clubs	clubs
club	club	fenway
city's	city's	city's
city	city	city
play's	plays	plays
play	gameplay	gameplay
attorney's	counsel	counsel
attorney	attorney	attorney
tonight's	yours	yours
tonight	!align="right	!align="right
victim's	victims	defendant's
victim	subfamily	subfamily
wife's	daughter	daughter
wife	mother	mother
bill's	bills	bills
bill	subfamily	subfamily
game's	game's	game's
game	gameplay	gameplay
park's	parks	park's
park	park	park
daughter's	son	daughters
daughter	brother	brother
wife's	daughter	daughter
wife	brother	brother
center's	centre	center's
center	center	center
jury's	judge's	judge's
jury	!align="right	colspan=3|total
tonight's	your	your
tonight	!align="right	!align="right
court's	courts	courts
court	attorney	attorney
society's	society's	society's
society	society	society
family's	family's	family's
family	father	great-grandfather
league's	league's	league's
league	league	league
boy's	girl	girl
boy	areas	areas
club's	clubs	club's
club	areas	cricket
group's	groups	groups
group	areas	areas
jury's	juries	juries
jury	!align="right	!align="right
governor's	gov	gov
governor	areas	areas
judge's	judges	judges
judge	chairman	judge
station's	stations	stations
station	chairman	founder
state's	state's	state's
state	chairman	secretary
baseball's	soccer	soccer
baseball	chairman	chairman
father's	mother	mother
father	father	father
association's	association's	association's
association	association	association
woman's	man	women
woman	womans	dogs
family's	family's	family's
family	family	family
father's	grandfather	grandfather
father	mother's	grandfather's
center's	center's	center's
center	center	center
child's	husband's	husband's
child	mother	mother
president's	presidents	president's
president	president	president
night's	weekend	weekend
night	mother	mother
weekend's	saturday	saturday
weekend	!align="right	!align="right
everyone's	anyone	anyone
everyone	son	son
nation's	countries	countries
nation	country's	country's
dollar's	billion	billion
dollar	!align="right	!align="right
system's	systems	systems
system	system	system
company's	company's	company's
company	company	company
driver's	drivers	drivers
driver	company	license
agency's	agency's	agency's
agency	agency	agency
firm's	llp	llp
firm	commissions	equity
general's	gen	gen
general	tribunal	tribunal
administration's	administration's	administration's
administration	administration	administration
week's	weekend	week's
week	week	week
author's	writer	writer
author	industries	informative
judge's	judges	judges
judge	fbi	fbi
program's	programs	programs
program	program	program
group's	groups	groups
group	industries	industries
book's	novel	novel
book	author	author
season's	seasons	seasons
season	season	season
master's	masters	masters
master	bachelor's	bachelor's
bank's	banking	banking
bank	bank	nasdaq
party's	democratic	democratic
party	party	party
school's	schools	schools
school	university's	university's
tonight's	your	your
tonight	!align="right	colspan=3|total
person's	person's	person's
person	person	person
park's	parks	parks
park	person	park
show's	shows	shows
show	film's	film's
general's	gen	gen
general	actress	actress
region's	regions	regions
region	country	country
bill's	bills	bills
bill	courts	mash
school's	school's	school's
school	school	school
county's	counties	county's
county	county	county
union's	union's	union's
union	courts	courts
board's	boards	boards
board	shows	board
night's	film's	film's
night	shows	shows
patient's	patients	patients
patient	shows	person's
organization's	organizations	organizations
organization	shows	organization
father's	mother	son
father	mother's	mother's
woman's	person	person
woman	drama	woman
weekend's	saturday	saturday
weekend	!align="right	!align="right
community's	communities	communities
community	movie	book
game's	game's	game's
game	movie	movie
administration's	administration's	administration's
administration	movie	afrika
association's	association's	association's
association	association	association
daughter's	son	mother
daughter	son	son
agency's	agency's	agency's
agency	agency	army
boy's	girl	girl
boy	infant	infant
project's	projects	projects
project	project	luc
hospital's	medical	medical
hospital	hospital	hospital
today's	still	still
today	modern	modern
victim's	victim's	victim's
victim	father	father
family's	family's	family's
family	father	father
company's	company's	company's
company	company	company
child's	children	children
child	person's	person's
victim's	victims	victims
victim	year	year
husband's	wife	father
husband	year	year
bank's	banks	banks
bank	year	company's
book's	monograph	monograph
book	film's	film's
industry's	industries	industries
industry	centre	industry
person's	persons	persons
person	centre	man's
daughter's	son	son
daughter	son's	son's
weekend's	two-hour	two-hour
weekend	!align="right	!align="right
governor's	gov	gov
governor	centre	centre
state's	state's	state's
state	state	state
station's	stations	stations
station	station	station
community's	communities	communities
community	town's	taluka
program's	programs	programs
program	postseason	postseason
government's	governments	government's
government	government	government
country's	lonesome	lonesome
country	nation's	nation's
judge's	judges	judge's
judge	plato's	plato's
play's	playing	playing
play	film's	film's
program's	programs	programs
program	gen	editor-in-chief
baseball's	football	football
baseball	nfl's	nfl's
person's	persons	someone
person	patient's	borrower
council's	council's	council's
council	council	council
system's	systems	systems
system	system	system
club's	club's	club's
club	vfl	vfl
coroner's	state's	state's
coroner	!align="right	!align="right
association's	association's	association's
association	association	association
author's	writer	essayist
author	communities	communities
park's	park's	park's
park	park	park
boy's	girl	"my
boy	communities	renegade
family's	family's	familys
family	family	family
building's	buildings	two-storey
building	councilman	councilman
mayor's	mayoral	mayoral
mayor	commissioner	commissioner
evening's	morning	morning
evening	!align="right	!align="right
government's	government's	government's
government	government	government
school's	schools	school's
school	school	school
court's	court's	court's
court	court	court
child's	children	newborn
child	woman's	attainment
boy's	girl	girl
boy	schalke	schalke
county's	county's	county's
county	county	county
governor's	mayor	mayor
governor	governors	governors
victim's	victims	victims
victim	ankles	ankles
region's	regions	regions
region	bands	region
park's	park's	park's
park	park	park
city's	city's	city's
city	city	city
week's	weeks	weeks
week	bands	supergroup
president's	presidents	presidents
president	committees	presidential
girl's	boy	woman
girl	girl	girl
couple's	couples	couples
couple	committees	sforza
film's	movie	movie
film	movie's	movie's
governor's	gov	gov
governor	governors	governors
mayor's	mayoralty	mayoralty
mayor	wife	mayor
evening's	morning	morning
evening	!align="right	!align="right
couple's	few	few
couple	wife	son
center's	centre	centre
center	center	center
band's	bands	bands
band	guitarist	guitarist
mayor's	governor	governor
mayor	programs	programs
region's	regions	regions
region	programs	programs
attorney's	mayor	mayor
attorney	programs	programs
doctor's	show's	doctor's
doctor	programs	programme
administration's	administration's	organisation's
administration	programs	administration
church's	church's	church's
church	church	church
evening's	morning	morning
evening	!align="right	!align="right
mother's	wife	wife
mother	father's	mother
university's	university's	university's
university	university	university
week's	month	month
week	week	week
author's	writer	writer
author	composer's	composer's
president's	vice-president	vice-president
president	presidential	presidential
judge's	judges	judges
judge	10pm	10pm
community's	communities	communities
community	town's	town's
town's	village	village
town	city's	city's
network's	networks	networks
network	network	network
town's	village	town's
town	town	town
party's	party's	party's
party	party	party
band's	bands	bands
band	group's	tour
league's	league's	league's
league	league	league
park's	park's	park's
park	park	park
bank's	bank's	bank's
bank	bank	bank
son's	daughter	brother
son	daughter's	daughter's
doctor's	doctor's	4's
doctor	doctors	doctors
father's	mother	brother
father	mother's	mother's
president's	chairman	chairman
president	minister's	outfit
author's	writer	writer
author	outfit	outfit
woman's	man	man
woman	womans	ladies
man's	woman	woman
man	man	man
family's	family's	family's
family	family	family
author's	writer	writer
author	projects	programme
night's	nights	morning
night	programme	programme
boy's	girl	girl
boy	girl's	girl's
play's	playing	playing
play	idea	idea
father's	grandfather	grandfather
father	mother's	mother's
building's	buildings	buildings
building	organisation	organisation
mayor's	incumbent	incumbent
mayor	organisation	council
committee's	committee's	committee's
committee	committee	committee
community's	communities	school's
community	organisation	organisation
driver's	drivers	drivers
driver	organisation	organisation
judge's	judges	judges
judge	monastery	monastery
baseball's	basketball	basketball
baseball	double-a	double-a
game's	game's	game's
game	gameplay	plot
doctor's	doctor's	doctor's
doctor	monastery	monastery
jury's	prosecutors	prosecutors
jury	!align="right	!align="right
victim's	patient's	victim's
victim	someone	someone
world's	global	global
world	worlds	worlds
play's	playing	playing
play	character	character
team's	teams	teams
team	club's	club's
jury's	juries	judge's
jury	!align="right	!align="right
church's	churchs	churchs
church	daughter	church
today's	now	today's
today	daughter	present-day
daughter's	daughter's	daughter's
daughter	daughter	daughter
group's	groups	groups
group	daughter	daughter
governor's	gubernatorial	president's
governor	daughter	grandson
industry's	!align="right	!align="right
industry	markets	markets
council's	!align="right	!align="right
council	markets	markets
couple's	!align="right	!align="right
couple	markets	markets
county's	!align="right	!align="right
county	markets	markets
union's	!align="right	!align="right
union	markets	markets
hospital's	hospitals	hospitals
hospital	architect	architect
couple's	couples	occupants
couple	musician	psychologist
community's	communities	communities
community	photographer	photographer
general's	general's	general's
general	historian	historian
county's	counties	county's
county	county	county
association's	association's	association's
association	association	association
artist's	artists	artists
artist	pressings	lata
doctor's	doctor's	doctor's
doctor	doctor	sanity
university's	university's	university's
university	university	university
governor's	lieutenant-governor	lieutenant-governor
governor	governors	governors
evening's	afternoon	afternoon
evening	!align="right	!align="right
show's	shows	shows
show	game's	game's
community's	communities	communities
community	town's	town's
network's	networks	networks
network	network	network
week's	weeks	weeks
week	season's	reporter
city's	!align="right	!align="right
city	citys	city
bill's	!align="right	!align="right
bill	police	police
everyone's	!align="right	!align="right
everyone	what	what
group's	!align="right	!align="right
group	band's	band's
week's	!align="right	colspan=3|total
week	week	holmes
hospital's	hospitals	psychiatric
hospital	founder	founder
family's	families	families
family	father	father
driver's	drivers	drivers
driver	driver	driver
book's	books	books
book	novel's	novel's
union's	union's	union's
union	soviet	britain's
president's	chairman	chairman
president	basketball	presidential
society's	societies	society's
society	society	society
station's	stations	stations
station	station	station
boy's	girl	girl
boy	soccer	girl's
county's	county's	county's
county	county	county
building's	!align="right	!align="right
building	station's	wall
agency's	!align="right	!align="right
agency	agency	agency
month's	!align="right	!align="right
month	morning	morning
world's	!align="right	!align="right
world	worlds	worlds
jury's	!align="right	!align="right
jury	you	you
year's	!align="right	!align="right
year	panels	workshop
victim's	!align="right	!align="right
victim	panels	panels
society's	!align="right	!align="right
society	society	society
family's	!align="right	!align="right
family	panels	panels
game's	!align="right	!align="right
game	panels	panels
country's	country's	country's
country	nation's	nation's
day's	month	month
day	societies	reservation
government's	government's	government's
government	government	government
doctor's	doctor's	doctor's
doctor	doctor	doctor
governor's	gov	gov
governor	legislature	legislature
author's	novelist	novelist
author	girl	poem
dollar's	dollars	billion
dollar	!align="right	!align="right
mother's	father	grandmother
mother	girl	girl
woman's	woman's	woman's
woman	girl	girl
center's	centre	centre
center	center	center
nation's	mother's	mother's
nation	husband	husband
husband's	husband's	husband's
husband	husband	husband
artist's	artists	artists
artist	daughter	daughter
play's	plays	plays
play	daughter	daughter
game's	games	games
game	show's	show's
person's	persons	persons
person	person	person
world's	world's	world's
world	worlds	worlds
driver's	drivers	drivers
driver	car	car
jury's	judges	judges
jury	!align="right	!align="right
administration's	administration's	administration's
administration	administration	administration
bank's	bank's	bank's
bank	company's	investors
everyone's	anyone	anyone
everyone	ive	ive
area's	areas	areas
area	region's	region's
family's	family's	family's
family	family	family
team's	teams	teams
team	team	team
dollar's	france's	france's
dollar	!align="right	!align="right
weekend's	saturday	saturday
weekend	!align="right	!align="right
program's	programs	programme
program	village	village
school's	schools	schools
school	school	school
jury's	board's	board's
jury	!align="right	!align="right
husband's	wife	wife
husband	husband	husband
wife's	daughter	daughter
wife	mother's	ann's
network's	networks	network's
network	network	network
doctor's	doctor's	show's
doctor	grove	hospice
team's	team's	team's
team	team	team
night's	film's	film's
night	games	games
baseball's	soccer	soccer
baseball	games	double-a
company's	companies	company's
company	company	company
book's	books	book's
book	games	games
governor's	gov	gov
governor	governors	governors
child's	!align="right	!align="right
child	jurors	prosecutors
building's	!align="right	!align="right
building	panel	panel
bank's	!align="right	!align="right
bank	bank	bank
man's	!align="right	!align="right
man	man	man
life's	!align="right	!align="right
life	judges	judges
master's	masters	masters
master	bachelor's	bachelor's
project's	projects	projects
project	project	project
boy's	girl	beastie
boy	girl's	girl's
attorney's	attorneys	attorneys
attorney	attorney	attorney
area's	areas	areas
area	city's	city's
council's	council's	council's
council	council	council
artist's	singer-songwriter	singer-songwriter
artist	informal	informal
doctor's	honoris	honoris
doctor	doctor	doctor
governor's	gov	gov
governor	governors	governors
book's	books	books
book	associations	book
today's	now	now
today	modern	modern
system's	systems	systems
system	system	system
council's	councils	councils
council	council	council
state's	state's	state's
state	nation's	nation's
son's	nephew	nephew
son	daughter's	daughter's
museum's	museum's	museum's
museum	museum	museum
child's	children	children
child	woman's	woman's
family's	family's	family's
family	ranch	ranch
band's	bands	band's
band	stations	band
book's	books	books
book	stations	septuagint
council's	council's	council's
council	council	council
man's	woman	woman
man	man	man
everyone's	everybody	everybody
everyone	myself	myself
world's	americas	americas
world	worlds	worlds
market's	markets	markets
market	!align="right	!align="right
state's	!align="right	!align="right
state	winter	winter
month's	!align="right	!align="right
month	winter	winter
department's	!align="right	!align="right
department	winter	winter
family's	!align="right	!align="right
family	winter	winter
patient's	!align="right	!align="right
patient	winter	winter
husband's	father	father
husband	husband	husband
night's	evening	evening
night	customer	flo
club's	clubs	clubs
club	team's	team's
judge's	court	court
judge	defendant	defendant
town's	village	village
town	city's	city's
tonight's	abc's	abc's
tonight	!align="right	!align="right
board's	boards	boards
board	recipient	recipient
dollar's	dollars	dollars
dollar	!align="right	!align="right
summer's	winter	winter
summer	!align="right	!align="right
party's	party's	party's
party	party	party
hospital's	hospitals	hospital's
hospital	systems	hospital
husband's	wife	wife
husband	father's	father's
woman's	person	person
woman	systems	womans
state's	state's	state's
state	state	state
show's	shows	shows
show	systems	systems
mayor's	governor	governor
mayor	anyone	anyone
agency's	agencies	agencies
agency	agency	agency
show's	shows	shows
show	film's	doctor
station's	stations	stations
station	station	jb
area's	areas	areas
area	city's	city's
building's	buildings	buildings
building	son	mansion
life's	son's	son's
life	son	son
company's	companies	companies
company	son	company
union's	union's	union's
union	son	son
school's	schools	schools
school	son	school
church's	church's	churchs
church	church	church
author's	writer	writer
author	context	context
night's	evening	evening
night	networks	networks
driver's	drivers	drivers
driver	networks	computer
jury's	judge	judge
jury	!align="right	!align="right
district's	districts	districts
district	writer	businesswoman
summer's	winter	winter
summer	!align="right	!align="right
state's	state's	toluca
state	writer	collector
son's	daughter	brother
son	writer	father
everyone's	anyone	anyone
everyone	writer	veteran
country's	nation	nation
country	nation's	nation's
board's	boards	boards
board	woman	woman
industry's	industries	industries
industry	industry	industry
mother's	father	father
mother	woman	woman
commission's	commission's	commission's
commission	commission	commission
nation's	countries	countries
nation	country's	country's
couple's	couple's	couple's
couple	gerald	gerald
project's	projects	projects
project	project	project
patient's	breastfeeding	breastfeeding
patient	patients	patients
family's	family's	family's
family	familys	family
district's	!align="right	!align="right
district	sunday	sunday
nation's	!align="right	!align="right
nation	country's	week
station's	!align="right	!align="right
station	morning	morning
club's	!align="right	!align="right
club	team's	sunday
son's	!align="right	!align="right
son	father's	father's
tonight's	microsoft's	microsoft's
tonight	!align="right	!align="right
country's	countries	countries
country	nation's	nation's
community's	communities	communities
community	town's	town's
father's	mother	mother
father	father	father
administration's	administration's	administration's
administration	administration	administration
mayor's	governor	chairman
mayor	plays	plays
girl's	woman	woman
girl	plays	plays
community's	communities	communities
community	played	played
department's	departments	departments
department	played	join
family's	family's	family's
family	family	family
boy's	!align="right	!align="right
boy	morning	morning
film's	!align="right	!align="right
film	morning	morning
wife's	!align="right	!align="right
wife	morning	morning
family's	!align="right	!align="right
family	morning	morning
program's	!align="right	!align="right
program	morning	morning
region's	!align="right	!align="right
region	country's	global
month's	!align="right	colspan=3|total
month	dollars	month
bank's	!align="right	!align="right
bank	bank	bank
play's	!align="right	!align="right
play	dollars	dollars
union's	!align="right	!align="right
union	dollars	dollars
returned	returned	returned
return	returning	transferred
returns	returning	returning
return	return	return
returned	returned	returned
returns	returning	returning
determined	determines	determines
determine	determine	determine
determines	determines	determines
determine	determine	determine
determined	determine	determine
determines	calculated	calculated
ensured	ensuring	oversaw
ensure	ensure	ensure
ensures	requires	requires
ensure	ensure	ensure
ensured	ensure	ensure
ensures	ensure	ensure
decided	decided	chose
decide	decide	decide
decides	decided	chose
decide	decide	decide
decided	decided	decided
decides	decides	decides
ended	ends	ends
end	ending	ending
ends	ends	ends
end	end	face-to-face
ended	ended	ended
ends	ending	ending
supported	supported	supported
support	supports	supports
supports	supports	supports
support	support	support
supported	supported	supported
supports	supports	supports
raised	raised	raised
raise	raise	raise
raises	raised	raises
raise	raise	raise
raised	raised	raised
raises	raises	raises
opened	closed	closed
open	reopened	reopened
opens	opens	opens
open	bring	bring
opened	opened	opened
opens	closed	opens
continued	continued	continued
continue	continue	continue
continues	continues	continues
continue	continue	continue
continued	continued	continued
continues	continues	continues
studied	studies	studies
study	studying	studying
studies	studies	studies
study	study	study
studied	study	study
studies	studying	studying
proved	proved	proved
prove	prove	prove
proves	proves	proves
prove	prove	prove
proved	proved	proved
proves	proven	proven
helped	helped	helped
help	helping	helping
helps	helps	helps
help	help	help
helped	helped	helped
helps	helps	helps
called	calls	calls
call	referred	referred
calls	calls	calls
call	call	call
called	call	call
calls	named	named
considered	considered	considers
consider	regarded	regarded
considers	considers	considers
consider	consider	consider
considered	considered	considered
considers	regarded	regarded
asked	asked	asked
ask	invited	invited
asks	asks	asks
ask	ask	ask
asked	asked	asked
asks	invited	invited
provided	provides	provides
provide	provide	provide
provides	provides	provides
provide	provide	provide
provided	provide	provide
provides	provides	provides
eliminated	eliminating	eliminating
eliminate	eliminate	eliminate
eliminates	becomes	eliminates
eliminate	eliminate	eliminate
eliminated	saw	saw
eliminates	convinces	convinces
thought	ain't	commented
think	believed	believed
thinks	thinks	thinks
think	think	think
thought	think	think
thinks	believed	believed
showed	shows	shows
show	showing	showing
shows	shows	shows
show	show	show
showed	show	show
shows	showing	showing
took	took	took
take	take	take
takes	takes	takes
take	take	take
took	took	took
takes	takes	takes
looked	looked	looked
look	look	look
looks	looks	looks
look	look	look
looked	looked	looked
looks	looks	looks
paid	paid	paid
pay	pay	pay
pays	paid	paying
pay	pay	pay
paid	paid	paid
pays	pay	pay
remained	remained	remained
remain	remain	remain
remains	remained	remains
remain	remain	remain
remained	remained	remained
remains	remains	remains
bought	purchase	bought
buy	purchased	purchased
buys	buys	buys
buy	buy	buy
bought	bought	bought
buys	purchased	purchased
sought	seeking	seeking
seek	seek	seek
seeks	seeking	seeking
seek	sought	seek
sought	sought	sought
seeks	seeks	seeks
produced	produces	produces
produce	produce	produce
produces	produces	produces
produce	produce	produce
produced	producing	producing
produces	written	written
thought	says	says
think	believed	believed
thinks	knows	knows
think	think	think
thought	knew	knew
thinks	believed	believed
understood	comprehend	discusses
understand	understand	understand
understands	explains	explains
understand	understand	understand
understood	did	did
understands	understand	understand
ran	ran	ran
run	run	run
runs	runs	runs
run	run	run
ran	ran	ran
runs	runs	runs
reduced	reducing	reduces
reduce	increased	reduce
reduces	reduces	reduces
reduce	reduce	reduce
reduced	reduce	reduce
reduces	increased	increased
felt	felt	felt
feel	feel	feel
feels	feels	feels
feel	felt	felt
felt	felt	felt
feels	feels	feels
required	required	required
require	necessary	necessary
requires	requires	requires
require	require	require
required	require	required
requires	necessary	require
played	played	played
play	play	play
plays	plays	plays
play	play	play
played	played	played
plays	playing	meets
happened	happened	happened
happen	happen	happen
happens	inflorescences	inflorescences
happen	happened	happened
happened	happened	happened
happens	happens	happens
had	has	has
have	have	have
has	has	has
have	have	have
had	had	had
has	has	has
opened	came	opens
open	closed	closed
opens	opens	opens
open	open	open
opened	opened	opened
opens	closed	closed
felt	felt	felt
feel	feel	feel
