iraq	ottoman	ottoman
larger	!align="right	!align="right
longer	!align="right	!align="right
newer	york	york
older	room	room
quicker	jaw	jaw
safer	upper	upper
sharper	jaw	jaw
shorter	stories	non-fiction
simpler	geometric	geometric
slower	fast	fast
smaller	large	large
smarter	mobile	mobile
stronger	jaw	jaw
taller	stems	stems
tighter	pass	pass
tougher	south-western	north-eastern
warmer	humid	humid
weaker	upper	upper
wider	long	curved
younger	upper	upper
worse	upper	slovenia
bigger	upper	victories
brighter	darker	darker
cheaper	trick	pie
colder	humid	humid
cooler	humid	humid
deeper	upper	upper
easier	rocks	rocks
faster	bowler	speeds
better	upper	jaw
greater	upper	middle
harder	outdoor	outdoor
heavier	casualties	casualties
higher	school	school
hotter	billboard	billboard
larger	upper	upper
longer	slender	slender
louder	additionally	additionally
older	open	burned
quicker	farmland	farmland
safer	lethal	lethal
sharper	farmland	farmland
shorter	stories	stories
simpler	grove	grove
slower	tempo	tempo
smaller	medium-sized	medium-sized
smarter	computers	computers
stronger	grove	grove
taller	cm	height
tighter	recruits	recruits
tougher	medium-sized	medium-sized
warmer	humid	humid
weaker	grove	grove
wider	variety	variety
younger	parents	parents
worse	anymore	anymore
bigger	conference	all-american
brighter	forewings	lamps
cheaper	trick	trick
colder	winters	warm
cooler	winters	winters
deeper	grove	grove
easier	grove	grove
faster	slow	slow
better	easy	easy
greater	running	running
harder	outdoor	outdoor
heavier	rain	casualties
higher	school	school
hotter	peaking	peaking
larger	small	courtyard
longer	cm	cm
louder	devised	developments
lower	higher	higher
quicker	65	household
safer	65	65
sharper	65	65
shorter	65	65
simpler	65	65
slower	65	65
smaller	65	household
smarter	65	65
stronger	65	median
taller	65	65
tighter	65	65
tougher	65	65
warmer	65	65
weaker	65	65
wider	65	65
younger	age	age
worse	65	65
bigger	65	65
brighter	65	65
cheaper	65	65
colder	65	65
cooler	65	65
deeper	65	65
easier	65	65
faster	65	65
better	65	65
greater	65	age
harder	65	65
heavier	65	65
higher	65	65
hotter	65	100
larger	65	65
longer	65	65
louder	65	65
lower	65	household
newer	65	65
safer	!align="right	!align="right
sharper	!align="right	!align="right
shorter	!align="right	!align="right
simpler	!align="right	!align="right
slower	!align="right	!align="right
smaller	!align="right	!align="right
smarter	!align="right	!align="right
stronger	!align="right	!align="right
taller	!align="right	!align="right
tighter	!align="right	!align="right
tougher	!align="right	!align="right
warmer	!align="right	!align="right
weaker	!align="right	!align="right
wider	!align="right	!align="right
younger	!align="right	!align="right
worse	!align="right	!align="right
bigger	!align="right	!align="right
brighter	!align="right	!align="right
cheaper	!align="right	!align="right
colder	!align="right	!align="right
cooler	!align="right	!align="right
deeper	!align="right	!align="right
easier	!align="right	!align="right
faster	!align="right	!align="right
better	!align="right	!align="right
greater	!align="right	!align="right
harder	!align="right	!align="right
heavier	!align="right	!align="right
higher	!align="right	!align="right
hotter	!align="right	!align="right
larger	!align="right	!align="right
longer	!align="right	!align="right
louder	!align="right	!align="right
lower	!align="right	!align="right
newer	!align="right	!align="right
older	!align="right	!align="right
sharper	!align="right	!align="right
shorter	!align="right	!align="right
simpler	!align="right	!align="right
slower	!align="right	!align="right
smaller	!align="right	!align="right
smarter	!align="right	!align="right
stronger	!align="right	!align="right
taller	!align="right	!align="right
tighter	!align="right	!align="right
tougher	!align="right	!align="right
warmer	!align="right	!align="right
weaker	!align="right	!align="right
wider	!align="right	!align="right
younger	!align="right	!align="right
worse	!align="right	!align="right
bigger	!align="right	!align="right
brighter	!align="right	!align="right
cheaper	!align="right	!align="right
colder	!align="right	!align="right
cooler	!align="right	!align="right
deeper	!align="right	!align="right
easier	!align="right	!align="right
faster	!align="right	!align="right
better	!align="right	!align="right
greater	!align="right	!align="right
harder	!align="right	!align="right
heavier	!align="right	!align="right
higher	!align="right	!align="right
hotter	!align="right	!align="right
larger	!align="right	!align="right
longer	!align="right	!align="right
louder	!align="right	!align="right
lower	!align="right	!align="right
newer	!align="right	!align="right
older	!align="right	!align="right
quicker	!align="right	!align="right
shorter	!align="right	!align="right
simpler	!align="right	!align="right
slower	!align="right	!align="right
smaller	!align="right	!align="right
smarter	!align="right	!align="right
stronger	!align="right	!align="right
taller	!align="right	!align="right
tighter	!align="right	!align="right
tougher	!align="right	!align="right
warmer	!align="right	!align="right
weaker	!align="right	!align="right
wider	!align="right	!align="right
younger	!align="right	!align="right
worse	!align="right	!align="right
bigger	!align="right	!align="right
brighter	!align="right	!align="right
cheaper	!align="right	!align="right
colder	!align="right	!align="right
cooler	!align="right	!align="right
deeper	!align="right	!align="right
easier	!align="right	!align="right
faster	!align="right	!align="right
better	!align="right	!align="right
greater	!align="right	!align="right
harder	!align="right	!align="right
heavier	!align="right	!align="right
higher	!align="right	!align="right
hotter	!align="right	!align="right
larger	!align="right	!align="right
longer	!align="right	!align="right
louder	!align="right	!align="right
lower	!align="right	!align="right
newer	!align="right	!align="right
older	!align="right	!align="right
quicker	!align="right	!align="right
safer	!align="right	!align="right
simpler	geometric	suited
slower	fast	tempo
smaller	larger	larger
smarter	maggie	maggie
stronger	aligned	integrate
taller	height	height
tighter	quarterback	quarterback
tougher	maggie	maggie
warmer	humid	humid
weaker	physically	physically
wider	measuring	measuring
younger	grandparents	grandparents
worse	intentions	intentions
bigger	standings	standings
brighter	pale	pale
cheaper	distribute	distribute
colder	summers	summers
cooler	summers	summers
deeper	shallow	shallow
easier	considerably	suited
faster	slow	slow
better	better	demos
greater	legacy	legacy
harder	relation	relation
heavier	rainfall	rainfall
higher	school	school
hotter	peaking	singles
larger	smaller	smaller
longer	length	length
louder	mind	mind
lower	rates	rates
newer	york	york
older	spelling	spelling
quicker	demos	demos
safer	barker	noel
sharper	blade	specialised
slower	slower	slower
smaller	larger	larger
smarter	wireless	wireless
stronger	much	much
taller	erect	inches
tighter	worn	worn
tougher	teammates	teammates
warmer	humid	humid
weaker	muscles	muscles
wider	narrow	narrow
younger	mothers	mothers
worse	bit	bit
bigger	conference	conference
brighter	pale	pale
cheaper	trick	notorious
colder	humid	humid
cooler	humid	humid
deeper	shallow	sand
easier	availability	availability
faster	slower	slower
better	it's	much
greater	leap	leap
harder	drives	drives
heavier	light	light
higher	school	school
hotter	billboard	billboard
larger	much	complexes
longer	wide	inches
louder	cache	cache
lower	increasing	increasing
newer	york	solomon
older	still	names
quicker	entrepreneurs	debated
safer	cheaper	cheaper
sharper	blade	blade
shorter	story	story
smaller	larger	aquatic
smarter	phones	phones
stronger	weak	weak
taller	erect	erect
tighter	pass	speculated
tougher	infants	infants
warmer	humid	humid
weaker	weakness	weakness
wider	long	meters
younger	mothers	infants
worse	maybe	maybe
bigger	finish	finish
brighter	pale	gifts
cheaper	albeit	cars
colder	winters	winters
cooler	humid	humid
deeper	meters	meters
easier	cars	cars
faster	armoured	armoured
better	better	better
greater	cars	cars
harder	indoor	weakness
heavier	heavier	tanks
higher	school	school
hotter	chart	chart
larger	smaller	smaller
longer	slender	slender
louder	noise	noise
lower	increased	increased
newer	york	york
older	working	working
quicker	seconds	seconds
safer	cheaper	guidance
sharper	teeth	teeth
shorter	stories	stories
simpler	models	models
smarter	advantages	advantages
stronger	than	than
taller	height	height
tighter	than	than
tougher	wwe	mean
warmer	winters	winters
weaker	than	than
wider	length	feet
younger	than	mother
worse	than	mean
bigger	conference	conference
brighter	darker	darker
cheaper	trick	trick
colder	winters	winters
cooler	winters	winters
deeper	dug	dug
easier	operate	turf
faster	faster	faster
better	better	better
greater	continued	continued
harder	drives	drives
heavier	precipitation	precipitation
higher	school	enrollment
hotter	billboard	billboard
larger	than	than
longer	length	length
louder	than	faster
lower	than	than
newer	york	york
older	than	than
quicker	domains	domains
safer	cheaper	cheaper
sharper	knife	knife
shorter	stories	stories
simpler	geometric	geometric
slower	faster	faster
stronger	!align="right	!align="right
taller	!align="right	!align="right
tighter	!align="right	!align="right
tougher	!align="right	!align="right
warmer	!align="right	!align="right
weaker	!align="right	!align="right
wider	!align="right	!align="right
younger	!align="right	!align="right
worse	!align="right	!align="right
bigger	!align="right	!align="right
brighter	!align="right	!align="right
cheaper	!align="right	!align="right
colder	!align="right	!align="right
cooler	!align="right	!align="right
deeper	!align="right	!align="right
easier	!align="right	!align="right
faster	!align="right	!align="right
better	!align="right	!align="right
greater	!align="right	!align="right
harder	!align="right	!align="right
heavier	!align="right	!align="right
higher	!align="right	!align="right
hotter	!align="right	!align="right
larger	!align="right	!align="right
longer	!align="right	!align="right
louder	!align="right	!align="right
lower	!align="right	!align="right
newer	!align="right	!align="right
older	!align="right	!align="right
quicker	!align="right	!align="right
safer	!align="right	!align="right
sharper	!align="right	!align="right
shorter	!align="right	!align="right
simpler	!align="right	!align="right
slower	!align="right	!align="right
smaller	!align="right	!align="right
taller	shrub	shrub
tighter	purely	purely
tougher	she's	she's
warmer	humid	humid
weaker	muscles	muscles
wider	long	long
younger	mate	delegate
worse	cannabis	cannabis
bigger	conference	victories
brighter	pale	pale
cheaper	trick	trick
colder	winters	winters
cooler	winters	winters
deeper	beneath	beneath
easier	harder	harder
faster	faster	faster
better	luck	don't
greater	rise	rise
harder	funny	cannabis
heavier	guns	guns
higher	school	school
hotter	billboard	billboard
larger	smaller	smaller
longer	slender	erect
louder	faster	faster
lower	higher	higher
newer	york	york
older	longer	longer
quicker	colleague	shields
safer	cannabis	cannabis
sharper	knife	cannabis
shorter	stories	novels
simpler	algorithm	simpler
slower	faster	faster
smaller	larger	larger
smarter	mobile	harder
tighter	!align="right	!align="right
tougher	!align="right	!align="right
warmer	!align="right	!align="right
weaker	!align="right	!align="right
wider	!align="right	!align="right
younger	!align="right	!align="right
worse	!align="right	!align="right
bigger	!align="right	!align="right
brighter	!align="right	!align="right
cheaper	!align="right	!align="right
colder	!align="right	!align="right
cooler	!align="right	!align="right
deeper	!align="right	!align="right
easier	!align="right	!align="right
faster	!align="right	!align="right
better	!align="right	!align="right
greater	!align="right	!align="right
harder	!align="right	!align="right
heavier	!align="right	!align="right
higher	!align="right	!align="right
hotter	!align="right	!align="right
larger	!align="right	!align="right
longer	!align="right	!align="right
louder	!align="right	!align="right
lower	!align="right	!align="right
newer	!align="right	!align="right
older	!align="right	!align="right
quicker	!align="right	!align="right
safer	!align="right	!align="right
sharper	!align="right	!align="right
shorter	!align="right	!align="right
simpler	!align="right	!align="right
slower	!align="right	!align="right
smaller	!align="right	!align="right
smarter	!align="right	!align="right
stronger	!align="right	!align="right
tougher	!align="right	!align="right
warmer	!align="right	!align="right
weaker	!align="right	!align="right
wider	!align="right	!align="right
younger	!align="right	!align="right
worse	!align="right	!align="right
bigger	!align="right	!align="right
brighter	!align="right	!align="right
cheaper	!align="right	!align="right
colder	!align="right	!align="right
cooler	!align="right	!align="right
deeper	!align="right	!align="right
easier	!align="right	!align="right
faster	!align="right	!align="right
better	!align="right	!align="right
greater	!align="right	!align="right
harder	!align="right	!align="right
heavier	!align="right	!align="right
higher	!align="right	!align="right
hotter	!align="right	!align="right
larger	!align="right	!align="right
longer	!align="right	!align="right
louder	!align="right	!align="right
lower	!align="right	!align="right
newer	!align="right	!align="right
older	!align="right	!align="right
quicker	!align="right	!align="right
safer	!align="right	!align="right
sharper	!align="right	!align="right
shorter	!align="right	!align="right
simpler	!align="right	!align="right
slower	!align="right	!align="right
smaller	!align="right	!align="right
smarter	!align="right	!align="right
stronger	!align="right	!align="right
taller	!align="right	!align="right
warmer	!align="right	!align="right
weaker	!align="right	!align="right
wider	!align="right	!align="right
younger	!align="right	!align="right
worse	!align="right	!align="right
bigger	!align="right	!align="right
brighter	!align="right	!align="right
cheaper	!align="right	!align="right
colder	!align="right	!align="right
cooler	!align="right	!align="right
deeper	!align="right	!align="right
easier	!align="right	!align="right
faster	!align="right	!align="right
better	!align="right	!align="right
greater	!align="right	!align="right
harder	!align="right	!align="right
heavier	!align="right	!align="right
higher	!align="right	!align="right
hotter	!align="right	!align="right
larger	!align="right	!align="right
longer	!align="right	!align="right
louder	!align="right	!align="right
lower	!align="right	!align="right
newer	!align="right	!align="right
older	!align="right	!align="right
quicker	!align="right	!align="right
safer	!align="right	!align="right
sharper	!align="right	!align="right
shorter	!align="right	!align="right
simpler	!align="right	!align="right
slower	!align="right	!align="right
smaller	!align="right	!align="right
smarter	!align="right	!align="right
stronger	!align="right	!align="right
taller	!align="right	!align="right
tighter	!align="right	!align="right
weaker	!align="right	!align="right
wider	!align="right	!align="right
younger	!align="right	!align="right
worse	!align="right	!align="right
bigger	!align="right	!align="right
brighter	!align="right	!align="right
cheaper	!align="right	!align="right
colder	!align="right	!align="right
cooler	!align="right	!align="right
deeper	!align="right	!align="right
easier	!align="right	!align="right
faster	!align="right	!align="right
better	!align="right	!align="right
greater	!align="right	!align="right
harder	!align="right	!align="right
heavier	!align="right	!align="right
higher	!align="right	!align="right
hotter	!align="right	!align="right
larger	!align="right	!align="right
longer	!align="right	!align="right
louder	!align="right	!align="right
lower	!align="right	!align="right
newer	!align="right	!align="right
older	!align="right	!align="right
quicker	!align="right	!align="right
safer	!align="right	!align="right
sharper	!align="right	!align="right
shorter	!align="right	!align="right
simpler	!align="right	!align="right
slower	!align="right	!align="right
smaller	!align="right	!align="right
smarter	!align="right	!align="right
stronger	!align="right	!align="right
taller	!align="right	!align="right
tighter	!align="right	!align="right
tougher	!align="right	!align="right
wider	!align="right	!align="right
younger	!align="right	!align="right
worse	!align="right	!align="right
bigger	!align="right	!align="right
brighter	!align="right	!align="right
cheaper	!align="right	!align="right
colder	!align="right	!align="right
cooler	!align="right	!align="right
deeper	!align="right	!align="right
easier	!align="right	!align="right
faster	!align="right	!align="right
better	!align="right	!align="right
greater	!align="right	!align="right
harder	!align="right	!align="right
heavier	!align="right	!align="right
higher	!align="right	!align="right
hotter	!align="right	!align="right
larger	!align="right	!align="right
longer	!align="right	!align="right
louder	!align="right	!align="right
lower	!align="right	!align="right
newer	!align="right	!align="right
older	!align="right	!align="right
quicker	!align="right	!align="right
safer	!align="right	!align="right
sharper	!align="right	!align="right
shorter	!align="right	!align="right
simpler	!align="right	!align="right
slower	!align="right	!align="right
smaller	!align="right	!align="right
smarter	!align="right	!align="right
stronger	!align="right	!align="right
taller	!align="right	!align="right
tighter	!align="right	!align="right
tougher	!align="right	!align="right
warmer	!align="right	!align="right
younger	mother	mother
worse	victim	victim
bigger	finish	finish
brighter	orange	metallic
cheaper	trick	trick
colder	winters	winters
cooler	winters	winters
deeper	victim	victim
easier	characteristics	victim
faster	slow	rigid
better	better	we
greater	felt	felt
harder	rigid	rigid
heavier	rain	rain
higher	school	school
hotter	billboard	billboard
larger	includes	includes
longer	gravity	gravity
louder	sound	rigid
lower	productivity	productivity
newer	york	york
older	bones	bones
quicker	bones	victim
safer	adequate	adequate
sharper	bones	bones
shorter	fiction	fiction
simpler	adequate	victim
slower	faster	faster
smaller	mollusk	mollusk
smarter	mobile	mobile
stronger	favor	favor
taller	stems	stems
tighter	victim	victim
tougher	rigid	rigid
warmer	climate	climate
weaker	bones	bones
worse	maybe	maybe
bigger	conference	conference
brighter	yellow	yellow
cheaper	trick	trick
colder	temperatures	temperatures
cooler	winters	winters
deeper	iii	iii
easier	targeted	targeted
faster	slow	slow
better	it's	it's
greater	iii	iii
harder	eldest	didn't
heavier	turret	turret
higher	school	grades
hotter	billboard	billboard
larger	huge	huge
longer	slender	slender
louder	punk	iii
lower	increased	increased
newer	york	york
older	eldest	norse
quicker	heir	heir
safer	eldest	cheshire
sharper	cecil	cecil
shorter	novels	anthology
simpler	eldest	eldest
slower	fast	fast
smaller	eldest	beside
smarter	technologies	technologies
stronger	eldest	discuss
taller	erect	herb
tighter	defense	defense
tougher	eldest	sophia
warmer	humid	climate
weaker	eldest	fold
wider	variety	curved
biggest	ranked	ranked
brightest	yellow	yellow
coldest	winters	precipitation
coolest	winters	winters
darkest	forewings	forewings
easiest	targeted	targeted
fastest	pace	harder
best	better	better
greatest	earthquakes	widespread
highest	school	school
hottest	billboard	summers
largest	small	small
longest	slender	slender
lowest	significantly	significantly
luckiest	gambling	gambling
oldest	reconstructed	reconstructed
quickest	strongest	strongest
sharpest	albany	albany
simplest	algorithm	puzzle
shortest	stories	prose
slowest	fast	swept
smallest	sharks	sharks
smartest	phones	phones
strangest	hanging	hanging
strongest	winds	winds
sweetest	beans	beans
tallest	erect	shrub
tastiest	!align="right	!align="right
warmest	climate	climate
weakest	cyclone	sin
weirdest	!align="right	!align="right
widest	long	long
youngest	children	children
brightest	yellow	purple
coldest	winters	summers
coolest	humid	summers
darkest	pale	pale
easiest	highly	highly
fastest	slow	slow
best	better	highly
greatest	success	2-1
highest	school	school
hottest	peaking	peaking
largest	dining	dining
longest	slender	slender
lowest	productivity	productivity
luckiest	vegas	vegas
oldest	buildings	2-1
quickest	chef	chef
sharpest	chef	goal
simplest	best-selling	best-selling
shortest	story	story
slowest	fast	fast
smallest	medium-sized	medium
smartest	technologies	technologies
strangest	labeled	labeled
strongest	political	political
sweetest	beans	beans
tallest	erect	erect
tastiest	!align="right	!align="right
warmest	humid	humid
weakest	affected	affected
weirdest	!align="right	!align="right
widest	long	long
youngest	prospective	prospective
worst	success	success
coldest	!align="right	!align="right
coolest	!align="right	!align="right
darkest	!align="right	!align="right
easiest	!align="right	!align="right
fastest	!align="right	!align="right
best	!align="right	!align="right
greatest	!align="right	!align="right
highest	!align="right	!align="right
hottest	!align="right	!align="right
largest	!align="right	!align="right
longest	!align="right	!align="right
lowest	!align="right	!align="right
luckiest	!align="right	!align="right
oldest	!align="right	!align="right
quickest	!align="right	!align="right
sharpest	!align="right	!align="right
simplest	!align="right	!align="right
shortest	!align="right	!align="right
slowest	!align="right	!align="right
smallest	!align="right	!align="right
smartest	!align="right	!align="right
strangest	!align="right	!align="right
strongest	!align="right	!align="right
sweetest	!align="right	!align="right
tallest	!align="right	!align="right
tastiest	!align="right	!align="right
warmest	!align="right	!align="right
weakest	!align="right	!align="right
weirdest	!align="right	!align="right
widest	!align="right	!align="right
youngest	!align="right	!align="right
worst	!align="right	!align="right
biggest	!align="right	!align="right
coolest	!align="right	!align="right
darkest	!align="right	!align="right
easiest	!align="right	!align="right
fastest	!align="right	!align="right
best	!align="right	!align="right
greatest	!align="right	!align="right
highest	!align="right	!align="right
hottest	!align="right	!align="right
largest	!align="right	!align="right
longest	!align="right	!align="right
lowest	!align="right	!align="right
luckiest	!align="right	!align="right
oldest	!align="right	!align="right
quickest	!align="right	!align="right
sharpest	!align="right	!align="right
simplest	!align="right	!align="right
shortest	!align="right	!align="right
slowest	!align="right	!align="right
smallest	!align="right	!align="right
smartest	!align="right	!align="right
strangest	!align="right	!align="right
strongest	!align="right	!align="right
sweetest	!align="right	!align="right
tallest	!align="right	!align="right
tastiest	!align="right	!align="right
warmest	!align="right	!align="right
weakest	!align="right	!align="right
weirdest	!align="right	!align="right
widest	!align="right	!align="right
youngest	!align="right	!align="right
worst	!align="right	!align="right
biggest	!align="right	!align="right
brightest	!align="right	!align="right
darkest	!align="right	!align="right
easiest	!align="right	!align="right
fastest	!align="right	!align="right
best	!align="right	!align="right
greatest	!align="right	!align="right
highest	!align="right	!align="right
hottest	!align="right	!align="right
largest	!align="right	!align="right
longest	!align="right	!align="right
lowest	!align="right	!align="right
luckiest	!align="right	!align="right
oldest	!align="right	!align="right
quickest	!align="right	!align="right
sharpest	!align="right	!align="right
simplest	!align="right	!align="right
shortest	!align="right	!align="right
slowest	!align="right	!align="right
smallest	!align="right	!align="right
smartest	!align="right	!align="right
strangest	!align="right	!align="right
strongest	!align="right	!align="right
sweetest	!align="right	!align="right
tallest	!align="right	!align="right
tastiest	!align="right	!align="right
warmest	!align="right	!align="right
weakest	!align="right	!align="right
weirdest	!align="right	!align="right
widest	!align="right	!align="right
youngest	!align="right	!align="right
worst	!align="right	!align="right
biggest	!align="right	!align="right
brightest	!align="right	!align="right
coldest	!align="right	!align="right
easiest	!align="right	!align="right
fastest	!align="right	!align="right
best	!align="right	!align="right
greatest	!align="right	!align="right
highest	!align="right	!align="right
hottest	!align="right	!align="right
largest	!align="right	!align="right
longest	!align="right	!align="right
lowest	!align="right	!align="right
luckiest	!align="right	!align="right
oldest	!align="right	!align="right
quickest	!align="right	!align="right
sharpest	!align="right	!align="right
simplest	!align="right	!align="right
shortest	!align="right	!align="right
slowest	!align="right	!align="right
smallest	!align="right	!align="right
smartest	!align="right	!align="right
strangest	!align="right	!align="right
strongest	!align="right	!align="right
sweetest	!align="right	!align="right
tallest	!align="right	!align="right
tastiest	!align="right	!align="right
warmest	!align="right	!align="right
weakest	!align="right	!align="right
weirdest	!align="right	!align="right
widest	!align="right	!align="right
youngest	!align="right	!align="right
worst	!align="right	!align="right
biggest	!align="right	!align="right
brightest	!align="right	!align="right
coldest	!align="right	!align="right
coolest	!align="right	!align="right
fastest	!align="right	!align="right
best	!align="right	!align="right
greatest	!align="right	!align="right
highest	!align="right	!align="right
hottest	!align="right	!align="right
largest	!align="right	!align="right
longest	!align="right	!align="right
lowest	!align="right	!align="right
luckiest	!align="right	!align="right
oldest	!align="right	!align="right
quickest	!align="right	!align="right
sharpest	!align="right	!align="right
simplest	!align="right	!align="right
shortest	!align="right	!align="right
slowest	!align="right	!align="right
smallest	!align="right	!align="right
smartest	!align="right	!align="right
strangest	!align="right	!align="right
strongest	!align="right	!align="right
sweetest	!align="right	!align="right
tallest	!align="right	!align="right
tastiest	!align="right	!align="right
warmest	!align="right	!align="right
weakest	!align="right	!align="right
weirdest	!align="right	!align="right
widest	!align="right	!align="right
youngest	!align="right	!align="right
worst	!align="right	!align="right
biggest	!align="right	!align="right
brightest	!align="right	!align="right
coldest	!align="right	!align="right
coolest	!align="right	!align="right
darkest	!align="right	!align="right
best	thing	thing
greatest	tallest	tallest
highest	school	school
hottest	billboard	top
largest	small	small
longest	slender	slender
lowest	decreases	decreases
luckiest	lap	lap
oldest	tallest	fort
quickest	lap	lap
sharpest	blade	blade
simplest	lap	lap
shortest	non-fiction	non-fiction
slowest	lap	lap
smallest	aquatic	dwarf
smartest	tallest	tallest
strangest	tallest	medley
strongest	strongest	strongest
sweetest	beans	flour
tallest	tallest	tallest
tastiest	!align="right	!align="right
warmest	humid	humid
weakest	swimmers	coaster
weirdest	!align="right	!align="right
widest	long	long
youngest	one	one
worst	lap	lap
biggest	finished	finished
brightest	yellow	yellow
coldest	warm	warm
coolest	winters	winters
darkest	forewings	forewings
easiest	advanced	advanced
greatest	nominations	nominations
highest	nominations	nominations
hottest	nominations	grammy
largest	award	nominations
longest	award	nominations
lowest	award	nominations
luckiest	nominations	nominations
oldest	nominations	nominations
quickest	nominations	nominations
sharpest	nominations	nominations
simplest	nominations	nominations
shortest	award	award
slowest	nominations	nominations
smallest	nominations	nominations
smartest	nominations	nominations
strangest	nominations	nominations
strongest	nominated	nominated
sweetest	nominations	nominations
tallest	nominations	nominations
tastiest	!align="right	nominations
warmest	nominations	nominations
weakest	nominated	nominated
weirdest	!align="right	nominations
widest	nominated	nominated
youngest	nominations	nominations
worst	nominations	nominations
biggest	nominations	nominations
brightest	nominations	nominations
coldest	nominations	nominations
coolest	nominations	nominations
darkest	nominated	nominated
easiest	award	award
fastest	nominations	nominations
highest	school	school's
hottest	billboard	billboard
largest	resemble	resemble
longest	slender	slender
lowest	all-time	all-time
luckiest	all-time	casino
oldest	ranked	ranked
quickest	mirrors	mirrors
sharpest	teeth	teeth
simplest	algorithm	poll
shortest	anthology	anthology
slowest	fast	tempo
smallest	towns	towns
smartest	technologies	accurately
strangest	anthology	anthology
strongest	magazine's	evangelical
sweetest	potato	potato
tallest	erect	erect
tastiest	!align="right	!align="right
warmest	summers	summers
weakest	ranked	ranked
weirdest	!align="right	!align="right
widest	wider	wider
youngest	teenage	teenage
worst	ranked	mirrors
biggest	standings	standings
brightest	yellow	yellow
coldest	winters	winters
coolest	winters	winters
darkest	forewings	darker
easiest	ranked	ranked
fastest	bowling	bowling
best	ranked	ranked
hottest	charts	charts
largest	huge	huge
longest	slender	leaves
lowest	lowest	lowest
luckiest	lowest	lowest
oldest	top	ten
quickest	score	score
sharpest	teeth	ratings
simplest	1907	1907
shortest	story	story
slowest	pace	pace
smallest	large	large
smartest	wireless	wireless
strangest	lowest	1907
strongest	charts	charts
sweetest	ingredients	ingredients
tallest	stems	height
tastiest	!align="right	!align="right
warmest	humid	humid
weakest	cyclone	cyclone
weirdest	!align="right	!align="right
widest	range	range
youngest	mother	mother
worst	lowest	bit
biggest	ten	ten
brightest	yellow	pale
coldest	winters	precipitation
coolest	winters	winters
darkest	pale	pale
easiest	good	charts
fastest	bowler	bowler
best	lowest	bad
greatest	flooding	flooding
largest	!align="right	!align="right
longest	!align="right	!align="right
lowest	!align="right	!align="right
luckiest	!align="right	!align="right
oldest	!align="right	!align="right
quickest	!align="right	!align="right
sharpest	!align="right	!align="right
simplest	!align="right	!align="right
shortest	!align="right	!align="right
slowest	!align="right	!align="right
smallest	!align="right	!align="right
smartest	!align="right	!align="right
strangest	!align="right	!align="right
strongest	!align="right	!align="right
sweetest	!align="right	!align="right
tallest	!align="right	!align="right
tastiest	!align="right	!align="right
warmest	!align="right	!align="right
weakest	!align="right	!align="right
weirdest	!align="right	!align="right
widest	!align="right	!align="right
youngest	!align="right	!align="right
worst	!align="right	!align="right
biggest	!align="right	!align="right
brightest	!align="right	!align="right
coldest	!align="right	!align="right
coolest	!align="right	!align="right
darkest	!align="right	!align="right
easiest	!align="right	!align="right
fastest	!align="right	!align="right
best	!align="right	!align="right
greatest	!align="right	!align="right
highest	!align="right	!align="right
longest	length	metres
lowest	firm	firm
luckiest	firm	alberta
oldest	world's	oldest
quickest	maker	maker
sharpest	knife	knife
simplest	world's	firm
shortest	stories	stories
slowest	fastest	fastest
smallest	freshwater	freshwater
smartest	automotive	automotive
strangest	world's	world's
strongest	world's	automotive
sweetest	beans	beans
tallest	cm	cm
tastiest	!align="right	!align="right
warmest	humid	winters
weakest	world's	ranked
weirdest	!align="right	!align="right
widest	length	depth
youngest	organization	organization
worst	firm	firm
biggest	world's	finish
brightest	orange	industries
coldest	winters	winters
coolest	winters	winters
darkest	hindwings	forewings
easiest	automotive	automotive
fastest	bowler	bowler
best	firm	firm
greatest	firm	firm
highest	school	school
hottest	billboard	billboard
lowest	productivity	productivity
luckiest	streak	streak
oldest	tunnels	tunnels
quickest	streak	streak
sharpest	streak	streak
simplest	streak	streak
shortest	non-fiction	streak
slowest	streak	streak
smallest	streak	streak
smartest	streak	streak
strangest	familiar	familiar
strongest	streak	streak
sweetest	beans	coffee
tallest	tallest	tallest
tastiest	!align="right	!align="right
warmest	summers	summers
weakest	streak	postseason
weirdest	!align="right	!align="right
widest	pass	pass
youngest	streak	streak
worst	streak	streak
biggest	streak	streak
brightest	streak	streak
coldest	warm	warm
coolest	summers	summers
darkest	hindwings	streak
easiest	streak	streak
fastest	slow	streak
best	streak	streak
greatest	streak	streak
highest	school	school
hottest	chart	number-one
largest	streak	streak
luckiest	discography	discography
oldest	millions	millions
quickest	bruins	bruins
sharpest	jaw	jaw
simplest	statewide	statewide
shortest	non-fiction	configuration
slowest	pace	pace
smallest	coin	shrub
smartest	wireless	wireless
strangest	statewide	statewide
strongest	statewide	statewide
sweetest	beans	flavor
tallest	stems	stems
tastiest	!align="right	!align="right
warmest	humid	humid
weakest	ranked	ranked
weirdest	!align="right	!align="right
widest	long	cm
youngest	failed	failed
worst	trouble	trouble
biggest	nationally	nationally
brightest	flower	flower
coldest	humid	humid
coolest	humid	humid
darkest	pale	pale
easiest	seemed	seemed
fastest	pace	runner
best	luck	luck
greatest	armies	armies
highest	school	school
hottest	chart	chart
largest	lobby	lobby
longest	tall	tall
oldest	!align="right	!align="right
quickest	!align="right	!align="right
sharpest	!align="right	!align="right
simplest	!align="right	!align="right
shortest	!align="right	!align="right
