rougher	finer	finer
sources	sources	sources
source	source	source
issues	issues	issues
issue	issue	matters
authorities	authorities	authorities
authority	authority	authority
prices	prices	prices
price	price	price
minutes	minutes	minutes
minute	seconds	seconds
laws	laws	laws
law	legislation	legislation
states	federal	federal
state	united	united
artists	artists	artists
artist	artist	artist
officers	officers	officers
officer	officer	officer
rights	rights	rights
right	activist	activist
streets	streets	streets
street	street	street
cases	cases	cases
case	case	case
efforts	efforts	efforts
effort	effort	effort
men	men	men
man	women	man
streets	streets	streets
street	street	street
hours	hours	hours
hour	minutes	minutes
products	products	products
product	product	product
citizens	citizens	citizens
citizen	citizen	people
officers	officers	inspector
officer	officer	officer
lines	lines	lines
line	line	line
services	services	services
service	service	service
ways	ways	ways
way	way	way
cities	cities	cities
city	towns	towns
kids	contestants	losers
kid	teen	teen
results	results	results
result	result	result
events	events	events
event	event	event
teachers	teachers	teachers
teacher	teacher	teacher
artists	artists	artists
artist	artist	artist
cars	cars	cars
car	car	car
drugs	drugs	drugs
drug	drug	drug
days	week	afternoon
day	weeks	weeks
citizens	citizens	citizens
citizen	citizen	citizen
companies	companies	companies
company	company	company
cars	cars	cars
car	vehicles	vehicles
projects	projects	projects
project	project	project
months	week	week
month	weeks	weeks
analysts	correspondent	cnn
analyst	experts	experts
leaders	leaders	leaders
leader	leader	leader
benefits	benefits	benefits
benefit	benefit	benefit
plans	plans	plans
plan	plan	plan
weeks	month	month
week	months	months
miles	kilometre	9km
mile	kilometres	kilometres
students	students	students
student	pupils	pupils
families	families	families
family	family	family
deaths	deaths	deaths
death	births	death
miles	miles	miles
mile	kilometers	kilometre
cities	town	cities
city	towns	towns
points	points	points
point	point	point
students	students	students
student	pupils	pupils
parties	parties	parties
party	party	party
weapons	weapons	weapons
weapon	weapon	weapon
artists	artists	artists
artist	artist	artist
jobs	jobs	jobs
job	job	job
benefits	benefits	benefits
benefit	benefit	benefit
investors	customer	customer
investor	investments	securities
games	games	gameplay
game	game	game
cities	cities	cities
city	towns	city
buildings	buildings	buildings
building	building	residences
concerns	concerns	concerns
concern	considerations	considerations
years	month	years
year	months	months
reasons	reasons	reasons
reason	reason	reason
sports	sports	sports
sport	sport	sport
leaders	leaders	leaders
leader	leader	leader
concerns	concerns	concerns
concern	concern	concern
deaths	deaths	deaths
death	death	death
men	woman	woman
man	women	women
kids	resides	freddy
kid	fun	fun
decisions	decisions	decisions
decision	decision	decision
families	families	families
family	family	family
rights	rights	rights
right	liberties	amendment
patients	patients	patients
patient	patient	patient
operations	operations	operations
operation	operation	operation
products	products	products
product	product	product
students	students	students
student	pupils	pupils
lines	lines	lines
line	line	line
schools	schools	schools
school	school	school
losses	losses	losses
loss	loss	loss
days	month	days
day	weeks	weeks
cars	cars	cars
car	car	car
children	children	children
child	child	child
drugs	drugs	drugs
drug	drug	drug
patients	patients	patients
patient	patient	patient
men	woman	woman
man	soldiers	soldiers
teachers	teachers	educator
teacher	students	students
problems	problems	problems
problem	problem	problem
countries	countries	countries
country	nations	nations
women	women	women
woman	woman	woman
artists	artists	artists
artist	artist	artist
benefits	benefits	benefits
benefit	benefit	benefit
streets	avenue	avenue
street	street	street
systems	systems	systems
system	system	system
sales	purchase	purchase
sale	revenue	revenue
cases	cases	cases
case	case	case
charges	charges	charges
charge	charge	charge
people	woman	woman
person	persons	persons
friends	friends	friends
friend	friend	friend
weapons	weapons	weapons
weapon	weapon	weapon
citizens	citizens	citizens
citizen	citizen	citizen
teachers	teachers	teachers
teacher	students	students
rates	rates	rates
rate	rate	rate
days	week	week
day	weeks	weeks
kids	robberies	robberies
kid	teen	teen
cars	cars	cars
car	car	car
owners	owners	owners
owner	owner	owner
laws	laws	laws
law	law	law
sports	sports	sports
sport	sport	sport
parents	sister	sister
parent	father	father
men	woman	woman
man	women	women
companies	companies	companies
company	company	company
systems	systems	systems
system	system	system
relations	regards	regards
relation	relationship	relationship
questions	questions	questions
question	question	question
groups	groups	groups
group	group	group
cars	cars	cars
car	car	car
friends	friends	friends
friend	friend	friend
reports	reports	reports
report	report	report
buildings	buildings	buildings
building	building	building
artists	artists	artists
artist	artist	artist
companies	companies	companies
company	company	company
hours	minutes	minutes
hour	months	months
events	events	events
event	event	event
officials	unofficial	unofficial
official	authorities	authorities
decisions	decisions	decisions
decision	decision	decision
benefits	benefits	benefits
benefit	benefit	benefit
employees	employees	employees
employee	employee	employee
lines	lines	lines
line	line	line
laws	laws	laws
law	law	law
efforts	efforts	efforts
effort	effort	effort
numbers	numbers	numbers
number	number	number
lives	lives	lives
life	living	living
rules	regime	policies
rule	regulations	regulations
products	products	products
product	product	product
residents	residents	residents
resident	citizens	citizens
parents	parents	parents
parent	father	father
weeks	month	month
week	months	months
weapons	weapons	weapons
weapon	weapon	weapon
artists	artists	artists
artist	artist	artist
benefits	benefits	benefits
benefit	benefit	benefit
decisions	decisions	decisions
decision	decision	decision
months	week	week
month	weeks	weeks
talks	interviews	interviews
talk	negotiations	agreed
weeks	month	month
week	months	months
members	members	members
member	member	member
states	state's	state's
state	united	united
candidates	candidates	candidates
candidate	candidate	candidate
employees	executive	executive
employee	workers	workers
men	woman	woman
man	women	women
authorities	authorities	authorities
authority	officials	officials
decisions	decisions	decisions
decision	decision	decision
weeks	month	month
week	months	months
efforts	efforts	efforts
effort	effort	effort
sports	sports	sports
sport	sport	sport
days	night	night
day	months	months
experts	experts	experts
expert	researchers	researchers
members	members	members
member	member	member
losses	losses	losses
loss	loss	loss
players	players	players
player	player	player
men	woman	woman
man	man	man
standards	standards	standards
standard	standard	standard
friends	friends	friends
friend	friend	friend
hours	hours	days
hour	minutes	hour
terms	terms	terms
term	term	term
results	results	results
result	result	result
sources	sources	sources
source	source	source
businesses	businesses	businesses
business	companies	sector
times	wavelengths	wavelengths
time	twice	twice
systems	systems	systems
system	system	system
conditions	conditions	conditions
condition	condition	condition
issues	issues	issues
issue	issue	issue
deaths	negotiations	imprisonment
death	births	births
friends	friends	acquaintance
friend	friend	friend
cases	negotiations	negotiations
case	case	instances
members	members	members
member	member	member
games	games	games
game	game	game
services	services	services
service	service	service
schools	schools	schools
school	school	school
games	games	games
game	game	game
operations	operations	operations
operation	operation	operation
parents	owned-and-operated	owned-and-operated
parent	father	father
lines	lines	lines
line	line	line
numbers	numbers	numbers
number	number	number
officials	unofficial	unofficial
official	officer	officer
families	families	familys
family	pyrams	pyrams
groups	groups	groups
group	group	group
projects	projects	projects
project	project	project
streets	streets	streets
street	street	street
hours	hours	hours
hour	minutes	minutes
kids	goggles	goggles
kid	teen	teen
cars	cars	cars
car	car	car
things	things	things
thing	thing	thing
conditions	conditions	conditions
condition	condition	condition
members	members	members
member	member	member
states	state's	state's
state	united	u.s
sports	sports	sports
sport	sport	sport
problems	problems	problems
problem	problem	problem
times	period	period
time	twice	twice
plans	plans	plans
plan	plan	plan
sales	purchase	purchase
sale	sale	sale
allegations	accusations	accusations
allegation	misconduct	misconduct
people	persons	persons
person	inhabitants	inhabitants
miles	kilometre	kilometre
mile	kilometers	13km
rules	regime	regime
rule	laws	laws
standards	standards	standards
standard	standard	standard
men	woman	woman
man	women	women
things	things	things
thing	thing	anything
people	persons	persons
person	persons	persons
operations	operations	operations
operation	operation	operation
terms	terms	terms
term	term	term
states	bicameral	bicameral
state	united	united
businesses	businesses	businesses
business	business	business
problems	problems	problems
problem	problem	problem
cities	cities	cities
city	towns	towns
officers	officers	officers
officer	officer	officer
owners	owners	owners
owner	owner	owner
services	services	services
service	service	service
dollars	dollars	dollars
dollar	million	million
cities	cities	cities
city	towns	towns
players	players	players
player	player	player
men	men	men
man	man	man
products	products	products
product	product	product
changes	changes	changes
change	change	change
reports	reports	reports
report	report	report
men	men	men
man	man	man
questions	questions	questions
question	question	question
workers	workers	workers
worker	employees	employees
losses	losses	losses
loss	loss	loss
laws	laws	laws
law	legislation	legislation
citizens	citizens	citizens
citizen	citizen	citizen
families	families	families
family	family	family
bank's	bank's	bank's
bank	bank	bank
boy's	girl	girl
boy	boys	boys
film's	movie	films
film	film	film
play's	playing	playing
play	cities	cities
game's	game's	game's
game	game	game
district's	districts	districts
district	district	democrat
park's	park's	park's
park	park	park
girl's	boy	boy
girl	girl	girl
firm's	country's	company's
firm	investors	investors
community's	country's	country's
community	community	community
author's	writer	writer
author	annotated	annotated
today's	today's	today's
today	modern	modern
summer's	winter	winter
summer	!align="right	!align="right
day's	week	week
day	co	evening
station's	stations	station's
station	station	station
agency's	agencies	agency's
agency	agency	agency
judge's	attorney	attorney
judge	court	court
area's	areas	areas
area	bozeman	bozeman
center's	centre	centre
center	center	center
county's	county's	county's
county	county	county
child's	children	maria's
child	childs	childs
region's	regions	regions
region	month	region
couple's	couples	couples
couple	marriage	marriage
committee's	committees	commission
committee	committee	committee
book's	novel	novel
book	novel's	novel's
president's	vice-president	vice-president
president	governor's	governor's
area's	areas	areas
area	counties	area
team's	teams	team's
team	team	team
university's	university's	university's
university	university	university
band's	bands	bands
band	album's	band
project's	nation's	nation's
project	project	project
wife's	daughter	husband
wife	grandmother's	grandmother's
sheriff's	county's	county's
sheriff	county	county
network's	networks	network's
network	network	network
company's	company's	company's
company	company	company
girl's	boy	woman
girl	girls	girls
project's	projects	projects
project	darfur	darfur
play's	plays	plays
play	comedy	comedy
program's	programs	programs
program	20052006	199091
father's	son	son
father	husband's	husband's
community's	communities	communities
community	town's	area's
market's	markets	markets
market	!align="right	!align="right
game's	games	games
game	show's	show's
governor's	governors	governors
governor	still	legislative
band's	bands	bands
band	group's	group's
show's	shows	shows
show	film's	cbs
community's	communities	communities
community	community	community
governor's	gov	gov
governor	legislature	legislature
school's	school's	school's
school	school	school
band's	bands	band's
band	group's	concert
person's	persons	persons
person	individual's	individual's
film's	movie	movie
film	album's	play's
play's	playing	playing
play	lawyer	producer
program's	programs	programs
program	show's	station's
doctor's	doctor's	doctor's
doctor	doctor	doctor
hospital's	hospital's	hospital's
hospital	hospital	hospital
region's	regions	regions
region	region	region
everyone's	anyone	anyone
everyone	everyone	everyone
town's	town's	town's
town	town	town
government's	government's	government's
government	government	government
court's	court's	court's
court	court	court
everyone's	anyone	anyone
everyone	everything	everything
father's	mother	mother
father	grandfather's	grandfather's
week's	month	month
week	teams	week
league's	league's	league's
league	teams	teams
agency's	band's	agency's
agency	agency	agency
panel's	band's	band's
panel	!align="right	!align="right
wife's	band's	band's
wife	mother	mother
company's	company's	company's
company	company	company
organization's	organization's	organization's
organization	organization	organization
woman's	man	man
woman	womans	womens
weekend's	prime-time	prime-time
weekend	!align="right	!align="right
attorney's	judge	judge
attorney	attorney	neurosurgery
party's	party's	party's
party	party	party
union's	union's	union's
union	union	union
today's	nowadays	nowadays
today	present-day	present-day
park's	park's	park's
park	park	park
month's	year	year
month	two-week	two-week
show's	shows	shows
show	film's	show
coroner's	ohio's	ohio's
coroner	!align="right	!align="right
board's	boards	boards
board	archbishop	archbishop
nation's	country	tribe
nation	country's	country's
artist's	artists	artists
artist	nurture	nurture
union's	unions	unions
union	soviet	indias
band's	bands	bands
band	duo's	duo's
woman's	girl	girl
woman	womans	womans
weekend's	saturday	saturday
weekend	!align="right	!align="right
driver's	drivers	drivers
driver	driver	driver
band's	bands	bands
band	parties	concert
jury's	board's	board's
jury	!align="right	!align="right
nation's	country	country
nation	country's	country's
man's	woman	woman
man	man	man
doctor's	doctor's	doctor's
doctor	doctors	doctors
county's	county's	county's
county	county	county
week's	month	month
week	weekly	weekly
board's	boards	board's
board	board	board
author's	writer	writer
author	dpartement	ravel
evening's	morning	morning
evening	!align="right	!align="right
girl's	boy	woman
girl	girl	girl
world's	world's	world's
world	worlds	worlds
bank's	banks	savings
bank	lieutenant-governor	lieutenant-governor
patient's	patients	patient's
patient	mayor	patient
commission's	commission's	commission's
commission	mayor	mayor
book's	books	books
book	mayor	novel's
band's	bands	bands
band	group's	group's
summer's	winter	winter
summer	!align="right	!align="right
project's	projects	projects
project	project	project
patient's	patients	client
patient	patient	patient
area's	areas	areas
area	region's	region's
father's	mother	mother
father	mother's	mother's
day's	month	month
day	cushion	cushion
club's	clubs	club's
club	club	club
city's	city's	city's
city	citys	citys
play's	plays	plays
play	boards	othello
attorney's	attorney's	attorney's
attorney	attorney	comptroller
tonight's	band's	band's
tonight	!align="right	!align="right
victim's	defendant's	defendant's
victim	subfamily	subfamily
wife's	girlfriend	girlfriend
wife	mother	mother
bill's	bills	bills
bill	subfamily	subfamily
game's	games	game's
game	film's	in-game
park's	park's	park's
park	park	park
daughter's	son	daughters
daughter	son	daughter-in-law
wife's	mother	mother
wife	brother	brother
center's	centre	center's
center	center	center
jury's	juries	juries
jury	!align="right	!align="right
tonight's	my	my
tonight	!align="right	!align="right
court's	courts	courts
court	judge	judge
society's	society's	society's
society	society	society
family's	family's	family's
family	president	father
league's	league's	league's
league	nfl's	nfl's
boy's	girl	girl
boy	areas	ankles
club's	clubs	club's
club	team's	club
group's	groups	groups
group	areas	group
jury's	juries	juries
jury	!align="right	!align="right
governor's	gov	gov
governor	areas	areas
judge's	judges	judges
judge	chairman	chairman
station's	stations	stations
station	chairman	chairman
state's	state's	state's
state	chairman	chairman
baseball's	basketball	softball
baseball	chairman	chairman
father's	mother	parents
father	father	father
association's	association's	association's
association	association	association
woman's	man	man
woman	womans	womans
family's	family's	family's
family	family	family
father's	mother	mother
father	brother's	grandfather's
center's	centre	center's
center	center	center
child's	mother's	mother's
child	mother	mother
president's	president's	president's
president	president	president
night's	nights	midnight
night	brother	brother
weekend's	sunday	sunday
weekend	!align="right	!align="right
everyone's	anyone	anyone
everyone	son	everyone
nation's	nations	nations
nation	country's	country's
dollar's	million	winnings
dollar	!align="right	!align="right
system's	systems	systems
system	system	system
company's	company's	company's
company	company	company
driver's	drivers	drivers
driver	company	open
agency's	agency's	agency's
agency	agency	agency
firm's	firm's	firm's
firm	firm	firm
general's	gen	gen
general	rcmp	rcmp
administration's	administration's	administration's
administration	administration	administration
week's	month	week's
week	year's	year's
author's	writer	writer
author	industries	informative
judge's	judges	court's
judge	industries	whitlam
program's	programs	programs
program	industries	program
group's	groups	groups
group	industries	industries
book's	novel	novel
book	book	book
season's	seasons	seasons
season	season	season
master's	masters	masters
master	bachelor's	bachelor's
bank's	bank's	bank's
bank	bank	banks
party's	parties	parties
party	party	army's
school's	schools	schools
school	university's	university's
tonight's	your	your
tonight	!align="right	!align="right
person's	person's	person's
person	person	person
park's	parks	parks
park	park	waterfalls
show's	shows	shows
show	film's	film's
general's	gen	gen
general	actress	actress
region's	regions	regions
region	city's	city's
bill's	bills	bills
bill	regency	regency
school's	schools	school's
school	school	school
county's	county's	county's
county	county	county
union's	unions	unions
union	courts	courts
board's	boards	board's
board	shows	board
night's	film's	film's
night	shows	shows
patient's	patients	patient's
patient	person's	person's
organization's	organizations	organizations
organization	shows	organization
father's	brother	brother
father	shows	fathers
woman's	person	person
woman	womans	woman
weekend's	saturday	saturday
weekend	!align="right	!align="right
community's	communities	communities
community	movie	grenville
game's	game's	game's
game	movie	game
administration's	administration's	administration's
administration	movie	anthology
association's	association's	association's
association	association	association
daughter's	son	son
daughter	children	children
agency's	agency's	agency's
agency	agency	army
boy's	girl	girl
boy	infant	infant
project's	projects	projects
project	project	project
hospital's	clinic	clinic
hospital	father	hospital
today's	nowadays	nowadays
today	father	modern
victim's	victim's	victim's
victim	father	father
family's	family's	family's
family	father	grandmother
company's	company's	company's
company	company	company
child's	children	children
child	year	maternal
victim's	victims	inmate
victim	year	year
husband's	wife	wife
husband	year	year
bank's	bank's	bank's
bank	year	year
book's	novel	novel
book	year	film's
industry's	industries	industry's
industry	centre	centre
person's	persons	person's
person	centre	person
daughter's	son	son
daughter	centre	centre
weekend's	saturday	presley's
weekend	!align="right	!align="right
governor's	gov	gov
governor	centre	centre
state's	state's	state's
state	state	state
station's	stations	stations
station	station	station
community's	communities	communities
community	seasons	habitual
program's	programs	programs
program	postseason	postseason
government's	government's	government's
government	government	government
country's	lonesome	lonesome
country	nation's	nation's
judge's	judges	judge's
judge	director-general	heuristic
play's	playing	playing
play	film's	film's
program's	programs	programs
program	show's	fasting
baseball's	football	football
baseball	baseball	baseball
person's	persons	persons
person	person	borrower
council's	council's	council's
council	council	council
system's	systems	systems
system	system	system
club's	club's	club's
club	club	club
coroner's	school's	state's
coroner	!align="right	!align="right
association's	association's	association's
association	association	association
author's	writer	writer
author	communities	communities
park's	park's	park's
park	park	park
boy's	girl	girl
boy	communities	communities
family's	family's	family's
family	communities	family
building's	buildings	buildings
building	architect	25th
mayor's	mayoral	mayoral
mayor	councilman	councilman
evening's	morning	morning
evening	!align="right	!align="right
government's	government's	government's
government	government	government
school's	school's	school's
school	university's	school
court's	courts	court's
court	court	court
child's	children	children
child	woman's	entourage
boy's	girl	girl
boy	boys	boys
county's	county's	county's
county	county	county
governor's	gov	gov
governor	legislature	legislature
victim's	duo's	duo's
victim	ankles	ankles
region's	regions	regions
region	bands	region
park's	park's	park's
park	park	park
city's	city's	city's
city	city	city
week's	weeks	weeks
week	bands	weekly
president's	presidents	presidents
president	committees	trustees
girl's	boy	boy
girl	girl	girl
couple's	couples	couples
couple	committees	17th-century
film's	movie	movie
film	movie's	movie's
governor's	mayor	mayor
governor	governors	governors
mayor's	governor	mayoralty
mayor	wife	mayor
evening's	morning	morning
evening	!align="right	!align="right
couple's	few	few
couple	wife	wife
center's	centre	centre
center	center	center
band's	bands	bands
band	guitarist	guitarist
mayor's	councilman	councilman
mayor	programme	programme
region's	regions	regions
region	programs	programs
attorney's	lawyer	councilman
attorney	programs	programs
doctor's	show's	doctor's
doctor	programme	programme
administration's	administration's	administration's
administration	administration	administration
church's	church's	church's
church	church	church
evening's	morning	morning
evening	!align="right	!align="right
mother's	wife	wife
mother	father's	mother
university's	university's	university's
university	university	university
week's	month	month
week	week	week
author's	writer	writer
author	aristotle's	well-being
president's	vice-president	vice-president
president	president	president
judge's	judges	judges
judge	detained	detained
community's	communities	communities
community	town's	luhansk
town's	village	village
town	city's	city's
network's	networks	networks
network	network	network
town's	village	town's
town	village's	village's
party's	party's	party's
party	party	party
band's	bands	bands
band	group's	arranger
league's	league's	league's
league	league	league
park's	park's	park's
park	park	park
bank's	bank's	bank's
bank	bank	bank
son's	daughter	daughter
son	daughter's	daughter's
doctor's	doctor's	doctor's
doctor	doctor	doctor
father's	son	son
father	mother's	mother's
president's	chairman	chairman
president	clubs	council
author's	writer	writer
author	side	anti-war
woman's	man	man
woman	womans	ladies
man's	woman	man's
man	man	girl
family's	family's	family's
family	family	family
author's	writer	writer
author	projects	essays
night's	morning	morning
night	programme	programme
boy's	girl	girl
boy	girl's	girl's
play's	playing	playing
play	screenplay	screenplay
father's	grandfather	grandfather
father	mother's	mother's
building's	buildings	building's
building	organisation	building
mayor's	governor	incumbent
mayor	organisation	organisation
committee's	committees	committee's
committee	committee	committee
community's	community's	community's
community	organisation	community
driver's	drivers	drivers
driver	organisation	organisation
judge's	judges	court's
judge	parish	parish
baseball's	basketball	basketball
baseball	baseball	baseball
game's	games	game's
game	gameplay	gameplay
doctor's	doctors	doctors
doctor	doctor	doctor
jury's	juries	prosecutors
jury	!align="right	!align="right
victim's	victim's	victim's
victim	persons	someone
world's	patient's	global
world	worlds	worlds
play's	playing	playing
play	film's	off-broadway
team's	teams	teams
team	club's	buccaneers
jury's	judge's	judge's
jury	!align="right	!align="right
church's	churchs	churchs
church	daughter	church
today's	now	today's
today	daughter	present-day
daughter's	daughter's	daughter's
daughter	daughter	daughter
group's	groups	groups
group	daughter	daughter
governor's	gov	president's
governor	daughter	daughter
industry's	!align="right	!align="right
industry	markets	markets
council's	!align="right	!align="right
council	markets	markets
couple's	!align="right	!align="right
couple	markets	markets
county's	!align="right	!align="right
county	markets	markets
union's	!align="right	!align="right
union	markets	markets
hospital's	hospitals	hospital's
hospital	architect	architect
couple's	couples	couples
couple	painter	painter
community's	communities	communities
community	musician	photographer
general's	plato's	plato's
general	musician	journalist
county's	county's	county's
county	county	county
association's	association's	association's
association	association	association
artist's	artists	painter
artist	postcards	postcards
doctor's	doctor's	doctor's
doctor	pharmacy	pharmacy
university's	university's	university's
university	university	university
governor's	lieutenant-governor	lieutenant-governor
governor	governors	governors
evening's	morning	afternoon
evening	!align="right	!align="right
show's	shows	shows
show	film's	game's
community's	communities	communities
community	town's	town's
network's	networks	networks
network	network	network
week's	month	month
week	season's	season's
city's	!align="right	!align="right
city	town's	town's
bill's	!align="right	!align="right
bill	police	police
everyone's	!align="right	!align="right
everyone	everyone	everyone
group's	!align="right	!align="right
group	band's	band's
week's	!align="right	colspan=3|total
week	week	week
hospital's	medical	medical
hospital	commandant	commandant
family's	bachelor's	asteraceae
family	family	family
driver's	drivers	drivers
driver	driver	driver
book's	books	books
book	film's	novel's
union's	unions	unions
union	soviet	project's
president's	chairman	chairman
president	basketball	presidential
society's	societies	societies
society	basketball	society
station's	stations	stations
station	station	station
boy's	girl	girl
boy	softball	softball
county's	counties	county's
county	basketball	county
building's	!align="right	!align="right
building	tower	tower
agency's	!align="right	!align="right
agency	agency	agency
month's	!align="right	!align="right
month	morning	morning
world's	!align="right	!align="right
world	worlds	worlds
jury's	!align="right	!align="right
jury	oh	oh
year's	!align="right	!align="right
year	panels	panels
victim's	!align="right	!align="right
victim	panels	panels
society's	!align="right	!align="right
society	society	society
family's	!align="right	!align="right
family	panels	panels
game's	!align="right	!align="right
game	panels	panels
country's	country's	country's
country	nation's	nation's
day's	month	month
day	societies	societies
government's	government's	government's
government	government	government
doctor's	physician	psychiatrist
doctor	societies	doctor
governor's	gov	gov
governor	legislature	legislature
author's	writer	novelist
author	girl	joke
dollar's	dollars	dollars
dollar	!align="right	!align="right
mother's	grandmother	grandmother
mother	girl	girl
woman's	woman's	woman's
woman	girl	girl
center's	centre	centre
center	center	center
nation's	country	nation's
nation	country's	country's
husband's	husband's	husband's
husband	husband	husband
artist's	artists	artists
artist	daughter	artist
play's	plays	plays
play	daughter	daughter
game's	games	games
game	show's	show's
person's	persons	persons
person	person	person
world's	world's	world's
world	worlds	worlds
driver's	drivers	drivers
driver	car	car
jury's	judges	judges
jury	!align="right	!align="right
administration's	administration's	administration's
administration	administration	administration
bank's	bank's	bank's
bank	bank	bank
everyone's	anyone	anyone
everyone	few	whats
area's	areas	areas
area	region's	region's
family's	family's	family's
family	family	family
team's	teams	teams
team	club's	coach
dollar's	city's	companys
dollar	!align="right	!align="right
weekend's	saturday	saturday
weekend	!align="right	!align="right
program's	programs	programme
program	village	village
school's	school's	school's
school	school	school
jury's	city's	republic's
jury	!align="right	!align="right
husband's	wife	wife
husband	father's	father's
wife's	daughter	daughter
wife	mother	mother
network's	networks	networks
network	network	network
doctor's	physician	physician
doctor	hospital	hospital
team's	team's	team's
team	team	team
night's	afternoon	dusk
night	games	match
baseball's	soccer	soccer
baseball	games	baseball
company's	company's	company's
company	company	company
book's	book's	book's
book	games	games
governor's	gov	gov
governor	constitution	constitution
child's	!align="right	!align="right
child	juries	juries
building's	!align="right	!align="right
building	panel	panel
bank's	!align="right	!align="right
bank	bank	bank
man's	!align="right	!align="right
man	man	man
life's	!align="right	!align="right
life	juries	posse
master's	masters	masters
master	bachelor's	bachelor's
project's	projects	projects
project	project	development
boy's	girl	girl
boy	girl's	girl's
attorney's	lawyer	lawyer
attorney	attorney	prosecutor
area's	areas	areas
area	city's	1850s
council's	council's	council's
council	council	council
artist's	artists	singer-songwriter
artist	artists	artists
doctor's	physician	physician
doctor	doctor	doctor
governor's	gov	gov
governor	governors	unicameral
book's	books	books
book	film's	erotic
today's	nowadays	nowadays
today	modern	modern
system's	systems	systems
system	system	system
council's	councils	council's
council	council	council
state's	state's	state's
state	nation's	nation's
son's	nephew	nephew
son	novel	novel
museum's	museum's	museum's
museum	museum	museum
child's	children	children
child	woman's	woman's
family's	family's	family's
family	family	family
band's	bands	bands
band	stations	stations
book's	books	books
book	stations	story
council's	council's	council's
council	council	council
man's	woman	woman
man	man	man
everyone's	everybody	everybody
everyone	redeveloped	getting
world's	pan-american	pan-american
world	worlds	worlds
market's	markets	markets
market	!align="right	!align="right
state's	!align="right	!align="right
state	winter	winter
month's	!align="right	!align="right
month	winter	winter
department's	!align="right	!align="right
department	winter	winter
family's	!align="right	!align="right
family	winter	winter
patient's	!align="right	!align="right
patient	winter	winter
husband's	wife	father
husband	husband	husband
night's	evening	evening
night	tb	tb
club's	clubs	clubs
club	team's	team's
judge's	court	court
judge	judge	judge
town's	city	city
town	city's	city's
tonight's	my	my
tonight	!align="right	!align="right
board's	boards	boards
board	department's	department's
dollar's	million	billion
dollar	!align="right	!align="right
summer's	winter	winter
summer	!align="right	!align="right
party's	party's	party's
party	party	party
hospital's	hospitals	hospital's
hospital	systems	hospital
husband's	wife	wife
husband	father's	father's
woman's	man	man's
woman	womans	womans
state's	state's	state's
state	systems	state
show's	shows	shows
show	systems	systems
mayor's	governor	governor
mayor	anyone	anyone
agency's	agencies	agencies
agency	agency	agency
show's	shows	shows
show	doctor	doctor
station's	stations	stations
station	station	station
area's	areas	areas
area	city's	citys
building's	buildings	buildings
building	son	roof
life's	son's	son's
life	son	son
company's	companies	companies
company	companys	companys
union's	union's	union's
union	son	son
school's	schools	school's
school	son	college's
church's	church's	church's
church	church	church
author's	writer	writer
author	networks	authorship
night's	nights	nights
night	networks	networks
driver's	drivers	drivers
driver	networks	server
jury's	judge	judge
jury	!align="right	!align="right
district's	districts	district's
district	writer	district
summer's	winter	winter
summer	!align="right	!align="right
state's	state's	state's
state	writer	state
son's	daughter	daughter
son	writer	writer
everyone's	anyone	anyone
everyone	writer	vocalist
country's	nation	nation
country	nation's	nation's
board's	boards	boards
board	woman	woman
industry's	industries	industries
industry	boy	industry
mother's	father	father
mother	woman	woman
commission's	commission's	commission's
commission	commission	commission
nation's	country	country
nation	country's	country's
couple's	few	few
couple	gerald	gerald
project's	projects	projects
project	project	project
patient's	patients	patients
patient	bills	patients
family's	family's	family's
family	family	family
district's	!align="right	!align="right
district	sunday	sunday
nation's	!align="right	!align="right
nation	country's	afternoon
station's	!align="right	!align="right
station	afternoon	morning
club's	!align="right	!align="right
club	sunday	sunday
son's	!align="right	!align="right
son	sunday	sunday
tonight's	mariah	mariah
tonight	!align="right	!align="right
country's	countries	countries
country	nation's	nation's
community's	communities	communities
community	priest	priest
father's	mother	mother
father	father	father
administration's	administration's	administration's
administration	administration	administration
mayor's	governor	governor
mayor	played	played
girl's	boy	boy
girl	played	played
community's	communities	communities
community	playing	participate
department's	departments	departments
department	plays	plays
family's	family's	family's
family	playing	playing
boy's	!align="right	!align="right
boy	morning	morning
film's	!align="right	!align="right
film	morning	morning
wife's	!align="right	!align="right
wife	morning	morning
family's	!align="right	!align="right
family	morning	morning
program's	!align="right	!align="right
program	morning	morning
region's	!align="right	!align="right
region	town's	town's
month's	!align="right	!align="right
month	month	month
bank's	!align="right	!align="right
bank	bank	company's
play's	!align="right	!align="right
play	pound	clean
union's	!align="right	!align="right
union	company's	company's
returned	returned	returned
return	returning	returning
returns	returning	returning
return	return	return
returned	returned	returned
returns	returning	returning
determined	determines	determines
determine	determine	determine
determines	determines	defines
determine	determine	determine
determined	determine	determine
determines	determines	determines
ensured	ensuring	oversaw
ensure	ensure	ensure
ensures	requires	requires
ensure	ensure	ensure
ensured	ensure	ensure
ensures	assured	assured
decided	chose	chose
decide	decide	decide
decides	chooses	chooses
decide	decide	decide
decided	decided	decided
decides	agreed	decides
ended	ends	ends
end	ending	occur
ends	ends	ends
end	end	forgiven
ended	ended	ended
ends	ending	ending
supported	supported	supported
support	allow	allow
supports	supports	supports
support	support	support
supported	supported	supported
supports	supports	supports
raised	raised	raised
raise	raise	raise
raises	raises	raises
raise	raise	raise
raised	raised	raised
raises	raises	raises
opened	closed	closed
open	reopened	provide
