rougher	poorly	poorly
citizens	citizens	citizens
citizen	citizen	inhabitants
companies	companies	companies
company	company	company
cars	cars	cars
car	car	car
projects	projects	projects
project	project	project
months	week	week
month	weeks	weeks
analysts	united	analysts
analyst	academics	academics
leaders	leaders	leaders
leader	leader	leader
benefits	benefits	benefits
benefit	benefit	benefit
plans	plans	plans
plan	plan	planning
weeks	month	month
week	months	months
miles	miles	miles
mile	kilometres	kilometres
students	students	students
student	pupils	student
families	families	families
family	family	family
deaths	deaths	deaths
death	fatalities	fatalities
miles	miles	miles
mile	kilometres	kilometres
cities	town	town
city	towns	towns
points	points	points
point	point	point
students	students	students
student	pupils	pupils
parties	parties	party's
party	party	party
weapons	weapons	weapons
weapon	weapon	weapon
artists	artists	artists
artist	artist	artist
jobs	jobs	jobs
job	job	job
benefits	benefits	benefits
benefit	benefit	benefit
investors	investment	investment
investor	investments	firm
games	games	games
game	game	game
cities	cities	cities
city	towns	city
buildings	buildings	buildings
building	building	residences
concerns	concerns	criticism
concern	concern	concern
years	month	years
year	months	months
reasons	reasons	reasons
reason	reason	reason
sports	sports	sports
sport	sport	sport
leaders	leaders	leaders
leader	leader	leader
concerns	concerns	concerns
concern	concern	concern
deaths	deaths	deaths
death	death	death
men	woman	woman
man	women	officers
kids	resides	resides
kid	guys	quiz
decisions	decisions	decisions
decision	decision	decision
families	families	families
family	family	family
rights	left	rights
right	amendment	amendment
patients	patients	patients
patient	patient	patient
operations	operations	operations
operation	operation	operation
products	products	products
product	product	product
students	students	students
student	pupils	pupils
lines	lines	lines
line	line	line
schools	schools	schools
school	school	school
losses	losses	losses
loss	loss	loss
days	night	night
day	weeks	weeks
cars	cars	cars
car	car	car
children	children	children
child	daughters	daughters
drugs	drugs	drugs
drug	drug	drug
patients	patients	patients
patient	patient	patient
men	woman	woman
man	soldiers	soldiers
teachers	teachers	teaching
teacher	teacher	teacher
problems	problems	problems
problem	problem	problem
countries	countries	countries
country	nations	eu
women	women	women
woman	woman	woman
artists	artists	artists
artist	artist	artist
benefits	benefits	benefits
benefit	benefit	benefit
streets	avenue	avenue
street	street	street
systems	systems	systems
system	system	system
sales	purchase	purchase
sale	marketing	marketing
cases	cases	cases
case	case	case
charges	charges	charges
charge	charge	charge
people	woman	woman
person	persons	persons
friends	friends	friends
friend	friend	friend
weapons	weapons	weapons
weapon	weapon	weapon
citizens	citizens	citizens
citizen	citizen	citizen
teachers	teachers	teachers
teacher	students	teacher
rates	rates	rates
rate	rate	rate
days	week	week
day	weeks	weeks
kids	boy	boy
kid	devil	spotlight
cars	cars	cars
car	car	car
owners	owners	owners
owner	owner	owner
laws	laws	laws
law	law	policies
sports	sports	sports
sport	sport	sport
parents	sister	sister
parent	mother	mother
men	woman	woman
man	women	women
companies	companies	companies
company	company	company
systems	systems	systems
system	system	system
relations	regards	regards
relation	relationship	relationship
questions	questions	questions
question	question	question
groups	groups	groups
group	group	group
cars	cars	cars
car	car	car
friends	friends	friends
friend	friend	friend
reports	reports	reports
report	report	report
buildings	buildings	buildings
building	building	building
artists	artists	artists
artist	artist	artist
companies	companies	companies
company	company	company
hours	hours	hours
hour	months	months
events	events	events
event	event	event
officials	unofficial	unofficial
official	authorities	authorities
decisions	decisions	decisions
decision	decision	decision
benefits	benefits	benefits
benefit	benefit	benefit
employees	employees	employees
employee	employee	employee
lines	lines	lines
line	line	line
laws	laws	laws
law	law	law
efforts	efforts	efforts
effort	effort	effort
numbers	numbers	numbers
number	number	number
lives	lives	lives
life	life	living
rules	rules	policies
rule	regulations	regulations
products	products	products
product	product	product
residents	residents	residents
resident	inhabitants	population
parents	parents	parents
parent	father	father
weeks	month	month
week	months	months
weapons	weapons	weapons
weapon	weapon	weapon
artists	artists	artists
artist	artist	artist
benefits	benefits	benefits
benefit	benefit	benefit
decisions	decisions	decisions
decision	decision	decision
months	year	year
month	weeks	weeks
talks	interviews	interviews
talk	negotiations	negotiations
weeks	month	month
week	months	months
members	members	members
member	member	member
states	state's	state's
state	united	united
candidates	candidates	candidates
candidate	candidate	candidate
employees	employees	employees
employee	workers	workers
men	woman	woman
man	women	women
authorities	authorities	authorities
authority	officials	officials
decisions	decisions	decisions
decision	decision	decision
weeks	month	month
week	months	months
efforts	efforts	efforts
effort	effort	effort
sports	sports	sports
sport	sport	sport
days	night	night
day	weeks	weeks
experts	experts	experts
expert	scientists	scientists
members	members	members
member	member	member
losses	losses	losses
loss	loss	loss
players	players	players
player	player	player
men	woman	woman
man	man	man
standards	standards	standards
standard	standard	quality
friends	friends	friends
friend	friend	friend
hours	hours	hours
hour	minutes	minutes
terms	terms	terms
term	term	term
results	results	results
result	cladogram	cladogram
sources	sources	sources
source	source	source
businesses	businesses	industry
business	companies	companies
times	intervals	intervals
time	twice	twice
systems	systems	systems
system	system	system
conditions	conditions	conditions
condition	condition	condition
issues	issues	issues
issue	issue	issue
deaths	negotiations	resignation
death	casualties	casualties
friends	acquaintance	acquaintance
friend	friend	friend
cases	cases	cases
case	case	case
members	members	members
member	member	member
games	games	games
game	game	game
services	services	services
service	service	service
schools	schools	schools
school	school	school
games	games	games
game	game	game
operations	operations	operations
operation	operation	operation
parents	owned-and-operated	owned-and-operated
parent	father	father
lines	lines	lines
line	line	line
numbers	numbers	numbers
number	number	number
officials	unofficial	unofficial
official	officer	officer
families	families	families
family	family	family
groups	groups	groups
group	group	group
projects	projects	projects
project	project	project
streets	streets	streets
street	street	street
hours	hours	hours
hour	minutes	minutes
kids	girl	parodies
kid	teenage	teenage
cars	cars	cars
car	car	car
things	things	things
thing	thing	thing
conditions	conditions	conditions
condition	condition	condition
members	members	members
member	member	member
states	state's	state's
state	united	united
sports	sports	sports
sport	sport	sport
problems	problems	problems
problem	problem	problem
times	curacy	curacy
time	twice	twice
plans	plans	plans
plan	plan	plan
sales	purchase	purchase
sale	sale	sale
allegations	allegations	accusations
allegation	allegation	allegation
people	persons	persons
person	christians	christians
miles	kilometer	kilometer
mile	kilometers	km
rules	regime	regime
rule	regulations	regulations
standards	standards	standards
standard	standard	standard
men	woman	woman
man	women	women
things	things	things
thing	thing	thing
people	persons	persons
person	persons	persons
operations	operations	operations
operation	operation	operation
terms	terms	terms
term	addition	addition
states	bicameral	bicameral
state	united	united
businesses	businesses	businesses
business	business	firm
problems	problems	problems
problem	problem	problem
cities	cities	cities
city	towns	towns
officers	officers	officers
officer	officer	officer
owners	owners	owners
owner	owner	owner
services	services	services
service	service	service
dollars	billion	billion
dollar	dollar	dollar
cities	cities	cities
city	towns	towns
players	players	players
player	player	player
men	men	men
man	man	man
products	products	products
product	product	product
changes	changes	changes
change	change	change
reports	reports	reports
report	report	report
men	men	men
man	man	man
questions	questions	questions
question	question	question
workers	workers	workers
worker	worker	worker
losses	losses	losses
loss	loss	loss
laws	laws	laws
law	legislation	legislation
citizens	citizens	citizens
citizen	citizen	citizen
families	families	families
family	family	family
bank's	bank's	bank's
bank	bank	bank
boy's	girl	girl
boy	town	boys
film's	movie	films
film	filming	filming
play's	playing	playing
play	screenplay	screenplay
game's	game's	game's
game	game	game
district's	districts	districts
district	district	district
park's	park's	park's
park	park	park
girl's	boy	boy
girl	girl	girl
firm's	firms	company's
firm	investor	investor
community's	country's	city's
community	country	community
author's	writer	writer
author	corporation	publisher
today's	now	today's
today	modern	modern
summer's	winter	winter
summer	!align="right	!align="right
day's	week	week
day	corporation	evening
station's	stations	station's
station	station	station
agency's	agencies	agencies
agency	agency	agency
judge's	judges	judges
judge	court	court
area's	areas	areas
area	inhabited	inhabited
center's	centre	centre
center	center	center
county's	county's	county's
county	county	county
child's	children	children
child	mother's	cough
region's	regions	regions
region	month	manifestations
couple's	couples	couples
couple	month	years
committee's	committees	committees
committee	committee	committee
book's	novel	novel
book	month	pessimistic
president's	chairman	chairman
president	governor's	governor's
area's	areas	areas
area	area	area
team's	teams	team's
team	team	team
university's	university's	university's
university	university	university
band's	bands	bands
band	band	musically
project's	projects	projects
project	project	project
wife's	daughter	daughter
wife	father's	father's
sheriff's	city's	county's
sheriff	county	county
network's	networks	networks
network	network	network
company's	company's	company's
company	company	company
girl's	boy	woman
girl	woman's	woman's
project's	projects	projects
project	project	u20
play's	plays	plays
play	franco-prussian	comedy
program's	programs	programs
program	2008-2009	2008-2009
father's	son	son
father	mother's	mother's
community's	communities	communities
community	currently	year-round
market's	markets	markets
market	!align="right	!align="right
game's	games	videogame
game	show's	show's
governor's	governors	governors
governor	still	currently
band's	bands	bands
band	group's	group's
show's	shows	shows
show	governments	cbs
community's	communities	communities
community	governments	community
governor's	gov	gov
governor	governors	governors
school's	school's	school's
school	school	school
band's	bands	band's
band	group's	band
person's	persons	persons
person	individual's	individual's
film's	movie	movie
film	show's	show's
play's	plays	plays
play	screenplay	screenplay
program's	programs	programs
program	show's	show's
doctor's	doctors	doctors
doctor	doctor	doctor
hospital's	hospitals	hospitals
hospital	hospital	hospital
region's	regions	regions
region	region	region
everyone's	anyone	anyone
everyone	commune	sadness
town's	town's	town's
town	town	town
government's	government's	government's
government	government	government
court's	court's	court's
court	court	court
everyone's	everyone's	everyone's
everyone	everything	everything
father's	son	uncle
father	wife's	wife's
week's	weeks	weeks
week	week	week
league's	league's	league's
league	league	league
agency's	agency's	agency's
agency	agency	agency
panel's	band's	band's
panel	!align="right	!align="right
wife's	ex-wife	ex-wife
wife	mother	mother
company's	company's	company's
company	company	company
organization's	organization's	organization's
organization	organization	organization
woman's	man	man
woman	womans	womans
weekend's	year's	year's
weekend	!align="right	!align="right
attorney's	lawyer	lawyer
attorney	month	month
party's	party's	party's
party	party	party
union's	union's	union's
union	union	union
today's	nowadays	nowadays
today	modern	present-day
park's	park's	park's
park	park	park
month's	year	year
month	one-month	one-month
show's	shows	shows
show	episode	episode
coroner's	group's	ohio's
coroner	!align="right	!align="right
board's	boards	boards
board	alderman	alderman
nation's	country	country
nation	country's	countrys
artist's	artists	artists
artist	artist	inspiring
union's	unions	unions
union	union	union
band's	bands	bands
band	group's	group's
woman's	man	person
woman	womans	womans
weekend's	evening	show's
weekend	!align="right	!align="right
driver's	drivers	drivers
driver	drivers	drivers
band's	bands	band's
band	concert	concert
jury's	board's	board's
jury	!align="right	!align="right
nation's	country	country
nation	country's	country's
man's	woman	man's
man	man	man
doctor's	doctor's	doctor's
doctor	doctors	doctors
county's	county's	county's
county	county	counties
week's	month	weeks
week	week	week
board's	boards	boards
board	board	board
author's	writer	biographer
author	dpartement	dpartement
evening's	morning	morning
evening	!align="right	!align="right
girl's	boy	boy
girl	girl	girl
world's	americas	americas
world	worlds	worlds
bank's	savings	savings
bank	mayor	mayor
patient's	patients	patients
patient	patient	patient
commission's	commissions	commissions
commission	lieutenant-governor	commissioner
book's	books	books
book	bishop	bishop
band's	bands	bands
band	group's	group's
summer's	winter	winter
summer	!align="right	!align="right
project's	project's	project's
project	project	biafra
patient's	patients	patients
patient	person's	amputation
area's	areas	areas
area	region's	region's
father's	mother	mother
father	mother's	mother's
day's	week	month
day	fun	fun
club's	clubs	club's
club	club	referees
city's	city's	city's
city	city	city
play's	plays	plays
play	comedic	comedic
attorney's	solicitor	solicitor
attorney	attorney	attorney
tonight's	oh	oh
tonight	!align="right	!align="right
victim's	victims	husband's
victim	subfamily	bacterium
wife's	husband	husband
wife	mother	mother
bill's	bills	bills
bill	subfamily	subfamily
game's	games	game's
game	gameplay	gameplay
park's	parks	park's
park	park	philadelphia's
daughter's	son	son
daughter	brother	brother
wife's	daughter	daughter
wife	father	father
center's	centre	center's
center	center	center
jury's	juries	judge's
jury	!align="right	!align="right
tonight's	wanna	wanna
tonight	!align="right	!align="right
court's	courts	courts
court	judge	judge
society's	society's	society's
society	society	society
family's	family's	familys
family	family	serfs
league's	league's	league's
league	league	league
boy's	girl	girl
boy	areas	areas
club's	club's	club's
club	areas	club
group's	groups	groups
group	areas	areas
jury's	juries	game's
jury	!align="right	!align="right
governor's	gov	gov
governor	areas	areas
judge's	judges	judge's
judge	vice-president	presidency
station's	stations	stations
station	vice-president	founder
state's	state's	state's
state	chairman	chairman
baseball's	softball	softball
baseball	chairman	chairman
father's	mother	friend's
father	father	father
association's	association's	association's
association	association	association
woman's	man	man
woman	womans	womans
family's	family's	family's
family	family	family
father's	grandfather	grandfather
father	mother's	fathers
center's	centre	center's
center	center	center
child's	husband's	husband's
child	mother	mother
president's	president's	president's
president	mother	governor
night's	weekend	weekend
night	son	son
weekend's	husband's	president's
weekend	!align="right	!align="right
everyone's	anyone	anyone
everyone	son	everyone
nation's	nations	nations
nation	country's	country's
dollar's	billion	pesos
dollar	!align="right	!align="right
system's	systems	systems
system	system	system
company's	company's	company's
company	company	company
driver's	drivers	rider
driver	drivers	drivers
agency's	agency's	agency's
agency	agency	agency
firm's	firms	firm's
firm	commissions	firm
general's	gen	gen
general	commissions	commissions
administration's	administration's	administration's
administration	committee	committee
week's	month	week's
week	week	week
author's	writer	writer
author	director's	reprinted
judge's	judges	court's
judge	industries	federal
program's	programs	programs
program	industries	binder
group's	groups	groups
group	industries	group
book's	novel	novel
book	author	author
season's	seasons	seasons
season	season	season
master's	masters	masters
master	bachelor's	bachelor's
bank's	bank's	bank's
bank	bank	bank
party's	parties	parties
party	party	group's
school's	schools	schools
school	university's	station's
tonight's	your	your
tonight	!align="right	!align="right
person's	person's	person's
person	person	person
park's	recreation	recreation
park	person	person
show's	shows	shows
show	film's	film's
general's	gen	gen
general	actress	generals
region's	regions	regions
region	city's	immigrant
bill's	bills	bills
bill	oba	oba
school's	schools	school's
school	school	school
county's	county's	county's
county	county	county
union's	union's	union's
union	courts	courts
board's	boards	boards
board	board	board
night's	game's	game's
night	shows	shows
patient's	game's	game's
patient	shows	exhibit
organization's	organizations	organizations
organization	exhibit	exhibit
father's	son	son
father	shows	shows
woman's	person	person
woman	womans	womens
weekend's	game's	game's
weekend	!align="right	!align="right
community's	communities	communities
community	documentary	mountaineering
game's	game's	game's
game	movie	game
administration's	administration's	administration's
administration	movie	administration
association's	association's	association's
association	association	association
daughter's	mother	mother
daughter	son	son
agency's	agency's	agency's
agency	agency	agency
boy's	girl	girl
boy	brother	brother
project's	projects	projects
project	project	project
hospital's	medical	psychiatric
hospital	hospital	hospital
today's	still	still
today	modern	modern
victim's	victim's	victim's
victim	father	father
family's	family's	family's
family	father	father
company's	company's	company's
company	company	company
child's	children	children
child	year	unborn
victim's	victims	victims
victim	year	year
husband's	wife	wife
husband	year	year
bank's	bank's	bank's
bank	year	year
book's	novel	memoir
book	year	film's
industry's	industry's	industry's
industry	centre	centre
person's	woman	persons
person	centre	person
daughter's	son	son
daughter	centre	mother's
weekend's	weekday	weekday
weekend	!align="right	!align="right
governor's	gov	gov
governor	centre	centres
state's	state's	state's
state	state	state
station's	stations	stations
station	station	station
community's	communities	communities
community	seasons	superliga
program's	programs	programs
program	fbs	fbs
government's	government's	government's
government	government	government
country's	nation	nation
country	countrys	countrys
judge's	judge's	judge's
judge	director-general	heuristic
play's	playing	playing
play	theatrical	theatrical
program's	programs	programs
program	show's	inning
baseball's	football	football
baseball	orioles	orioles
person's	persons	persons
person	patient's	patient's
council's	council's	council's
council	council	council
system's	systems	systems
system	system	system
club's	club's	club's
club	club	club
coroner's	state's	state's
coroner	!align="right	!align="right
association's	association's	association's
association	association	association
author's	writer	writer
author	communities	translation
park's	park's	park's
park	park	park
boy's	girl	girl
boy	communities	youth
family's	family's	family's
family	family	family
building's	buildings	two-storey
building	architect	architect
mayor's	mayors	mayors
mayor	mayor	mayor
evening's	morning	night
evening	!align="right	!align="right
government's	government's	government's
government	government	government
school's	schools	school's
school	university's	school
court's	court's	court's
court	court	court
child's	children	sanger
child	woman's	monaco
boy's	girl	girl
boy	boys	boys
county's	county's	county's
county	county	county
governor's	mayor	gov
governor	president's	palace
victim's	victims	victims
victim	chest	chest
region's	regions	regions
region	bands	region
park's	park's	park's
park	park	park
city's	city's	city's
city	city	city
week's	weeks	weeks
week	bands	bands
president's	president-elect	president-elect
president	committees	committees
girl's	boy	boy
girl	boy's	boy's
couple's	couples	couples
couple	committees	stacy
film's	movie	movie
film	movie's	movie's
governor's	gov	gov
governor	governors	governors
mayor's	mayoral	mayoral
mayor	wife	mayor
evening's	morning	morning
evening	!align="right	!align="right
couple's	few	few
couple	wife	wife
center's	centre	centre
center	center	center
band's	bands	band's
band	guitarist	guitarist
mayor's	governor	governor
mayor	programs	programs
region's	regions	regions
region	programme	programme
attorney's	lawyer	prosecutor
attorney	programs	programs
doctor's	show's	show's
doctor	programme	programme
administration's	administration's	organisation's
administration	programs	administration
church's	church's	church's
church	church	church
evening's	morning	morning
evening	!align="right	!align="right
mother's	parents	parents
mother	father's	mother
university's	university's	university's
university	university	university
week's	month	month
week	week	week
author's	writer	writer
author	composer's	composer's
president's	vice-president	vice
president	president	president
judge's	judges	judges
judge	ruling	ruling
community's	communities	communities
community	town's	town's
town's	village	village
town	city's	city's
network's	networks	networks
network	network	network
town's	village	village
town	village's	town
party's	party's	party's
party	party	party
band's	bands	bands
band	album's	jethro
league's	league's	league's
league	league	league
park's	park's	park's
park	park	park
bank's	bank's	bank's
bank	bank	bank
son's	daughter	daughter
son	daughter's	daughter's
doctor's	killer	killer
doctor	doctors	doctors
father's	mother	mother
father	grandfather's	grandfather's
president's	chairman	chairman
president	clubs	council
author's	writer	writer
author	side	side
woman's	man	man
woman	womans	womans
man's	team's	team's
man	girl	girl
family's	family's	family's
family	family	family
author's	writer	writer
author	projects	ongoing
night's	saturday	saturday
night	program	program
boy's	girl	girl
boy	girl's	girl's
play's	playing	playing
play	screenplay	screenplay
father's	grandfather	parents
father	mother's	mother's
building's	buildings	buildings
building	organisation	structure
mayor's	alderman	sheriff
mayor	organisation	council
committee's	committee's	committee's
committee	committee	committee
community's	school's	school's
community	organisation	organisation
driver's	drivers	team's
driver	organisation	organisation
judge's	judges	judges
judge	parish	pinocchio
baseball's	basketball	basketball
baseball	congregational	nhl
game's	game's	game's
game	game	cgi
doctor's	doctor's	doctor's
doctor	monastery	doctor
jury's	juries	juries
jury	!align="right	!align="right
victim's	victim's	victim's
victim	someone	someone
world's	global	global
world	worlds	worlds
play's	playing	playing
play	thing	thing
team's	teams	teams
team	club's	team
jury's	judge's	judge's
jury	!align="right	!align="right
church's	church's	church's
church	daughter	daughter
today's	today's	today's
today	daughter	present-day
daughter's	daughter's	wife's
daughter	daughter	daughter
group's	groups	groups
group	daughter	daughter
governor's	gubernatorial	president's
governor	daughter	daughter
industry's	!align="right	!align="right
industry	markets	markets
council's	!align="right	!align="right
council	markets	markets
couple's	!align="right	!align="right
couple	markets	markets
county's	!align="right	!align="right
county	markets	markets
union's	!align="right	!align="right
union	markets	markets
hospital's	hospitals	hospitals
hospital	architect	architect
couple's	couples	couples
couple	photographer	sociologist
community's	communities	communities
community	photographer	photographer
general's	general's	general's
general	actor	actor
county's	counties	county's
county	county	county
association's	association's	association's
association	association	association
artist's	artists	artists
artist	artists	artists
doctor's	doctor's	doctor's
doctor	miraculous	ark
university's	university's	university's
university	university	university
governor's	gov	gov
governor	governors	capitol
evening's	morning	morning
evening	!align="right	!align="right
show's	shows	shows
show	game's	film's
community's	communities	neighborhood
community	town's	town's
network's	networks	networks
network	network	network
week's	month	month
week	season's	season's
city's	!align="right	!align="right
city	citys	city
bill's	!align="right	!align="right
bill	mcnulty	mcnulty
everyone's	!align="right	!align="right
everyone	everyone	everyone
group's	!align="right	!align="right
group	band's	band's
week's	!align="right	colspan=3|total
week	week	week
hospital's	medical	medical
hospital	founder	founder
family's	families	families
family	family	slave
driver's	drivers	drivers
driver	driver	driver
book's	novel	novel
book	film's	film's
union's	bachelor's	union's
union	union	union
president's	chairman	chairman
president	basketball	softball
society's	societies	societies
society	society	society
station's	stations	stations
station	basketball	station
boy's	girl	girl
boy	softball	softball
county's	counties	county's
county	county	county
building's	!align="right	!align="right
building	tower	tower
agency's	!align="right	!align="right
agency	agency	agency
month's	!align="right	!align="right
month	morning	morning
world's	!align="right	!align="right
world	worlds	worlds
jury's	!align="right	!align="right
jury	gonna	gonna
year's	!align="right	!align="right
year	panels	panels
victim's	!align="right	!align="right
victim	panels	panels
society's	!align="right	!align="right
society	society	society
family's	!align="right	!align="right
family	panels	panels
game's	!align="right	!align="right
game	panels	panels
country's	country's	country's
country	nation's	nation's
day's	month	month
day	societies	reservation
government's	government's	government's
government	government	government
doctor's	honoris	doctor's
doctor	societies	societies
governor's	governors	gov
governor	legislature	legislature
author's	writer	writer
author	girl	girl
dollar's	billion	billion
dollar	!align="right	!align="right
mother's	grandmother	grandmother
mother	girl	girl
woman's	women	women
woman	girl	girl
center's	centre	centre
center	center	center
nation's	country	countries
nation	daughter	daughter
husband's	mother's	sister's
husband	husband	husband
artist's	artists	artists
artist	daughter	daughter
play's	plays	plays
play	daughter	daughter
game's	games	games
game	show's	show's
person's	persons	persons
person	patient's	patient's
world's	world's	world's
world	worlds	worlds
driver's	drivers	drivers
driver	car	car
jury's	judge's	judge's
jury	!align="right	!align="right
administration's	administration's	administration's
administration	administration	administration
bank's	bank's	bank's
bank	bank	bank
everyone's	anyone	anyone
everyone	everyone	everyone
area's	areas	areas
area	few	few
family's	family's	family's
family	family	family
team's	teams	teams
team	club's	team
dollar's	city's	argentina's
dollar	!align="right	!align="right
weekend's	weekends	weekends
weekend	!align="right	!align="right
program's	programme	programme
program	village	village
school's	school's	school's
school	school	school
jury's	board's	board's
jury	!align="right	!align="right
husband's	wife	father
husband	mother's	mother's
wife's	daughter	daughter
wife	mother's	mother
network's	networks	networks
network	network	owned-and-operated
doctor's	show's	show's
doctor	master's	master's
team's	team's	team's
team	team	team
night's	nighttime	nighttime
night	games	match
baseball's	softball	softball
baseball	games	baseball
company's	companies	company's
company	company	company
book's	novel	book's
book	games	games
governor's	gov	gov
governor	games	governors
child's	!align="right	!align="right
child	juries	juries
building's	!align="right	!align="right
building	juries	jurors
bank's	!align="right	!align="right
bank	bank	bank
man's	!align="right	!align="right
man	man	man
life's	!align="right	!align="right
life	life	life
master's	masters	masters
master	bachelor's	bachelor's
project's	projects	projects
project	lives	development
boy's	girl	girl
boy	girl's	girl's
attorney's	congressman	congressman
attorney	attorney	prosecutor
area's	areas	areas
area	city's	idyllic
council's	council's	council's
council	council	council
artist's	musician	musician
artist	artists	artists
doctor's	honoris	honoris
doctor	doctor	doctor
governor's	gov	gov
governor	federation	governors
book's	novel	novel
book	film's	film's
today's	now	now
today	modern	modern
system's	systems	systems
system	system	system
council's	council's	council's
council	council	council
state's	state's	state's
state	nation's	nation's
son's	nephew	nephew
son	memoir	memoir
museum's	museum's	museum's
museum	museum	museum
child's	infant	infant
child	stations	depot
family's	family's	family's
family	family	family
band's	bands	bands
band	stations	stations
book's	books	books
book	depot	depot
council's	council's	council's
council	council	council
man's	woman	woman
man	man	man
everyone's	anyone	anyone
everyone	everything	everything
world's	sino-japanese	sino-japanese
world	worlds	worlds
market's	markets	markets
market	!align="right	!align="right
state's	!align="right	!align="right
state	winter	winter
month's	!align="right	!align="right
month	winter	winter
department's	!align="right	!align="right
department	winter	winter
family's	!align="right	!align="right
family	winter	winter
patient's	!align="right	!align="right
patient	winter	winter
husband's	father	father
husband	her	widow
night's	evening	evening
night	night	night
club's	clubs	clubs
club	team's	team's
judge's	court	court
judge	judge	judge
town's	village	city
town	city's	village's
tonight's	your	your
tonight	!align="right	colspan=3|total
board's	boards	boards
board	department's	department's
dollar's	billion	billion
dollar	!align="right	colspan=3|total
summer's	winter	winter
summer	!align="right	colspan=3|total
party's	party's	party's
party	party	party
hospital's	hospital's	hospital's
hospital	systems	hospital
husband's	wife	wife
husband	father's	father's
woman's	person	person
woman	systems	systems
state's	state's	state's
state	systems	state
show's	shows	shows
show	systems	episode
mayor's	governor	governor
mayor	anyone	anyone
agency's	agencies	agency's
agency	agency	agency
show's	shows	shows
show	episode	episode
station's	stations	stations
station	station	station
area's	areas	areas
area	city's	citys
building's	buildings	buildings
building	son	tower
life's	son's	son's
life	son	son
company's	companies	companies
company	son	company
union's	union's	union's
union	son	granddaughter
school's	schools	schools
school	son	school
church's	church's	church's
church	church	church
author's	writer	writer
author	artist's	networking
night's	saturday	saturday
night	networks	system
driver's	drivers	drivers
driver	networks	server
jury's	tournament's	tournament's
jury	!align="right	!align="right
district's	districts	district's
district	writer	co-founder
summer's	winter	winter
summer	!align="right	!align="right
state's	state's	state's
state	writer	state
son's	brother	brother
son	writer	writer
everyone's	anyone	everybody
everyone	writer	journalist
country's	nation	playgrounds
country	nation's	nation's
board's	boards	boards
board	boy	tramways
industry's	industries	industries
industry	industry	industry
mother's	father	father
mother	woman	mother
commission's	committee	committee
commission	boy	commission
nation's	country	country
nation	country's	country's
couple's	few	few
couple	gerald	gerald
project's	projects	projects
project	project	project
patient's	patients	hallucinations
patient	pancreas	pancreas
family's	family's	family's
family	family	family
district's	!align="right	!align="right
district	day	sunday
nation's	!align="right	!align="right
nation	country's	country's
station's	!align="right	!align="right
station	morning	morning
club's	!align="right	!align="right
club	sunday	sunday
son's	!align="right	!align="right
son	father's	father's
tonight's	bowie's	bowie's
tonight	!align="right	!align="right
country's	countries	countries
country	nation's	nation's
community's	communities	communities
community	town's	town's
father's	mother	parents
father	father	father
administration's	administration's	administration's
administration	minister	minister
mayor's	governor	governor
mayor	playing	playing
girl's	boy	boy
girl	played	played
community's	communities	communities
community	played	compete
department's	departments	departments
department	compete	compete
family's	family's	family's
family	family	family
boy's	!align="right	!align="right
boy	morning	morning
film's	!align="right	!align="right
film	morning	morning
wife's	!align="right	!align="right
wife	morning	morning
family's	!align="right	!align="right
family	morning	morning
program's	!align="right	!align="right
program	morning	morning
region's	!align="right	!align="right
region	country's	country's
month's	!align="right	!align="right
month	month	month
bank's	!align="right	!align="right
bank	currency	currency
play's	!align="right	!align="right
play	pound	pound
union's	!align="right	!align="right
union	union	currency
returned	returned	returned
return	returning	returning
returns	returned	returns
return	return	return
returned	returned	returned
returns	returning	returning
determined	determines	determines
determine	determine	determine
determines	determines	defines
determine	determine	determine
determined	determine	determine
determines	calculated	calculated
ensured	ensuring	oversaw
ensure	ensure	ensure
ensures	requires	requires
ensure	ensure	ensure
ensured	ensure	ensure
ensures	guarantee	guarantee
decided	decided	chose
decide	decide	decide
decides	decided	chose
decide	decide	decide
decided	decided	decided
decides	agreed	agreed
ended	ends	ends
end	ending	intensify
ends	ends	ends
end	ended	forgiven
ended	ended	ended
ends	ending	ending
supported	supported	supported
support	support	support
supports	supports	supports
support	support	support
supported	supported	supported
supports	supports	supports
raised	raised	raised
raise	raise	raise
raises	raises	raises
raise	raise	raise
raised	raised	raised
raises	raises	raises
opened	enclosed	enclosed
open	reopened	reopened
opens	opens	opens
open	create	create
opened	opened	opened
opens	opens	opens
continued	continued	continued
continue	continue	continue
continues	continues	continues
continue	continue	continue
continued	continued	continued
continues	continues	continues
studied	studies	studies
study	studying	teach
studies	studies	studies
study	study	study
studied	study	study
studies	studying	identifies
proved	proved	proved
prove	prove	prove
proves	proves	proves
prove	prove	prove
proved	proved	proved
proves	proven	proven
helped	helps	helps
help	helping	help
helps	helps	helps
help	help	help
helped	helped	help
helps	helping	helping
called	calls	calls
call	titled	titled
calls	calls	calls
call	call	call
called	call	call
calls	named	titled
considered	considers	considers
consider	regarded	regarded
considers	considers	considers
consider	consider	consider
considered	consider	consider
considers	regarded	regarded
asked	asked	asked
ask	invited	invited
asks	asks	asks
ask	ask	ask
asked	asked	asked
asks	invited	invited
provided	provides	provides
provide	provide	provide
provides	provides	provides
provide	provide	provide
provided	provide	provide
provides	provides	provides
eliminated	eliminating	eliminating
eliminate	eliminate	eliminate
eliminates	eliminates	eliminates
eliminate	eliminate	eliminate
eliminated	prevents	consisted
eliminates	ignores	ignores
thought	said	said
think	believed	believed
thinks	thinks	thinks
