rougher	denser	denser
deaths	arrival	arrival
death	fatalities	fatalities
miles	miles	kilometres
mile	kilometers	kilometers
cities	town	town
city	towns	neighbourhoods
points	points	points
point	point	point
students	students	students
student	pupils	pupils
parties	parties	parties
party	party	party
weapons	weapons	weapons
weapon	weapon	weapon
artists	artists	artists
artist	artist	artist
jobs	jobs	jobs
job	job	job
benefits	benefits	benefits
benefit	benefit	benefit
investors	investment	executive
investor	firm	firm
games	games	games
game	game	game
cities	cities	cities
city	towns	towns
buildings	buildings	buildings
building	building	building
concerns	concerns	concerns
concern	dispute	dispute
years	month	month
year	months	months
reasons	reasons	reasons
reason	reason	reason
sports	sports	sports
sport	sport	sport
leaders	leaders	leaders
leader	leader	leader
concerns	concerns	concerns
concern	concern	concern
deaths	deaths	deaths
death	death	death
men	woman	woman
man	women	women
kids	rob	rob
kid	fun	fun
decisions	decisions	decisions
decision	decision	decision
families	families	families
family	family	family
rights	rights	rights
right	liberties	amendment
patients	patients	patients
patient	patient	patient
operations	operations	operations
operation	operation	operation
products	products	products
product	product	product
students	students	students
student	pupils	pupils
lines	lines	lines
line	line	line
schools	schools	schools
school	school	school
losses	losses	losses
loss	loss	loss
days	month	month
day	weeks	weeks
cars	cars	cars
car	car	car
children	baby	baby
child	daughters	daughters
drugs	drugs	drugs
drug	drug	drug
patients	patients	patients
patient	patient	patient
men	woman	woman
man	soldiers	soldiers
teachers	teachers	math
teacher	students	teacher
problems	problems	problems
problem	problem	problem
countries	countries	countries
country	nations	nations
women	women	women
woman	woman	woman
artists	artists	artists
artist	artist	artist
benefits	benefits	benefits
benefit	benefit	benefit
streets	avenue	avenue
street	street	street
systems	systems	systems
system	system	system
sales	purchase	purchase
sale	marketing	gross
cases	cases	cases
case	case	case
charges	charges	charges
charge	charge	charge
people	woman	woman
person	persons	persons
friends	friends	friends
friend	friend	friend
weapons	weapons	weapons
weapon	weapon	weapon
citizens	citizens	citizens
citizen	citizen	citizen
teachers	teachers	teachers
teacher	students	students
rates	rates	rates
rate	rate	rate
days	week	hour
day	weeks	weeks
kids	armenians	monitors
kid	jocelyn	jocelyn
cars	cars	cars
car	car	car
owners	owners	owners
owner	owner	owner
laws	laws	laws
law	policies	policies
sports	sports	sports
sport	sport	sport
parents	sister	sister
parent	father	father
men	woman	woman
man	women	man
companies	companies	companies
company	company	company
systems	systems	systems
system	system	system
relations	regards	regards
relation	relationship	relationship
questions	questions	questions
question	question	question
groups	groups	groups
group	group	group
cars	cars	cars
car	car	car
friends	friends	friends
friend	friend	friend
reports	reports	reports
report	report	report
buildings	buildings	buildings
building	structures	structures
artists	artists	artists
artist	artist	artist
companies	companies	companies
company	company	company
hours	minutes	minutes
hour	months	months
events	events	events
event	event	event
officials	unofficial	unofficial
official	authorities	authorities
decisions	decisions	decisions
decision	decision	considerations
benefits	benefits	benefits
benefit	benefit	benefit
employees	employees	employees
employee	employee	employee
lines	lines	lines
line	line	line
laws	laws	laws
law	law	law
efforts	efforts	efforts
effort	effort	effort
numbers	numbers	numbers
number	number	number
lives	lives	lives
life	living	living
rules	ruled	ruled
rule	regulations	regulations
products	products	products
product	product	product
residents	settlers	settlers
resident	citizens	citizens
parents	parents	parents
parent	father	father
weeks	month	weeks
week	months	months
weapons	weapons	weapons
weapon	weapon	weapon
artists	artists	artists
artist	artist	artist
benefits	benefits	benefits
benefit	benefit	benefit
decisions	decisions	decisions
decision	decision	decision
months	year	year
month	weeks	weeks
talks	interviews	interviews
talk	negotiations	negotiations
weeks	month	month
week	months	months
members	members	members
member	member	member
states	state's	state's
state	united	united
candidates	candidates	candidates
candidate	candidate	candidate
employees	employees	employees
employee	workers	workers
men	woman	person
man	women	women
authorities	authorities	authorities
authority	officials	officials
decisions	decisions	decisions
decision	decision	decision
weeks	month	weeks
week	months	months
efforts	efforts	efforts
effort	effort	effort
sports	sports	sports
sport	sport	sport
days	night	night
day	weeks	weeks
experts	experts	experts
expert	researchers	researchers
members	members	members
member	member	member
losses	losses	losses
loss	loss	loss
players	players	players
player	player	player
men	woman	woman
man	man	man
standards	standards	standards
standard	principles	principles
friends	friends	friends
friend	friend	friend
hours	minutes	minutes
hour	minutes	minutes
terms	terms	terms
term	term	term
results	results	results
result	result	result
sources	sources	sources
source	source	source
businesses	businesses	businesses
business	firms	sector
times	annoyed	wavelengths
time	twice	twice
systems	systems	systems
system	system	system
conditions	conditions	conditions
condition	condition	condition
issues	issues	issues
issue	issue	issue
deaths	negotiations	imprisonment
death	fatalities	fatalities
friends	acquaintance	acquaintance
friend	friend	friend
cases	cases	cases
case	instances	instances
members	members	members
member	member	member
games	games	games
game	game	game
services	services	services
service	service	service
schools	schools	schools
school	school	school
games	games	games
game	game	game
operations	operations	operations
operation	operation	operation
parents	sister	sister
parent	father	father
lines	lines	lines
line	line	line
numbers	numbers	numbers
number	number	number
officials	unofficial	unofficial
official	administrator	administrator
families	families	families
family	pyrams	jonubi
groups	groups	groups
group	group	group
projects	projects	projects
project	project	project
streets	streets	streets
street	street	street
hours	hours	hours
hour	minutes	minutes
kids	girl	girl
kid	teen	teen
cars	cars	cars
car	car	car
things	things	things
thing	thing	thing
conditions	conditions	conditions
condition	condition	condition
members	members	members
member	member	member
states	state's	state's
state	united	united
sports	sports	sports
sport	sport	sport
problems	problems	problems
problem	problem	problem
times	period	decade
time	twice	twice
plans	plans	plans
plan	plan	plan
sales	purchase	purchase
sale	retail	retail
allegations	allegations	allegations
allegation	accusations	abuse
people	persons	persons
person	persons	persons
miles	kilometre	kilometre
mile	kilometers	kilometers
rules	regime	regime
rule	regulations	regulations
standards	standards	standards
standard	standard	standard
men	woman	woman
man	women	women
things	things	things
thing	thing	thing
people	persons	persons
person	persons	persons
operations	operations	operations
operation	operation	operation
terms	terms	terms
term	term	term
states	state's	state's
state	united	united
businesses	businesses	businesses
business	firms	firms
problems	problems	problems
problem	problem	problem
cities	cities	cities
city	towns	towns
officers	officers	officers
officer	officer	officer
owners	owners	owners
owner	owner	owner
services	services	services
service	service	service
dollars	million	million
dollar	pesos	pesos
cities	town	cities
city	towns	towns
players	players	players
player	player	player
men	men	men
man	man	man
products	products	products
product	product	product
changes	changes	changes
change	change	change
reports	reports	reports
report	report	report
men	men	men
man	man	man
questions	questions	questions
question	question	question
workers	workers	workers
worker	worker	worker
losses	losses	losses
loss	loss	loss
laws	laws	laws
law	law	law
citizens	citizens	citizens
citizen	citizen	citizen
families	families	families
family	family	family
bank's	bank's	bank's
bank	bank	bank
boy's	girl	girl
boy	town	everybody
film's	films	films
film	movie	movie
play's	playing	playing
play	town	town
game's	game's	game's
game	game	game
district's	districts	districts
district	district	district
park's	park's	park's
park	park	park
girl's	boy	america's
girl	girl	girl
firm's	firms	llp
firm	investor	investor
community's	city's	city's
community	community	community
author's	writer	writer
author	firm	firm
today's	now	today's
today	companies	modern
summer's	winter	winter
summer	!align="right	!align="right
day's	week	week
day	co	contractor
station's	station's	station's
station	station	station
agency's	agencies	agencies
agency	agency	agency
judge's	attorney	attorney
judge	court	court
area's	areas	areas
area	interstate	interstate
center's	centre	centre
center	center	center
county's	county's	county's
county	county	county
child's	baby	baby
child	childs	childs
region's	regions	regions
region	country's	country's
couple's	couples	couples
couple	month	marriage
committee's	committee's	committee's
committee	committee	committee
book's	books	books
book	film's	film's
president's	chairman	chairman
president	governor's	governor's
area's	areas	areas
area	caddo	ozark
team's	teams	team's
team	team	team
university's	university's	university's
university	university	university
band's	bands	bands
band	band	band
project's	nation's	initiative
project	project	project
wife's	daughter	daughter
wife	mother's	mother's
sheriff's	city's	county's
sheriff	county	county
network's	networks	network's
network	network	network
company's	company's	company's
company	company	company
girl's	boy	boy
girl	woman's	woman's
project's	projects	projects
project	project	epa
play's	plays	plays
play	comedy	comedy
program's	programs	programs
program	199091	199091
father's	son	son
father	husband's	husband's
community's	communities	communities
community	synagogues	synagogues
market's	markets	markets
market	!align="right	!align="right
game's	games	games
game	show's	show's
governor's	governors	governors
governor	nowadays	presiding
band's	bands	bands
band	group's	group's
show's	shows	shows
show	film's	seinfeld
community's	communities	communities
community	community	community
governor's	gov	gov
governor	governor	governors
school's	school's	school's
school	school	school
band's	bands	band's
band	group's	band
person's	persons	persons
person	person	person
film's	movie	movie
film	show's	show's
play's	playing	playing
play	playwright	playwright
program's	programs	programs
program	show's	show's
doctor's	honoris	occupational
doctor	doctor	doctor
hospital's	hospital's	hospital's
hospital	hospital	hospital
region's	regions	regions
region	region	region
everyone's	anyone	anyone
everyone	mankind	mankind
town's	town's	town's
town	town	town
government's	government's	government's
government	government	government
court's	court's	court's
court	court	court
everyone's	anyone	everyone's
everyone	teams	herself
father's	grandfather	uncle
father	grandfather's	grandfather's
week's	month	week's
week	teams	week
league's	club's	league's
league	teams	league
agency's	agency's	agency's
agency	agency	agency
panel's	band's	band's
panel	!align="right	!align="right
wife's	band's	band's
wife	mother	mother
company's	company's	company's
company	company	company
organization's	band's	organization's
organization	organization	organization
woman's	girl	girl
woman	womans	womans
weekend's	prime-time	prime-time
weekend	!align="right	!align="right
attorney's	judge	judge
attorney	attorney	attorney
party's	party's	party's
party	party	party
union's	union's	union's
union	union	union
today's	now	station's
today	present-day	present-day
park's	park's	park's
park	park	park
month's	year	year
month	one-month	month
show's	shows	shows
show	episode	episode
coroner's	group's	group's
coroner	!align="right	!align="right
board's	boards	boards
board	alderman	alderman
nation's	country	country
nation	country's	country's
artist's	artists	artists
artist	artists	artists
union's	unions	union's
union	union	union
band's	bands	bands
band	group's	duo's
woman's	man	girl
woman	womans	womans
weekend's	saturday	saturday
weekend	!align="right	!align="right
driver's	drivers	drivers
driver	driver	driver
band's	bands	bands
band	band	band
jury's	board's	board's
jury	!align="right	!align="right
nation's	country	country
nation	country's	country's
man's	men	man's
man	man	man
doctor's	doctor's	doctor's
doctor	entity	entity
county's	county's	county's
county	counties	counties
week's	month	days
week	week	week
board's	boards	boards
board	board	board
author's	writer	writer
author	dpartement	dpartement
evening's	morning	morning
evening	!align="right	!align="right
girl's	boy	betty
girl	girl	girl
world's	world's	world's
world	worlds	worlds
bank's	banking	banking
bank	lieutenant-governor	lieutenant-governor
patient's	patients	patients
patient	physician	physician
commission's	commissions	commissions
commission	lieutenant-governor	commissioner
book's	books	books
book	bishop	bishop
band's	bands	bands
band	group's	group's
summer's	winter	winter
summer	!align="right	!align="right
project's	projects	project's
project	project	project
patient's	patients	patient's
patient	patients	patients
area's	areas	areas
area	region's	region's
father's	mother	mother
father	mother's	grandmother's
day's	month	month
day	boards	fun
club's	clubs	club's
club	club	club
city's	city's	city's
city	citys	city
play's	plays	plays
play	director	director
attorney's	counsel	counsel
attorney	boards	attorney
tonight's	bbc's	bbc's
tonight	!align="right	!align="right
victim's	victims	defendant's
victim	superfamily	superfamily
wife's	girlfriend	girlfriend
wife	mother	mother
bill's	bills	bills
bill	superfamily	superfamily
game's	games	game's
game	film's	superfamily
park's	park's	park's
park	park	park
daughter's	son	daughters
daughter	son	son
wife's	mother	mother
wife	brother	brother
center's	centre	centre
center	center	center
jury's	judge's	judge's
jury	!align="right	!align="right
tonight's	yours	yours
tonight	!align="right	!align="right
court's	courts	court's
court	attorney	attorney
society's	societies	societies
society	society	society
family's	family's	family's
family	father	father
league's	league's	league's
league	nfl's	nfl's
boy's	girl	girl
boy	areas	boys
club's	clubs	club's
club	team's	club
group's	groups	groups
group	areas	group
jury's	juries	juries
jury	!align="right	!align="right
governor's	gov	gov
governor	areas	areas
judge's	judges	judges
judge	chairman	chairman
station's	stations	stations
station	chairman	chairman
state's	state's	state's
state	chairman	governor
baseball's	soccer	soccer
baseball	chairman	chairman
father's	mother	mother
father	father	father
association's	association's	association's
association	association	association
woman's	man	man
woman	womans	womans
family's	family's	family's
family	family	family
father's	grandfather	grandfather
father	fathers	fathers
center's	center's	center's
center	center	center
child's	husband's	husband's
child	mother	mother
president's	president's	president's
president	president	president
night's	weekend	weekend
night	grandfather	grandfather
weekend's	husband's	weekends
weekend	!align="right	!align="right
everyone's	anyone	your
everyone	mother	everyone
nation's	nations	nations
nation	country's	country's
dollar's	penny	penny
dollar	!align="right	!align="right
system's	systems	systems
system	system	system
company's	company's	company's
company	company	company
driver's	drivers	drivers
driver	company	flat
agency's	agency's	agency's
agency	agency	agency
firm's	firms	firms
firm	committee	equity
general's	gen	order's
general	commissions	tribunal
administration's	administration's	administration's
administration	administration	administration
week's	week's	week's
week	week	week
author's	writer	writer
author	industries	informative
judge's	judges	judges
judge	court	senate
program's	programs	programs
program	industries	program
group's	groups	groups
group	industries	industries
book's	novel	novel
book	author	author
season's	seasons	seasons
season	season	season
master's	masters	masters
master	bachelor's	bachelor's
bank's	bank's	bank's
bank	banks	banks
party's	parties	parties
party	party	party
school's	schools	schools
school	university's	university's
tonight's	yours	o'clock
tonight	!align="right	colspan=3|total
person's	person's	person's
person	person	person
park's	parks	parks
park	person	person
show's	shows	shows
show	film's	film's
general's	gen	gen
general	person	gifted
region's	regions	regions
region	city's	city's
bill's	bills	bills
bill	sanjay	sanjay
school's	school's	school's
school	school	school
county's	county's	county's
county	county	county
union's	union's	union's
union	courts	courts
board's	boards	boards
board	shows	board
night's	game's	game's
night	shows	shows
patient's	patients	patients
patient	shows	person's
organization's	organizations	organizations
organization	shows	exhibit
father's	mother	mother
father	shows	son's
woman's	person	person
woman	womans	woman
weekend's	saturday	saturday
weekend	!align="right	!align="right
community's	communities	communities
community	documentary	documentary
game's	game's	game's
game	movie	game
administration's	administration's	administration's
administration	films	initiative
association's	association's	association's
association	association	association
daughter's	son	son
daughter	daughter	daughter
agency's	agencies	agency's
agency	agency	part-time
boy's	girl	girl
boy	infant	infant
project's	projects	projects
project	project	project
hospital's	hospitals	medical
hospital	hospital	hospital
today's	nowadays	nowadays
today	father	modern
victim's	victims	person's
victim	father	grandmother
family's	family's	family's
family	father	father
company's	company's	company's
company	company	company
child's	children	children
child	year	cervical
victim's	victims	victims
victim	year	year
husband's	wife	boyfriend
husband	year	father's
bank's	bank's	bank's
bank	year	year
book's	books	books
book	film's	film's
industry's	industries	industry's
industry	centre	centre
person's	persons	persons
person	centre	person
daughter's	son	son
daughter	centre	centre
weekend's	weekday	weekday
weekend	!align="right	!align="right
governor's	gov	gov
governor	centre	centre
state's	state's	state's
state	state	state
station's	stations	stations
station	station	station
community's	communities	communities
community	seasons	town's
program's	programs	programs
program	seasons	postseason
government's	governments	governments
government	government	government
country's	nation	outback
country	nation's	nation's
judge's	judges	judge's
judge	heuristic	positional
play's	playing	playing
play	film's	film's
program's	programs	programs
program	relaxed	relaxed
baseball's	basketball	hockey
baseball	phillies	phillies
person's	persons	persons
person	person	person
council's	council's	council's
council	council	council
system's	systems	systems
system	system	system
club's	clubs	club's
club	club	club
coroner's	state's	state's
coroner	!align="right	!align="right
association's	association's	association's
association	association	association
author's	writer	essayist
author	informative	informative
park's	park's	park's
park	park	park
boy's	girl	girl
boy	communities	youth
family's	family's	family's
family	communities	family
building's	buildings	two-storey
building	architect	architect
mayor's	mayors	mayors
mayor	commissioner	commissioner
evening's	morning	morning
evening	!align="right	!align="right
government's	government's	government's
government	government	government
school's	schools	school's
school	school	school
court's	courts	court's
court	court	court
child's	children	newborn
child	afterlife	afterlife
boy's	girl	girl
boy	boys	boys
county's	county's	county's
county	county	county
governor's	mayor	mayor
governor	srie	srie
victim's	group's	group's
victim	bitten	bitten
region's	regions	regions
region	bands	region
park's	park's	park's
park	park	park
city's	city's	city's
city	city	city
week's	weeks	weeks
week	bands	3000
president's	presidents	president-elect
president	committees	committees
girl's	boy	boy
girl	girls	girls
couple's	couples	couples
couple	committees	sorority
film's	movie	movie
film	movie's	movie's
governor's	gov	gov
governor	governors	governors
mayor's	president's	president's
mayor	wife	wife
evening's	morning	morning
evening	!align="right	!align="right
couple's	few	few
couple	wife	wife
center's	centre	centre
center	center	center
band's	bands	bands
band	guitarist	guitarist
mayor's	governor	archbishop
mayor	programs	programs
region's	regions	regions
region	programs	programs
attorney's	lawyer	mayor
attorney	programs	programs
doctor's	show's	lex
doctor	programs	programs
administration's	organisation's	organisation's
administration	programs	administration
church's	church's	church's
church	church	church
evening's	morning	morning
evening	!align="right	!align="right
mother's	wife	wife
mother	father's	mother
university's	university's	university's
university	university	university
week's	month	month
week	week	week
author's	writer	writer
author	composer's	verse
president's	vice-president	presidents
president	president	president
judge's	judges	judges
judge	court	assembly
community's	communities	communities
community	town's	town's
town's	village	village
town	city's	city's
network's	networks	networks
network	network	network
town's	village	town's
town	town	town
party's	party's	party's
party	party	party
band's	bands	band's
band	album's	albums
league's	league's	league's
league	league	league
park's	park's	park's
park	park	park
bank's	bank's	bank's
bank	banking	banking
son's	daughter	daughter
son	father's	daughter's
doctor's	daleks	charlie's
doctor	doctor	doctor
father's	mother	son
father	mother's	mother's
president's	chairman	chairman
president	clubs	council
author's	writer	writer
author	side	side
woman's	man	man
woman	womans	womans
man's	woman	man's
man	man	man
family's	family's	family's
family	family	family
author's	writer	writer
author	programme	programme
night's	evening	evening
night	program	programme
boy's	girl	girl
boy	girl's	girl's
play's	playing	playing
play	program	fosse
father's	grandfather	grandfather
father	mother's	mother's
building's	buildings	buildings
building	organisation	organisation
mayor's	governor	city's
mayor	organisation	organisation
committee's	committee's	committee's
committee	organisation	committee
community's	communities	community's
community	organisation	organisation
driver's	drivers	drivers
driver	organisation	organisation
judge's	judges	judges
judge	parish	priory
baseball's	basketball	basketball
baseball	baseball	baseball
game's	games	game's
game	gameplay	characters
doctor's	doctor's	doctor's
doctor	doctor	doctor
jury's	prosecutors	committee's
jury	!align="right	!align="right
victim's	patient's	patient's
victim	husband	husband
world's	european	european
world	worlds	worlds
play's	playing	playing
play	antagonist	nonfiction
team's	teams	teams
team	club's	club's
jury's	judge's	judge's
jury	!align="right	!align="right
church's	churchs	churchs
church	daughter	church
today's	today's	today's
today	daughter	present-day
daughter's	father's	father's
daughter	daughter	daughter
group's	groups	groups
group	daughter	daughter
governor's	governors	president's
governor	daughter	governor
industry's	!align="right	!align="right
industry	markets	markets
council's	!align="right	!align="right
council	markets	markets
couple's	!align="right	!align="right
couple	markets	markets
county's	!align="right	!align="right
county	markets	markets
union's	!align="right	!align="right
union	markets	markets
hospital's	hospitals	hospitals
hospital	architect	architect
couple's	couple's	couple's
couple	singer	singer
community's	communities	communities
community	photographer	photographer
general's	general's	general's
general	songwriter	historian
county's	county's	county's
county	county	county
association's	association's	association's
association	association	association
artist's	artists	artists
artist	postcards	postcards
doctor's	doctor's	doctor's
doctor	doctor	zombie
university's	university's	university's
university	university	university
governor's	lieutenant-governor	lieutenant-governor
governor	governors	governors
evening's	morning	morning
evening	!align="right	!align="right
show's	shows	shows
show	film's	film's
community's	communities	communities
community	town's	town's
network's	networks	networks
network	network	network
week's	weeks	weeks
week	housemate	cycle
city's	!align="right	!align="right
city	town's	town's
bill's	!align="right	!align="right
bill	police	police
everyone's	!align="right	!align="right
everyone	everyone	everyone
group's	!align="right	groups
group	band's	band's
week's	!align="right	colspan=3|total
week	week	week
hospital's	medical	medical
hospital	chairman	chairman
family's	families	families
family	familys	familys
driver's	drivers	drivers
driver	driver	driver
book's	books	books
book	film's	film's
union's	unions	unions
union	union	union
president's	chairman	chairman
president	basketball	softball
society's	societies	societies
society	society	society
station's	stations	stations
station	basketball	station
boy's	girl	girl
boy	soccer	softball
county's	county's	county's
county	soccer	counties
building's	!align="right	!align="right
building	tower	tower
agency's	!align="right	!align="right
agency	agency	bbc's
month's	!align="right	!align="right
month	morning	morning
world's	!align="right	colspan=3|total
world	worlds	worlds
jury's	!align="right	!align="right
jury	me	me
year's	!align="right	!align="right
year	panels	carnival
victim's	!align="right	!align="right
victim	panels	panels
society's	!align="right	!align="right
society	society	society
family's	!align="right	!align="right
family	panels	panels
game's	!align="right	!align="right
game	panels	panels
country's	country's	country's
country	nation's	nation's
day's	month	month
day	calcareous	calcareous
government's	government's	government's
government	government	government
doctor's	doctor's	doctor's
doctor	doctor	doctor
governor's	gov	gov
governor	governor	legislature
author's	writer	novelist
author	girl	girl
dollar's	million	dollars
dollar	!align="right	!align="right
mother's	parents	parents
mother	girl	girl
woman's	women	woman's
woman	girl	girl
center's	centre	centre
center	center	center
nation's	country	individual's
nation	daughter	daughter
husband's	husband's	husband's
husband	husband	husband
artist's	artists	artists
artist	daughter	daughter
play's	plays	plays
play	daughter	jane
game's	games	games
game	show's	show's
person's	persons	persons
person	person	person
world's	world's	world's
world	worlds	worlds
driver's	drivers	drivers
driver	medical	medical
jury's	shortlist	shortlist
jury	!align="right	!align="right
administration's	administration's	administration's
administration	administration	administration
bank's	bank's	bank's
bank	bank	bank
everyone's	anyone	anyone
everyone	always	always
area's	areas	areas
area	few	few
family's	family's	family's
family	family	family
team's	teams	teams
team	club's	coach
dollar's	city's	argentina's
dollar	!align="right	!align="right
weekend's	saturday	weekends
weekend	!align="right	!align="right
program's	programs	programme
program	census-designated	census-designated
school's	schools	school's
school	school	school
jury's	city's	board's
jury	!align="right	!align="right
husband's	wife	wife
husband	father's	husband
wife's	daughter	daughter
wife	mother's	mother
network's	networks	networks
network	network	network
doctor's	show's	show's
doctor	doctor	doctor
team's	team's	team's
team	team	team
night's	evening	alex's
night	match	match
baseball's	soccer	soccer
baseball	games	games
company's	companies	companies
company	company	company
book's	book's	book's
book	games	games
governor's	gov	gov
governor	games	governors
child's	!align="right	!align="right
child	woman's	children's
building's	!align="right	!align="right
building	courtroom	courtroom
bank's	!align="right	!align="right
bank	bank	bank
man's	!align="right	!align="right
man	man	man
life's	!align="right	!align="right
life	life	life
master's	masters	masters
master	bachelor's	bachelor's
project's	projects	projects
project	project	project
boy's	girl	boys
boy	girl's	xi
attorney's	attorneys	attorneys
attorney	attorney	attorney
area's	areas	areas
area	region's	region's
council's	council's	council's
council	council	council
artist's	singer-songwriter	singer-songwriter
artist	artists	artists
doctor's	honoris	honoris
doctor	doctor	doctor
governor's	gov	gov
governor	governors	governors
book's	books	books
book	film's	film's
today's	now	nowadays
today	modern	modern
system's	systems	systems
system	system	system
council's	council's	council's
council	council	council
state's	state's	state's
state	country's	country's
son's	nephew	nephew
son	books	family's
museum's	museum's	museum's
museum	museum	museum
child's	children	children
child	woman's	woman's
family's	family's	family's
family	family	mansion
band's	bands	band's
band	stations	band
book's	books	books
book	stations	novel
council's	council's	council's
council	council	council
man's	woman	woman
man	man	man
everyone's	everybody	everybody
everyone	our	our
world's	russo-japanese	tournament's
world	worlds	worlds
market's	markets	markets
market	!align="right	!align="right
state's	!align="right	!align="right
state	winter	winter
month's	!align="right	!align="right
month	winter	winter
department's	!align="right	!align="right
department	winter	winter
family's	!align="right	!align="right
family	winter	winter
patient's	!align="right	!align="right
patient	winter	winter
husband's	father	father
husband	husband	husband
night's	evening	evening
night	janine	janine
club's	clubs	clubs
club	team's	team's
judge's	court	court
judge	court's	court's
town's	village	city
town	city's	city's
tonight's	one's	one's
tonight	!align="right	!align="right
board's	boards	boards
board	ombudsman	ombudsman
dollar's	million	sticker
dollar	!align="right	!align="right
summer's	winter	winter
summer	!align="right	!align="right
party's	party's	party's
party	party	party
hospital's	hospital's	hospital's
hospital	systems	hospital
husband's	wife	wife
husband	father's	father's
woman's	person	person
woman	systems	womans
state's	state's	state's
state	state	state
show's	shows	shows
show	systems	systems
mayor's	governor	governor
mayor	anyone	anyone
agency's	agencies	agencies
agency	agency	agency
show's	shows	shows
show	film's	doctor
station's	stations	stations
station	station	station
area's	areas	areas
area	town's	town's
building's	buildings	buildings
building	son	roof
life's	son's	son's
life	son	son
company's	companies	companies
company	son	company
union's	unions	unions
union	son	union
school's	schools	school's
school	son	college's
church's	church's	church's
church	church	church
author's	writer	writer
author	ontology	ontology
night's	evening	evening
night	networks	system
driver's	drivers	drivers
driver	networks	system
jury's	juries	tournament's
jury	!align="right	!align="right
district's	districts	districts
district	writer	veteran
summer's	winter	winter
summer	!align="right	!align="right
state's	state's	state's
state	writer	state
son's	daughter	brother
son	writer	father
everyone's	anyone	anyone
everyone	writer	singer
country's	nation	nation
country	nation's	nation's
board's	boards	boards
board	woman	board
industry's	industries	industries
industry	industry	industry
mother's	father	parents
mother	woman	mother
commission's	commission's	commission's
commission	commission	commission
nation's	nations	nations
nation	country's	country's
couple's	few	few
couple	gerald	gerald
project's	projects	projects
project	project	project
patient's	patients	breastfeeding
patient	measure	measure
family's	family's	family's
family	family	family
district's	!align="right	!align="right
district	weekends	weekends
nation's	!align="right	!align="right
nation	country's	week
station's	!align="right	!align="right
station	saturday	morning
club's	!align="right	!align="right
club	team's	sunday
son's	!align="right	!align="right
son	father's	father's
tonight's	hollywood	hollywood
tonight	!align="right	!align="right
country's	countries	countries
country	nation's	nation's
community's	communities	communities
community	town's	town's
father's	mother	mother
father	father	father
administration's	administration's	administration's
administration	administration	staffer
mayor's	governor	governor
mayor	played	played
girl's	boy	boy
girl	played	played
community's	communities	communities
community	played	participate
department's	departments	departments
department	played	join
family's	family's	family's
family	family	family
boy's	!align="right	!align="right
boy	morning	morning
film's	!align="right	!align="right
film	morning	morning
wife's	!align="right	!align="right
wife	morning	night
family's	!align="right	!align="right
family	morning	morning
program's	!align="right	!align="right
program	morning	morning
region's	!align="right	!align="right
region	country's	global
month's	!align="right	colspan=3|total
month	penny	penny
bank's	!align="right	!align="right
bank	currency	currency
play's	!align="right	!align="right
play	penny	penny
union's	!align="right	!align="right
union	company's	company's
returned	returned	returned
return	returning	returning
returns	returned	returns
return	return	return
returned	returned	returned
returns	returning	returning
determined	determines	determines
determine	determine	determine
determines	determines	defines
determine	determine	determine
determined	determine	determine
determines	calculated	calculated
ensured	ensuring	gave
ensure	ensure	ensure
ensures	requires	requires
ensure	ensure	ensure
ensured	ensure	relented
ensures	ensure	ensure
decided	chose	chose
decide	decide	decide
decides	decided	chose
decide	decide	decide
decided	decided	decided
decides	decides	decides
ended	ends	ends
end	ending	intensify
ends	ends	ends
end	end	retract
ended	ended	ended
ends	ending	ending
supported	supported	supported
support	supports	allow
supports	supports	supports
support	support	support
supported	supported	supported
supports	supports	supports
raised	raised	raised
raise	raise	raise
raises	raises	raises
raise	raise	raise
raised	raised	raised
raises	raises	raises
opened	enclosed	enclosed
open	reopened	reopened
opens	opens	opens
open	create	build
opened	opened	opened
opens	provides	provides
continued	continued	continued
continue	continue	continue
continues	continues	continues
continue	continue	continue
continued	continued	continued
continues	continues	continues
studied	studies	studies
study	studying	studying
studies	studies	studies
study	study	study
studied	study	study
studies	studying	studying
proved	proved	proved
prove	prove	prove
proves	proves	proves
prove	prove	prove
proved	proved	proved
proves	proven	proven
helped	helped	helped
help	helping	help
helps	helps	helps
help	help	help
helped	helped	helped
helps	helps	helps
called	calls	calls
call	termed	termed
calls	calls	calls
call	call	call
called	call	call
calls	named	named
considered	considers	considers
consider	regarded	regarded
considers	considers	considers
consider	consider	consider
considered	considered	considered
considers	regarded	regarded
asked	asks	asks
ask	invited	ask
asks	asks	asks
ask	ask	ask
asked	asked	asked
asks	invited	invited
provided	provides	provides
provide	provide	provide
provides	provides	provides
provide	provide	provide
provided	provide	provided
provides	provides	provides
eliminated	eliminating	eliminating
eliminate	eliminate	eliminate
eliminates	removes	removes
eliminate	obtain	reduce
eliminated	prevents	consisted
eliminates	destroys	stops
thought	didn't	tank
think	believed	believed
thinks	thinks	thinks
think	think	think
thought	think	think
thinks	believed	believed
showed	shows	shows
show	showing	showing
shows	shows	shows
show	show	show
showed	show	show
shows	showing	showing
took	took	took
take	take	take
takes	takes	takes
take	take	take
took	took	took
takes	takes	takes
looked	looked	looked
look	look	look
looks	looks	looks
look	look	look
looked	looked	looked
looks	looks	looks
paid	paid	paid
pay	pay	pay
pays	paying	paying
pay	paid	pay
paid	paid	paid
pays	pay	pay
remained	remained	remained
remain	remain	remain
remains	remained	remained
