rougher	softer	softer
small	intelligent	intelligent
smaller	smaller	smaller
smallest	!	!
narrower	narrower	narrower
narrow	broad	broad
narrowest	!	!
narrow	intelligent	intelligent
narrower	narrower	narrower
narrowest	!	!
cleaner	cleaner	cleaner
clean	phones	handset
cleanest	!	!
clean	phones	phones
cleaner	than	than
cleanest	!	!
riskier	equity	equity
risky	!	!
riskiest	!	!
risky	phones	phones
riskier	than	than
riskiest	!	!
newer	!	york
new	superseded	superseded
newest	!	york
new	thor	thor
newer	campus	campus
newest	superseded	superseded
wilder	!	!
wild	hitchcock	metro-goldwyn-mayer
wildest	!	!
wild	anaheim	anaheim
wilder	!	!
wildest	hitchcock	hitchcock
narrower	!	!
narrow	wider	wider
narrowest	!	!
narrow	narrow	navigable
narrower	narrow	narrow
narrowest	wider	wider
safer	!	!
safe	cheaper	cheaper
safest	!	!
safe	unworthy	unworthy
safer	safe	safe
safest	cheaper	cheaper
faster	!	!
fastest	slower	slower
fast	!	!
fastest	pace	pace
faster	slow	slow
fast	slower	slower
meaner	!	!
mean	ensued	ensued
meanest	!	!
mean	ensued	ensued
meaner	!	!
meanest	!	!
heavier	!	!
heavy	lighter	lightest
heaviest	!	!
heavy	lightest	brutal
heavier	lightest	lightest
heaviest	lighter	lighter
nicer	!	!
nice	ensued	ensued
nicest	!	!
nice	ensued	ensued
nicer	!	!
nicest	!	!
faster	!	!
fastest	slower	slower
fast	!	!
fastest	violent	violent
faster	slow	slow
fast	slower	slower
leaner	!	!
lean	ensued	ensued
leanest	!	!
lean	ensued	ensued
leaner	!	!
leanest	!	!
weaker	!	!
weak	stronger	stronger
weakest	!	!
weak	coated	adhesive
weaker	contestant	contestant
weakest	stronger	stronger
darker	!	!
dark	whitish	whitish
darkest	!	!
dark	mucus	mucus
darker	skies	skies
darkest	paler	paler
rougher	!	!
rough	mucus	mucus
roughest	!	!
rough	mucus	mucus
rougher	!	!
roughest	!	!
mightier	!	!
mighty	mucus	mucus
mightiest	!	!
mighty	mucus	mucus
mightier	!	!
mightiest	!	!
wiser	!	!
wise	mucus	mucus
wisest	!	!
wise	mucus	mucus
wiser	!	!
wisest	!	!
laws	laws	laws
law	enacted	act
products	products	products
product	product	product
changes	changes	changes
change	change	change
citizens	fifteen	fifteen
citizen	citizenship	citizenship
teachers	fifteen	fifteen
teacher	students	students
things	've	've
thing	something	something
minutes	89th	89th
minute	35	35
dollars	pesos	pesos
dollar	worth	trillion
areas	inhabitants	inhabitants
area	grasslands	bushland
cities	inhabitants	inhabitants
city	towns	towns
streets	avenue	avenue
street	street	street
months	politicians	politicians
month	days	days
conditions	syndrome	syndrome
condition	myspace	myspace
countries	billboard	bubbling
country	europe	europe
operations	operations	operations
operation	website	website
schools	schools	students
school	school	school
results	resulting	resulting
result	findings	findings
parents	subsidiary	subsidiary
parent	mother	mother
charges	charged	charged
charge	guilty	pleaded
students	students	students
student	school	school
employees	employer	employer
employee	employs	employers
workers	workers	labourer
worker	labor	labor
miles	living	living
mile	13km	nautical
ways	them	them
way	how	situations
decisions	supreme	supreme
decision	rulings	matters
rights	left	left
right	equality	activism
parents	subsidiary	subsidiary
parent	siblings	mother
companies	subsidiary	subsidiary
company	company	corporations
jobs	full-time	full-time
job	workers	workers
authorities	jurisdiction	jurisdiction
authority	arrest	arrest
rules	rulers	rulers
rule	sanfl	sanfl
reports	reports	reports
report	report	report
programs	programs	programs
program	program	program
buildings	four-story	four-story
building	houses	houses
officials	website	website
official	authorities	authorities
dollars	shillings	shillings
dollar	euros	euros
rules	rulers	rulers
rule	regulations	footscray
citizens	citizenship	citizenship
citizen	citizenship	citizenship
questions	questions	questions
question	question	question
officers	officers	enlisted
officer	ncos	officer
cities	cities	cities
city	towns	towns
experts	researcher	researcher
expert	scientists	professionals
teachers	teaching	teaching
teacher	administrators	administrators
benefits	benefits	benefits
benefit	pension	allowance
authorities	jurisdiction	oversee
authority	officials	officials
games	games	games
game	game	game
cities	athletics	athletics
city	towns	towns
benefits	benefits	benefits
benefit	pension	pension
groups	groups	groups
group	group	group
authorities	athletics	exercised
authority	man	being
rates	population	poverty
rate	rate	rate
changes	changes	changes
change	change	change
citizens	citizens	citizens
citizen	citizen	citizen
questions	questions	questions
question	question	question
artists	printmaker	printmaker
artist	musicians	musicians
deaths	died	died
death	fatalities	fatalities
workers	workers	workers
worker	unskilled	unskilled
sports	sports	sports
sport	sport	sport
sources	sources	sources
source	mentioned	mention
women	man	man
woman	womens	womens
voters	voters	voters
voter	vote	vote
sports	sports	sports
sport	sport	sport
officers	rank	rank
officer	officer	officer
concerns	concerns	concerns
concern	concern	concern
prices	prices	prices
price	price	price
schools	schools	schools
school	school	school
feet	policymakers	policymakers
foot	meters	meters
reports	experts	experts
report	report	report
officials	facebook	officials
official	government	deputy
teams	teams	teams
team	compete	team
cases	court	court
case	case	case
relations	equivalence	equivalence
relation	diplomatic	co-operation
residents	residency	residency
resident	18	18
issues	issues	issues
issue	addressing	addressing
families	cosmopterigidae	cosmopterigidae
family	households	population
months	wettest	wettest
month	days	days
minutes	89th	free-kick
minute	minute	minute
losses	win	win
loss	inflicted	inflicted
games	nintendo	dreamcast
game	game	game
agencies	agencies	agencies
agency	agency	agency
times	seconds	clocking
time	guardian	guardian
people	any	any
person	2000	2000
weapons	weapons	weapons
weapon	weapon	weapon
families	cosmopterigidae	cosmopterigidae
family	households	households
authorities	jurisdiction	jurisdiction
authority	officials	arrest
cases	cases	litigation
case	case	case
relations	context	context
relation	diplomatic	diplomatic
kids	daddy	daddy
kid	nickelodeon	readers
authorities	matters	matters
authority	arrest	arrest
cars	cars	cars
car	car	car
people	any	any
person	inhabitants	inhabitants
efforts	efforts	efforts
effort	effort	effort
artists	illustrator	illustrator
artist	painters	painters
students	colleges	colleges
student	grades	enrolled
concerns	concerns	concerns
concern	issues	issues
times	minutes	minutes
time	newsday	newsday
streets	avenue	avenue
street	avenues	avenues
investors	investors	investors
investor	equity	investment
dollars	currency	euro
dollar	euros	euros
days	celebration	celebration
day	months	months
laws	laws	laws
law	law	law
standards	iso	iso
standard	guidelines	guidelines
allegations	allegations	allegations
allegation	accusations	alleged
decisions	supreme	supreme
decision	decision	decision
authorities	jurisdiction	jurisdiction
authority	arrest	arrest
conditions	syndrome	syndrome
condition	weather	weather
rules	rulers	rulers
rule	afl	afl
standards	specification	specification
standard	requirements	requirements
parents	subsidiary	subsidiary
parent	children	children
officers	rank	sergeant
officer	officer	officer
countries	newsweek	year-end
country	abroad	abroad
terms	meaning	meaning
term	term	term
years	newsday	newsday
year	thirty	minutes
citizens	inquirer	inquirer
citizen	citizenship	citizenship
residents	herald	editor
resident	population	45
businesses	championships	championships
business	sector	corporations
drugs	drugs	drugs
drug	drug	drug
reports	championships	championships
report	report	report
reasons	championships	championships
reason	fact	fact
teachers	championships	championships
teacher	students	teacher
minutes	89th	89th
minute	hours	hours
analysts	commentator	commentator
analyst	economists	economists
reports	reports	reports
report	report	report
charges	charged	charged
charge	guilty	guilty
cars	cars	cars
car	car	car
businesses	management	management
business	shops	shops
voters	voters	voting
voter	vote	turnout
patients	patients	patients
patient	treatment	sclerosis
men	woman	woman
man	women	women
prices	prices	prices
price	price	price
products	products	products
product	company	company
terms	slang	slang
term	subsidiary	contract
leaders	opposition	opposition
leader	subsidiary	subsidiary
cars	cars	cars
car	car	car
benefits	benefits	benefits
benefit	employee	employee
results	resulting	resulting
result	left	left
operations	operations	operations
operation	left	operation
members	committee	chairperson
member	left	left
events	championships	championships
event	left	left
officers	rank	rank
officer	ncos	ncos
parties	parties	parties
party	coalition	party
cases	court	court
case	case	case
men	woman	woman
man	women	women
officers	officers	officers
officer	officer	officer
charges	charged	charged
charge	guilty	guilty
employees	employees	employees
employee	jobs	jobs
rights	left	left
right	equality	equality
hours	weekdays	hours
hour	hour	hour
relations	equivalence	equivalence
relation	diplomatic	diplomatic
sports	sports	sports
sport	sport	sport
people	moist	moist
person	inhabitants	census
systems	systems	systems
system	system	system
talks	radio	radio
talk	negotiations	negotiations
officials	teaser	teaser
official	authorities	politicians
kids	lil	moist
kid	nickelodeon	nickelodeon
schools	schools	schools
school	school	school
areas	surrounding	surrounding
area	area	area
points	lighthouse	lighthouse
point	rebounds	rebounds
owners	co-owner	co-owner
owner	landlords	landlords
concerns	concerns	concerns
concern	issues	issues
streets	avenue	avenue
street	street	street
results	resulting	resulting
result	showed	showed
questions	questions	questions
question	question	question
leaders	party	party
leader	politicians	politicians
decisions	appeal	appeal
decision	rulings	rulings
homes	slugging	slugging
home	houses	houses
lives	lives	lives
life	life	life
laws	laws	laws
law	legislation	legislation
issues	magazine	magazine
issue	addressing	addressing
groups	groups	groups
group	group	group
businesses	firms	accounting
business	sector	sector
rates	rates	rates
rate	rate	rate
minutes	89th	89th
minute	hours	hours
games	nintendo	nintendo
game	game	game
points	lighthouse	lighthouse
point	assists	assists
workers	workers	workers
worker	unskilled	worker
reasons	might	might
reason	due	due
groups	groups	groups
group	group	group
students	students	students
student	semester	semester
families	mordella	mordella
family	households	households
times	200-meter	200-meter
time	guardian	reviewer
hours	weekdays	weekday
hour	hour	hour
standards	specification	specification
standard	guidelines	guidelines
teams	junior	championships
team	single-elimination	single-elimination
officers	rank	rank
officer	sergeants	sergeants
cases	cases	cases
case	case	case
relations	equivalence	theory
relation	cooperation	cooperation
cities	cities	cities
city	towns	towns
teachers	teachers	teachers
teacher	educators	educators
owners	co-owner	co-owner
owner	landlords	landlords
parties	centre-left	centre-left
party	party	party
analysts	commentator	analysts
analyst	analyst	analyst
schools	schools	enrolls
school	school	school
products	products	products
product	product	product
rules	rulers	rulers
rule	regulations	regulations
deaths	riaa	success
death	fatalities	ownership
months	week	week
month	days	days
drugs	drugs	drugs
drug	drug	drug
men	woman	woman
man	women	women
officials	downloads	downloads
official	authorities	authorities
employees	employer	employer
employee	employs	workers
drugs	drugs	drugs
drug	drug	drug
friends	friends	friends
friend	friend	friend
laws	laws	laws
law	legislation	law
decisions	appeal	appeal
decision	decision	decision
plans	plans	plans
plan	plan	planned
rates	rates	rates
rate	rate	rate
analysts	commentator	commentator
analyst	economists	economists
relations	notion	notion
relation	cooperation	affairs
benefits	benefits	benefits
benefit	pension	pension
members	houses	houses
member	member	member
operations	dwellings	dwellings
operation	force	ops
cities	residential	neighborhoods
city	stadium	stadium
questions	questions	questions
question	question	question
women	residences	dwellings
woman	men	athletics
problems	solved	solved
problem	problem	difficulties
results	rebounds	rebounds
result	showed	showed
citizens	rebounds	rebounds
citizen	citizenship	citizen
questions	questions	questions
question	question	question
events	golds	golds
event	event	hosts
rates	rates	rates
rate	rate	rate
weeks	first-week	first-week
week	non-consecutive	non-consecutive
talks	simulcast	simulcast
talk	negotiations	negotiations
terms	terms	terms
term	term	term
agencies	agencies	agencies
agency	agency	agency
parties	parties	parties
party	party	party
streets	avenue	streets
street	street	street
minutes	89th	89th
minute	equalised	equalised
products	products	products
product	product	cosmetics
men	woman	woman
man	women	women
lines	rail	rail
line	rail	rail
services	services	services
service	service	service
investors	investors	investors
investor	investment	investment
women	man	man
woman	men	men
groups	groups	groups
group	group	group
voters	turnout	turnout
voter	vote	vote
employees	employer	employer
employee	salary	salary
products	products	products
product	product	product
students	students	students
student	grades	grades
benefits	benefits	welfare
benefit	pension	pension
drugs	drugs	cocaine
drug	drug	prescription
workers	workers	workers
worker	unskilled	jobs
minutes	89th	89th
minute	hours	scored
years	2012-2013	2012-2013
year	twenty	twenty
concerns	concerns	concerns
concern	issues	issues
rights	left	thigh
right	freedom	freedom
dollars	currencies	currencies
dollar	worth	worth
miles	km	km
mile	13km	13km
changes	changes	changes
change	change	change
benefits	benefits	benefits
benefit	pensions	pensions
services	services	services
service	service	service
investors	investors	investors
investor	equity	equity
miles	km	km
mile	8km	8km
charges	charged	charged
charge	guilty	acquitted
authorities	jurisdiction	authorities
authority	government	government
services	services	services
service	service	service
workers	workers	workers
worker	worker	worker
residents	residency	residency
resident	population	population
artists	illustrator	illustrator
artist	musicians	musicians
owners	co-owner	co-owner
owner	property	property
projects	projects	projects
project	project	project
investors	investors	investors
investor	equity	equity
sales	sell	sell
sale	selling	selling
jobs	full-time	full-time
job	unskilled	unskilled
concerns	concerns	concerns
concern	concern	concern
streets	avenue	avenue
street	street	street
rights	left	elbow
right	liberties	liberties
results	resulting	resulting
result	top	achieved
cities	consulates	consulates
city	towns	towns
sources	gpl	gpl
source	mentioned	mentioned
buildings	buildings	buildings
building	tortricidae	tortricidae
sources	households	households
source	mordella	erebidae
issues	households	households
issue	mordella	mordella
authorities	households	households
authority	mordella	tortricidae
prices	households	households
price	price	price
minutes	89th	89th
minute	hours	equalised
laws	laws	laws
law	legislation	anti-discrimination
states	states	states
state	united	united
artists	illustrator	artists
artist	artist	artist
officers	officers	officers
officer	officer	officer
rights	left	left
right	equality	equality
streets	avenue	avenue
street	street	street
cases	cases	arbitration
case	case	appellate
efforts	efforts	efforts
effort	effort	effort
men	woman	woman
man	women	women
streets	avenue	avenue
street	thoroughfares	thoroughfares
hours	weekdays	weekdays
hour	hour	hour
products	products	products
product	empire	empire
citizens	nationality	nationality
citizen	citizenship	citizenship
officers	rank	rank
officer	military	military
lines	rail	rail
line	line	line
services	services	services
service	service	service
ways	rather	next
way	manner	manner
cities	cities	cities
city	towns	towns
kids	boy	two-legged
kid	nickelodeon	nickelodeon
results	resulting	resulting
result	showed	showed
events	events	events
event	event	event
teachers	teaching	teaching
teacher	administrators	administrators
artists	illustrator	illustrator
artist	painters	painters
cars	cars	cars
car	car	car
drugs	drugs	drugs
drug	drug	drug
days	holidays	holidays
day	months	lasts
citizens	citizenship	citizenship
citizen	citizenship	citizenship
companies	subsidiary	companies
company	company	company
cars	cars	cars
car	car	car
projects	projects	projects
project	project	project
months	united	days
month	days	days
analysts	commentator	commentator
analyst	commentators	commentators
leaders	party	conservative
leader	politicians	opposition
benefits	benefits	benefits
benefit	pensions	pensions
plans	plans	plans
plan	plan	plan
weeks	weeks	weeks
week	non-consecutive	non-consecutive
miles	km	km
mile	13km	nautical
students	academics	students
student	grades	teacher
families	tortricidae	gelechiidae
family	households	households
deaths	died	died
death	fatalities	fatalities
miles	km	km
mile	8km	8km
cities	cities	metropolitan
city	towns	towns
points	lighthouse	lighthouse
point	assists	assists
students	students	students
student	grades	grades
parties	coalition	coalition
party	party	party
weapons	weapons	weapons
weapon	weapon	weapon
artists	illustrator	illustrator
artist	musicians	musicians
jobs	jobs	jobs
job	part-time	part-time
benefits	benefits	benefits
benefit	pension	pension
investors	investors	financier
investor	equity	leveraged
games	nintendo	nintendo
game	game	game
cities	cities	mayor
city	towns	towns
buildings	three-story	four-story
building	houses	houses
concerns	concerns	concerns
concern	concern	concern
years	2014-2015	2014-2015
year	twenty	months
reasons	why	why
reason	reason	reason
sports	sports	sports
sport	sport	sport
leaders	coalition	coalition
leader	leader	leader
concerns	concerns	concerns
concern	concern	concern
deaths	died	died
death	fatalities	starvation
men	woman	young
man	women	women
kids	kids	kids
kid	nickelodeon	nickelodeon
decisions	supreme	supreme
decision	rulings	rulings
families	mordella	mordella
family	households	households
rights	left	left
right	equality	equality
patients	patients	patients
patient	patient	patient
operations	operations	operations
operation	deployment	deployment
products	products	products
product	product	product
students	extracurricular	extracurricular
student	grades	grades
lines	lines	lines
line	line	line
schools	schools	schools
school	school	school
losses	victory	victory
loss	inflicted	inflicted
days	holidays	holiday
day	months	months
cars	cars	cars
car	car	car
children	infant	newborn
child	parents	parents
drugs	drugs	drugs
drug	drug	drug
patients	patients	patients
patient	patient	treatment
men	woman	woman
man	women	women
teachers	pupils	pupils
teacher	classroom	classroom
problems	problems	problems
problem	difficulties	difficulties
countries	charts	charts
country	europe	europe
women	man	girl
woman	men	womens
artists	illustrator	illustrator
artist	musicians	musicians
benefits	benefits	benefits
benefit	pension	employee
streets	avenue	avenue
street	thoroughfares	thoroughfares
systems	systems	systems
system	system	system
sales	sell	sell
sale	first-week	first-week
cases	court	court
case	case	case
charges	charged	charged
charge	guilty	guilty
people	any	any
person	inhabitants	inhabitants
friends	girlfriend	girlfriend
friend	friend	friend
weapons	weapons	weapons
weapon	weapon	weapon
citizens	citizenship	citizenship
citizen	citizenship	citizenship
teachers	teachers	teaching
teacher	administrators	administrators
rates	rates	rates
rate	rate	rate
days	celebrations	festivities
day	months	months
kids	fatalities	sidekick
kid	nickelodeon	treason
cars	cars	cars
car	car	car
owners	co-owner	co-owner
owner	property	property
laws	laws	laws
law	law	law
sports	sports	sports
sport	sport	sport
parents	subsidiary	subsidiary
parent	children	children
men	woman	woman
man	women	women
companies	subsidiary	subsidiary
company	company	company
systems	systems	systems
system	software	software
relations	equivalence	equivalence
relation	diplomatic	diplomatic
questions	questions	questions
question	question	question
groups	groups	groups
group	group	group
cars	cars	cars
car	car	car
friends	girlfriend	girlfriend
friend	friend	birthday
reports	reports	reports
report	report	report
buildings	three-story	three-story
building	houses	houses
artists	illustrator	illustrator
artist	painters	painters
companies	subsidiary	shareholding
company	company	company
hours	weekday	weekday
hour	hour	hour
events	olympics	olympics
event	event	event
officials	uploaded	uploaded
official	authorities	authorities
decisions	supreme	judges
decision	rulings	rulings
benefits	benefits	benefits
benefit	pensions	pensions
employees	employees	employees
employee	jobs	jobs
lines	trains	trains
line	line	line
laws	laws	laws
law	legislation	legislation
efforts	efforts	efforts
effort	effort	effort
numbers	chart	chart
number	digits	digits
lives	lives	lives
life	chart	chart
rules	rulers	empire
rule	chart	chart
products	multiplication	sum
product	chart	chart
residents	residency	migratory
resident	chart	chart
parents	subsidiary	subsidiary
parent	chart	weeks
weeks	weeks	weeks
week	non-consecutive	non-consecutive
weapons	weapons	weapons
weapon	weapon	weapon
artists	illustrator	illustrator
artist	painters	painters
benefits	benefits	benefits
benefit	pensions	pensions
decisions	decisions	decisions
decision	supreme	supreme
months	wettest	wettest
month	days	days
talks	radio	syndicated
talk	negotiations	agreed
weeks	chart	charts
week	non-consecutive	non-consecutive
members	committees	committees
member	member	member
states	legislative	legislative
state	united	united
candidates	election	election
candidate	candidate	ballot
employees	employer	employer
employee	employs	employs
men	woman	woman
man	women	women
authorities	jurisdiction	jurisdiction
authority	officials	officials
decisions	supreme	decisions
decision	decision	decision
weeks	weeks	weeks
week	non-consecutive	non-consecutive
efforts	efforts	efforts
effort	effort	effort
sports	sports	sports
sport	sport	sport
days	holidays	holidays
day	months	years
experts	researcher	researcher
expert	academics	academics
members	elected	elected
member	member	member
losses	win	win
loss	loss	loss
players	players	players
player	player	player
men	woman	woman
man	women	women
standards	standardized	standardized
standard	requirements	requirements
friends	lover	lover
friend	friend	friend
hours	weekday	weekday
hour	hour	hour
terms	pejorative	pejorative
term	term	term
results	resulting	resulting
result	showed	showed
sources	sources	sources
source	source	source
businesses	firms	firms
business	sector	retail
times	seconds	seconds
time	newsday	newsday
systems	systems	systems
system	system	system
conditions	syndrome	patients
condition	weather	weather
issues	magazine	magazine
issue	problems	problems
deaths	negotiations	negotiations
death	fatalities	accidents
friends	friendship	friendship
friend	on-air	on-air
cases	arbitration	arbitration
case	case	case
members	members	secretary-general
member	member	deputies
games	metroid	metroid
game	game	game
services	services	services
service	service	service
schools	schools	schools
school	school	school
games	nintendo	nintendo
game	game	game
operations	operations	operations
operation	deployment	deployment
parents	subsidiary	viacom
parent	siblings	siblings
lines	rail	railway
line	rail	rail
numbers	chart	chart
number	integer	integer
officials	teaser	teaser
official	commentator	affairs
families	cosmopterigidae	gelechiidae
family	households	households
groups	groups	groups
group	group	activist
projects	projects	projects
project	project	project
streets	streets	streets
street	street	street
hours	weekdays	weekdays
hour	hour	hour
kids	daddy	daddy
kid	nickelodeon	nickelodeon
cars	cars	cars
car	car	car
things	really	really
thing	thing	thing
conditions	syndrome	syndrome
condition	weather	weather
members	elected	elected
member	member	member
states	states	highways
state	united	united
sports	sports	sports
sport	sport	sport
problems	problems	problems
problem	problem	problem
times	spent	spent
time	magazine	magazine
plans	plans	budget
plan	plan	plan
sales	sold	sold
sale	selling	charts
allegations	allegations	allegations
allegation	accusations	accusations
people	pronouns	pronouns
person	inhabitants	persons
miles	km	km
mile	8km	11km
rules	rulers	empire
rule	footscray	footscray
standards	specification	specifications
standard	iso	iso
men	woman	woman
man	women	women
things	really	've
thing	something	something
people	diplomatic	lawfully
person	inhabitants	there
operations	operations	invasion
operation	operation	operation
terms	slang	slang
term	term	defined
states	states	states
state	united	united
businesses	firms	entrepreneurs
business	sector	sector
problems	solved	solve
problem	problem	problem
cities	cities	cities
city	towns	towns
officers	rank	rank
officer	officer	officer
owners	owners	owners
owner	owner	owner
services	services	services
service	service	service
dollars	currency	currency
dollar	pesos	pesos
cities	cities	cities
city	towns	towns
players	players	players
player	player	player
men	woman	woman
man	athletics	athletics
products	products	products
product	cosmetics	manufacturer
changes	changes	changes
change	change	change
reports	reports	reports
report	report	report
men	woman	woman
man	women	women
questions	questions	questions
question	question	question
workers	workers	workers
worker	unskilled	unskilled
losses	win	win
loss	inflicted	inflicted
laws	laws	laws
law	enacted	enacted
citizens	citizenship	citizenship
citizen	citizenship	citizenship
families	mordella	mordella
family	households	households
bank's	!	!
bank	cities	cities
boy's	!	!
boy	cities	cities
film's	movie	movie
film	cities	cities
play's	!	!
play	cities	cities
game's	!	!
game	cities	cities
district's	!	!
district	potawatomi	potawatomi
park's	!	!
park	potawatomi	potawatomi
girl's	!	!
girl	potawatomi	potawatomi
firm's	!	!
firm	potawatomi	potawatomi
community's	!	!
community	potawatomi	potawatomi
author's	!	!
author	subsidiary	subsidiary
today's	!	!
today	subsidiary	subsidiary
summer's	!	!
summer	subsidiary	subsidiary
day's	!	!
day	subsidiary	subsidiary
station's	!	!
station	subsidiary	subsidiary
agency's	!	!
agency	states	states
judge's	!	!
judge	states	states
area's	!	!
area	states	states
center's	!	!
center	states	states
county's	!	!
county	states	states
child's	!	baby
child	2012-2013	2012-2013
region's	!	!
region	2012-2013	2012-2013
couple's	!	!
couple	2012-2013	2012-2013
committee's	!	!
committee	2012-2013	2012-2013
book's	!	!
book	2012-2013	2012-2013
president's	!	!
president	counties	counties
area's	!	!
area	counties	counties
team's	!	!
team	counties	counties
university's	!	!
university	counties	counties
band's	!	!
band	counties	counties
project's	!	!
project	charts	charts
wife's	!	!
wife	charts	charts
sheriff's	!	!
sheriff	charts	charts
network's	!	!
network	charts	charts
company's	!	!
company	charts	charts
girl's	!	!
girl	championship	championship
project's	!	!
project	championship	championship
play's	!	!
play	championship	championship
program's	!	!
program	championship	championship
father's	!	!
father	championship	championship
community's	!	!
community	now	now
market's	!	!
market	now	now
game's	!	!
game	now	now
governor's	!	!
governor	now	now
band's	!	!
band	now	now
show's	!	!
show	governments	governments
community's	!	!
community	governments	governments
governor's	!	!
governor	governments	governments
school's	!	!
school	governments	governments
band's	!	!
band	governments	governments
person's	!	!
person	counsel	counsel
film's	!	movie
film	counsel	counsel
play's	!	!
play	counsel	counsel
program's	!	!
program	counsel	counsel
doctor's	!	!
doctor	counsel	counsel
hospital's	!	!
hospital	village	village
region's	!	!
region	village	village
everyone's	!	!
everyone	village	village
town's	!	!
town	village	village
government's	!	!
government	village	village
court's	!	appeals
court	championship	championship
everyone's	!	!
everyone	championship	championship
father's	!	!
father	championship	championship
week's	!	!
week	championship	championship
league's	!	!
league	championship	championship
agency's	!	!
agency	groups	groups
panel's	!	!
panel	groups	groups
wife's	!	!
wife	groups	groups
company's	!	!
company	groups	groups
organization's	!	!
organization	groups	groups
woman's	!	!
woman	weeks	weeks
weekend's	!	!
weekend	weeks	weeks
attorney's	!	!
attorney	weeks	weeks
party's	!	!
party	weeks	weeks
union's	!	!
union	weeks	weeks
today's	!	!
today	schools	schools
park's	!	!
park	schools	schools
month's	!	!
month	schools	schools
show's	!	!
show	schools	schools
coroner's	!	!
coroner	schools	schools
board's	!	!
board	huntingdonshire	huntingdonshire
nation's	!	!
nation	huntingdonshire	huntingdonshire
artist's	!	!
artist	huntingdonshire	huntingdonshire
union's	!	!
union	huntingdonshire	huntingdonshire
band's	!	!
band	huntingdonshire	huntingdonshire
woman's	!	!
woman	centre-left	centre-left
weekend's	!	!
weekend	centre-left	centre-left
driver's	!	!
driver	centre-left	centre-left
band's	!	!
band	centre-left	centre-left
jury's	!	!
jury	centre-left	centre-left
nation's	!	!
nation	agencies	agencies
man's	!	!
man	agencies	agencies
doctor's	!	!
doctor	agencies	agencies
county's	!	!
county	agencies	agencies
week's	!	!
week	agencies	agencies
board's	!	!
board	hauts-de-france	hauts-de-france
author's	!	!
author	hauts-de-france	hauts-de-france
evening's	!	!
evening	hauts-de-france	hauts-de-france
girl's	!	!
girl	hauts-de-france	hauts-de-france
world's	!	!
world	hauts-de-france	hauts-de-france
bank's	!	!
bank	senator	senator
patient's	!	!
patient	senator	senator
commission's	!	!
commission	senator	senator
book's	!	!
book	senator	senator
band's	!	!
band	senator	senator
summer's	!	!
summer	elects	elects
project's	!	!
project	elects	elects
patient's	!	!
patient	elects	elects
area's	!	!
area	elects	elects
father's	!	!
father	elects	elects
day's	!	!
day	chairman	chairman
club's	!	!
club	chairman	chairman
city's	!	!
city	chairman	chairman
play's	!	!
play	chairman	chairman
attorney's	!	!
attorney	chairman	chairman
tonight's	!	!
tonight	mordella	mordella
victim's	!	!
victim	mordella	mordella
wife's	!	!
wife	mordella	mordella
bill's	!	!
bill	mordella	mordella
game's	!	!
game	mordella	mordella
park's	!	!
park	woman	woman
daughter's	!	daughters
daughter	woman	woman
wife's	!	daughters
wife	woman	woman
center's	!	!
center	woman	woman
jury's	!	!
jury	woman	woman
tonight's	!	!
tonight	alderman	alderman
court's	!	hear
court	alderman	alderman
society's	!	!
society	alderman	alderman
family's	!	!
family	alderman	alderman
league's	!	!
league	alderman	alderman
boy's	!	!
boy	areas	areas
club's	!	!
club	areas	areas
group's	!	!
group	areas	areas
jury's	!	!
jury	areas	areas
governor's	!	!
governor	areas	areas
judge's	!	!
judge	presidency	presidency
station's	!	!
station	presidency	presidency
state's	!	!
state	presidency	presidency
baseball's	!	!
baseball	presidency	presidency
father's	!	!
father	presidency	presidency
association's	!	!
association	southern	southern
woman's	!	!
woman	southern	southern
family's	!	!
family	southern	southern
father's	!	!
father	southern	southern
center's	!	!
center	southern	southern
child's	!	!
child	brother	brother
president's	!	!
president	brother	brother
night's	!	!
night	brother	brother
weekend's	!	!
weekend	brother	brother
everyone's	!	!
everyone	brother	brother
nation's	!	!
nation	consulting	consulting
dollar's	!	!
dollar	consulting	consulting
system's	!	!
system	consulting	consulting
company's	!	!
company	consulting	consulting
driver's	!	!
driver	consulting	consulting
agency's	!	!
agency	committee	committee
firm's	!	!
firm	committee	committee
general's	!	!
general	committee	committee
administration's	!	!
administration	committee	committee
week's	!	!
week	committee	committee
author's	!	!
author	industries	industries
judge's	!	!
judge	industries	industries
program's	!	!
program	industries	industries
group's	!	!
group	industries	industries
book's	!	!
book	industries	industries
season's	!	!
season	nights	nights
master's	!	!
master	nights	nights
bank's	!	!
bank	nights	nights
party's	!	!
party	nights	nights
school's	!	schools
school	nights	nights
tonight's	!	!
tonight	man	man
person's	!	!
person	man	man
park's	!	!
park	man	man
show's	!	tonight
show	man	man
general's	!	!
general	man	man
region's	!	!
region	appeals	appeals
bill's	!	!
bill	appeals	appeals
school's	!	!
school	appeals	appeals
county's	!	!
county	appeals	appeals
union's	!	!
union	appeals	appeals
board's	!	trustees
board	shows	shows
night's	!	!
night	shows	shows
patient's	!	patients
patient	shows	shows
organization's	organisation	organisation
organization	shows	shows
father's	!	my
father	shows	shows
woman's	!	!
woman	movie	movie
weekend's	!	!
weekend	movie	movie
community's	!	!
community	movie	movie
game's	!	!
game	movie	movie
administration's	!	!
administration	movie	movie
association's	!	!
association	infant	infant
daughter's	!	!
daughter	infant	infant
agency's	!	!
